sentence,positive,neutral,negative
"The following discussion and analysis of financial position and results of operations of ACEN and its subsidiaries should be read in conjunction with the audited consolidated financial statements as at 31 December 2021, and the restated consolidated financial statements as at 31 December 2020 and 2019.",0.032560404390096664,0.9459636807441711,0.02147589437663555
"In January 2021, ACEN sold, by way of stock rights offering (SRO), 2,094,898,876 shares and 172,681,558 shares in first round and second round allocations, respectively, which were subsequently listed with the PSE on January 29, 2021.",0.033598627895116806,0.9496991634368896,0.01670226827263832
"In April 2021, ACEN signed a Deed of Assignment with ACEIC for the subscription by ACEIC to, and the issuance to ACEIC of, 16,685,800,533 shares in exchange for ACEIC’s 1,701,284,345 common shares and 15,030,279,000 redeemable preferred shares in AC Energy International, Inc., which holds ACEIC’s international renewable assets.",0.3415416181087494,0.6466978788375854,0.0117604685947299
"This is in line with the intention to designate ACEN as the energy platform of the Ayala Group, holding all of the group’s energy assets worldwide.",0.11576198786497116,0.8764078617095947,0.00783016998320818
"The SEC approved ACEN’s increase in ACS from 24.4 billion shares to 48.4 billion shares in June 2021, thus enabling the implementation of the assets-for-share swap between ACEN and ACEIC for the latter’s international assets.",0.8542268872261047,0.13676413893699646,0.00900896918028593
"As such, the 2021 results now present the results of operations of the international assets under ACEN.",0.023994922637939453,0.9540530443191528,0.021952055394649506
"Prior period financials have similarly been restated, to account for the retroactive impact of the share swap transaction effective July 1, 2019, the date when ACEN and the Offshore Companies became under the common control of ACEIC.",0.028478048741817474,0.9405028223991394,0.031019186601042747
"In May 2021, ACEN completed its follow-on offering (FOO) with an offer of 2.01 billion common shares priced at ₱6.50 per share, consisting of 1.58 billion shares sold pursuant to the primary offer, 330.24 million shares sold by ACEIC and Bulacan Power pursuant to a secondary offer, and an over-subscription of 100 million secondary shares sold by ACEIC.",0.10077043622732162,0.8893436789512634,0.009885860607028008
"In June 2021, ACEN and ACE Endevor signed a Deed of Absolute sale for transfer of its equity stake in three biopower assets through NIBHI to ThomasLloyd CTI Asia Holdings Pte.",0.5454922318458557,0.44425010681152344,0.010257684625685215
"Ltd., which already indirectly owns over 90% of the economics of these biomass-fired power plants.",0.07515343278646469,0.916016697883606,0.008829861879348755
