sentence,positive,neutral,negative
"Ayala Corporation recorded a net income of ₱30.3 billion in 2017, climbing 16 percent from the previous year on the back of robust double-digit growth of its real estate and power businesses.",0.9517000913619995,0.024311164394021034,0.023988738656044006
"Sales of goods and services climbed 22 percent to ₱242.2 billion, on the back of higher sales in all housing, residential, and condominium units of Ayala Land; strong vehicle sales across AC Industrials‘ automotive brands; and the improved output of Integrated Micro-Electronics‘ automotive electronics and industrial segments, as well as the consolidation of its new subsidiary.",0.960934579372406,0.019721491262316704,0.0193440243601799
"In addition, higher service revenues from AC Energy, primarily from the consolidation of its new subsidiary and Retail Electricity Supply (RES) unit, as well as from IMI and Manila Water, contributed to this.",0.9551202058792114,0.02906731702387333,0.015812398865818977
The account stands at 91 percent of Ayala’s total revenues for 2017.,0.07689342647790909,0.9099605679512024,0.013146031647920609
"The resurgence of property sales combined with a solid leasing business drove Ayala Land’s net earnings during the year, jumping 21 percent to ₱25.3 billion.",0.9525536894798279,0.026105260476469994,0.021341118961572647
"Revenues from property development, which includes residential and office-for-sale developments, as well as commercial lot sales, rose 23 percent to ₱101.5 billion on new bookings and project completion.",0.9550828337669373,0.025969060137867928,0.018948206678032875
"Growth in reservation sales bounced back to double-digit levels during the year at 13 percent, reaching ₱122 billion.",0.9494365453720093,0.023065317422151566,0.027498183771967888
"Commercial leasing revenues, meanwhile, grew 10 percent to ₱31 billion driven by new mall openings, stabilized occupancy of office spaces, and the improved performance of its hotels and resorts portfolio.",0.9611948728561401,0.01967218890786171,0.019132891669869423
Ayala Land’s strategy to rebalance its net income mix is increasingly taking shape.,0.9102905988693237,0.07584429532289505,0.013865038752555847
"In terms of location, established estates (Makati, Nuvali, Bonifacio Global City, Alabang and Cebu) accounted for 54 percent, while new estates and growth centers made up for 46 percent of Ayala Land’s net earnings in 2017.",0.05035373196005821,0.934873104095459,0.014773153699934483
"In terms of business line, Ayala Land’s recurring income (mall and office leasing, hotels and resorts, and property management segments) accounted for 35 percent, while development income (property sales and construction) contributed 65 percent of Ayala Land’s net income during the year.",0.0571599081158638,0.9174503087997437,0.025389738380908966
Ayala Land spent ₱91.4 billion in capital expenditure during the year.,0.24188311398029327,0.7465572357177734,0.0115596242249012
It launched 28 residential projects amounting to ₱88.8 billion.,0.2847377061843872,0.7067028880119324,0.008559362031519413
"In leasing, it opened five new malls with 189,000 in gross leasable area, and six new offices with 185,000 in gross leasable area.",0.11741029471158981,0.8720334768295288,0.010556280612945557
"In addition, it opened six new hotel and resort facilities, adding 556 rooms to its portfolio in 2017.",0.6548475623130798,0.3364937901496887,0.008658615872263908
Manila Water posted a muted net income growth of one percent to ₱6.2 billion as higher operating expenses and business development costs tempered topline growth during the year.,0.025032704696059227,0.010248770006000996,0.9647185802459717
"Revenues rose five percent to ₱18.5 billion, bolstered by strong revenue contributions from Laguna Water and Boracay Water, as well as higher supervision fees recognized by Estate Water balancing out flat revenue growth in the Manila Concession.",0.9578549265861511,0.022621452808380127,0.019523588940501213
"Operating expenses expanded 19 percent to ₱7.4 billion on higher overhead costs owing to Estate Water’s expansion, business development costs, and a one-time write-off of uncollectible accounts in Laguna Water.",0.20911510288715363,0.02068088948726654,0.7702040672302246
"Manila Water posted higher billed volume across all its business lines, with the non-Manila Concession posting strong double-digit billed volume growth.",0.9590829014778137,0.023193908855319023,0.017723210155963898
"This brought total billed volume to 738.7 million cubic meters, three percent higher year-on-year.",0.9490994811058044,0.030890164896845818,0.020010391250252724
"In the Manila Concession, the two percent-increase in billed volume helped offset the impact of tariff reduction.",0.950461208820343,0.033948205411434174,0.015590585768222809
Manila Water continues to intensify its infrastructure build-up with a 48 percent expansion in capital expenditures.,0.9493774771690369,0.036008674651384354,0.014613892883062363
"Last year, the Manila Concession completed the Marikina North Sewerage Treatment Plant, while the Pasig North and South System Project is scheduled for completion in November 2019.",0.1898830235004425,0.7995279431343079,0.010589064098894596
"Further, Manila Water received a notice of award from the City of Ilagan Water District to establish a joint venture for a bulk water supply and septage management company.",0.8901784420013428,0.10038620233535767,0.009435337968170643
"As part of its ongoing expansion in Southeast Asia, Manila Water is establishing a footprint in Thailand with the signing of a share purchase agreement in February to acquire an 18.72 percent stake in Eastern Water Resources Development and Management Public Company Limited, a publicly- listed water supply and distribution company in Thailand.",0.8228148221969604,0.17036668956279755,0.006818437483161688
"AC Industrials registered a net income of ₱1.2 billion, up four percent from its year-ago level, on the better performance of both its electronics manufacturing and vehicle retail units.",0.9593350291252136,0.02110806666314602,0.01955687813460827
"IMI’s net earnings expanded 21 percent to US$34 million on the back of solid revenue growth, which exceeded the US$1 billion mark during the year.",0.9570447206497192,0.023529749363660812,0.01942557282745838
"Last February, IMI successfully completed its ₱4.998 billion rights offer with the issue of 350 million common shares to existing shareholders.",0.77181476354599,0.22018294036388397,0.008002224378287792
"AC Industrials, which previously held 50.6 percent of IMI’s outstanding shares, subscribed to its proportionate share, as well as any unsubscribed rights shares.",0.0327022485435009,0.9529444575309753,0.014353274367749691
Proceeds of the rights offer will be used to fund IMI’s capital expenditure program and for debt refinancing.,0.14667470753192902,0.8450073599815369,0.00831789243966341
"Meanwhile, revenues from AC Automotive expanded 37 percent to ₱31.2 billion, boosted by strong sales across all brands—Honda, Isuzu, Volkswagen, and KTM.",0.9547936320304871,0.02622544951736927,0.018980851396918297
"AC Industrials continues to ramp up its portfolio in global and domestic industrial technologies by capitalizing on opportunities arising from disruptive technological shifts, changing industry landscapes, and increasing demand from end-users.",0.9314278960227966,0.05968578904867172,0.008886365219950676
"Last month, AC Industrials acquired a controlling stake in Merlin Solar Technologies Inc., with an ownership interest of 78.2 percent after the close of the transaction and completion of other related activities.",0.07732891291379929,0.9122315049171448,0.010439632460474968
"Merlin is an emerging company that is developing differentiated solar solutions resulting in products with high durability, flexibility, and increased solar power output, allowing for potentially innovative applications in areas with demanding environments, such as transportation and infrastructure.",0.7336859107017517,0.2585168480873108,0.007797267287969589
"Headquartered in San Jose, California, Merlin currently has additional manufacturing facilities in Thailand.",0.08965250104665756,0.8985494375228882,0.011797974817454815
"AC Energy’s net earnings jumped 31 percent to ₱3.5 billion in 2017, primarily driven by fresh equity earnings contribution from its geothermal platform, and boosted by solid contributions from its wind energy assets.",0.9566382765769958,0.024210449308156967,0.01915118470788002
Services income derived from the financial close of a new power plant likewise contributed to AC Energy’s net earnings.,0.9449271559715271,0.03784741833806038,0.01722540333867073
"Following the acquisition of Salak and Darajat Geothermal in Indonesia in early 2017, AC Energy is assembling a portfolio of renewable energy assets in Southeast Asia.",0.16483348608016968,0.8280479311943054,0.007118579000234604
"It is developing a 75 megawatt wind project in Sidrap, Indonesia, which is expected to come online in the first quarter of 2018.",0.1936279982328415,0.798529326915741,0.00784264411777258
"Last January, AC Energy, in partnership with BIM Group of Vietnam, agreed to jointly develop over 300 megawatts of solar power projects in Ninh Thuan province, Vietnam.",0.8211773037910461,0.17006956040859222,0.008753069676458836
"The initial 30 megawatts of the solar project broke ground, with investment for this phase expected to reach 800 billion VND and to be completed within the year.",0.8290947079658508,0.16158747673034668,0.009317842312157154
"Similarly, AC Energy is boosting its conventional energy portfolio.",0.9541206955909729,0.03214816749095917,0.013731169514358044
"Last December, the project financing for the second unit of its 2 x 668 MW super-critical coal fired power plant in Bataan, GNPower Dinginin, achieved financial close.",0.9309616684913635,0.03871013596653938,0.03032821975648403
"AC Energy has approximately 50 percent economic stake in the project, which has an estimated cost of US$1.7 billion.",0.07274948060512543,0.9178482294082642,0.009402275085449219
"Construction of the first unit is well underway, and is targeted for commercial operations by 2019, with the second unit scheduled for completion by 2020.",0.3354507386684418,0.6515606641769409,0.01298865582793951
"Share of profits of associates and joint ventures reached ₱18.5 billion, up two percent, primarily on the steady increase of equity earnings from investees of Ayala Land and AC Energy, and the better performance of BPI.",0.957758903503418,0.023529576137661934,0.018711470067501068
"Bank of the Philippine Islands recorded a net income of ₱22.4 billion, up 1.7 percent from its year-ago level, as the absence of one-off gains tempered strong growth in its core banking business during the year.",0.9527165293693542,0.024342196062207222,0.022941309958696365
"Excluding one-off gains from the sale of securities in 2016, net income grew 31 percent in 2017.",0.952111542224884,0.03198700398206711,0.015901513397693634
Total revenues rose seven percent to ₱71 billion as net interest income expanded 13 percent to ₱48 billion driven by asset growth and improvement in net interest margin.,0.956963837146759,0.024164047092199326,0.01887213997542858
"Non-interest income, meanwhile, dropped five percent to ₱22.9 billion on the absence of significant trading gains registered in 2016.",0.0076595027931034565,0.015354182571172714,0.9769863486289978
"This was partially offset by the bank’s higher fee-based income, which grew 16 percent to ₱19.9 billion, lifted by higher credit card fees, trust and investment management fees, insurance fees, bank commissions, and service charges.",0.9580183625221252,0.02200726605951786,0.019974438473582268
"BPI continues to be a leader in profitability metrics, with cost-to-income ratio at 54.3 percent, slightly higher from the 52.5 percent posted a year ago, mainly driven by its digitalization initiatives.",0.956986665725708,0.027472607791423798,0.015540783293545246
"Total loans jumped 16 percent to ₱1.2 trillion, boosted by corporate loans.",0.9528145790100098,0.027773356065154076,0.019412081688642502
Asset quality improved with the gross 90-day non-performing loans ratio declining from 1.46 percent to 1.29 percent and reserve cover ratio increasing from 119 percent to 129 percent.,0.39863699674606323,0.02080058492720127,0.5805624127388
"Last year, BPI announced the creation of a business banking segment, a new client group focused on the banking needs of the country’s small and medium scale enterprises.",0.31730061769485474,0.6758678555488586,0.0068315258249640465
"It also raised a record ₱12.2 billion from its offering of long-term negotiable certificates of time deposit, the largest issuance by far in the industry.",0.8997429013252258,0.09028791636228561,0.009969194419682026
"Last January, the bank announced a stock rights offering of up to ₱50 billion to support its strategic initiatives, including the strengthening of its market-leading businesses and core franchises through the expansion of lending activities across consumer, SME, and microfinance segments to capture positive momentum in the domestic economy.",0.9362969398498535,0.05198561027646065,0.011717481538653374
"In addition, the stock rights offer will strengthen BPI’s capital base as it pursues its growth strategy in the medium term.",0.9476000070571899,0.03973560780286789,0.012664359994232655
Globe Telecom’s net earnings dropped five percent to ₱15.1 billion in 2017 due to higher operating expenses and depreciation charges as a result of increased investments in its data network.,0.006887469440698624,0.016783103346824646,0.9763294458389282
"Topline growth, however, remains strong, with service revenues reaching ₱127.9 billion during the year, up six percent year-on-year.",0.9554586410522461,0.026421714574098587,0.018119562417268753
This was fueled by sustained demand for data-related products.,0.9410550594329834,0.04123874753713608,0.017706265673041344
Mobile revenues grew seven percent to ₱98.5 billion.,0.9508189558982849,0.03503359109163284,0.014147420413792133
"Globe’s mobile subscriber base reached 60.7 million at the end of 2017, three percent lower from a year ago.",0.011042520403862,0.015434549190104008,0.9735228419303894
"The decline in the cumulative mobile subscriber base was a result of the change in reporting Globe’s prepaid subscribers in 2017, which excluded prepaid subscribers who do not reload within 90 days of the second expiry period.",0.0160834938287735,0.026554498821496964,0.9573619961738586
"Mobile data continues to drive Globe’s total mobile revenues, accounting for 44 percent from 38 percent a year ago.",0.9531267881393433,0.027909966185688972,0.01896323822438717
Globe’s home broadband segment posted a seven percent increase in revenues to ₱15.6 billion in 2017.,0.9538306593894958,0.029319969937205315,0.01684928871691227
"Total home broadband subscribers climbed 15 percent to 1.3 million year-on-year, putting Globe on track with its target to provide internet service to two million homes by 2020.",0.9493883848190308,0.03406359627842903,0.016548044979572296
Corporate data business increased four percent from a year ago to ₱10.3 billion owing to strong demand for data-driven solutions by corporates.,0.9574137926101685,0.024401642382144928,0.0181844811886549
"Globe’s consolidated EBITDA improved seven percent to ₱53.3 billion, while EBITDA margin stood at 42 percent from 41 percent in the previous year.",0.9536334276199341,0.02239799313247204,0.02396855503320694
Globe spent around ₱42.5 billion in capital expenditure in 2017 to support its continuous network infrastructure enhancement.,0.8968141078948975,0.09399713575839996,0.009188785217702389
"It launched new products to enable the Filipino digital lifestyle, including Mynt’s rollout of the GCash scan-to-pay system in malls, fast food chains, major retailers, and convenience stores.",0.6045119762420654,0.38680073618888855,0.008687227964401245
"Other income surged 66 percent to ₱20.9 billion in 2017, as compared to ₱12.6 billion in the previous year.",0.9504054188728333,0.019038449972867966,0.0305560864508152
This was largely attributed to income from higher rehabilitation works of Manila Water; the reversal of impairment provision for a real estate property and higher management and marketing fees of Ayala Land; commission fees of AC Energy; and gains on disposal of certain investments of AG Holdings.,0.9488674402236938,0.0317254476249218,0.019407004117965698
"Consolidated cost of sales for the year stood at ₱175.7 billion, a 24 percent increase, brought about by higher sales from the real estate segment, particularly in lots and residential units, AC Industrials‘ electronic manufacturing and automotive retail businesses, and stronger service revenues of the energy group.",0.9576703310012817,0.022665774449706078,0.019663967192173004
Consolidated general and administrative expenses rose 20 percent to ₱25.2 billion.,0.9576302170753479,0.019890444353222847,0.02247939631342888
"This was a result of combined increments in the groups expenses, particularly from Ayala Land’s contracted services, professional fees, taxes, retirement, and trainings; the parent’s, AC Energy’s, and Manila Water’s manpower, insurance costs, depreciation expenses, as well as Manila Water’s AR provisions; AC Industrials‘ automotive business‘ marketing and promotional expenses, and IMI’s manpower costs and professional and management fees.",0.0328097827732563,0.2914406359195709,0.675749659538269
This also includes the impact of consolidation of IMI and AC Energy’s new subsidiaries.,0.03772667422890663,0.9418559670448303,0.0204173494130373
"Ayala’s balance sheet remains at a healthy level, allowing it to continue supporting its investments and meet its debt and dividend obligations.",0.9436218738555908,0.04337872937321663,0.012999441474676132
"Investments in associates and joint ventures rose to ₱202.6 billion, as a result of new investments made by AC Energy, AC Ventures, and Ayala Land.",0.9493618607521057,0.0349261499941349,0.015712017193436623
"The parent’s share in net earnings from BPI and Globe, as well as existing investees of Ayala Land, Manila Water, AC Energy, and AC Infrastructure, also contributed to growth, tempered in part by Bestfull’s disposal of certain investments.",0.9561677575111389,0.02729368582367897,0.016538523137569427
"Investments in property jumped 24 percent to ₱137.7 billion through the real estate unit’s expansion projects in malls, office properties, and select land development.",0.9507330060005188,0.03253178298473358,0.016735253855586052
"Meanwhile, investments in property and equipment recorded a 33 percent increase to ₱85.4 billion.",0.9497902989387512,0.0301962923258543,0.020013295114040375
"This was lifted by AC Energy’s construction of power plants for GNP Kauswagan, Ayala Land’s capex for hotels and resorts, IMI’s new capital spending for its Europe and Mexico sites, and Manila Water’s expansion projects.",0.9486846923828125,0.036187510937452316,0.015127803198993206
The impact from the consolidation of AC Energy’s and IMI’s new subsidiaries also factored in this account’s growth.,0.901195228099823,0.0881076380610466,0.010697157122194767
"At the end of 2017, total debt at the consolidated level stood at ₱350.6 billion, a 19 percent increase from the December 2016 level of ₱295.9 billion.",0.9498777389526367,0.027848580852150917,0.02227359637618065
"This was due to capital-raising exercises by the parent, AYC, and Ayala Land, as well as borrowings for expansion projects of the real estate, energy, and water segments.",0.6725635528564453,0.3183352053165436,0.00910125020891428
Total assets crossed the ₱1 trillion mark in 2017.,0.784835934638977,0.19611327350139618,0.019050858914852142
"Cash at the parent level reached ₱18.6 billion, while net debt stood at ₱64.7 billion.",0.21109619736671448,0.7690649032592773,0.019838828593492508
"Net debt-to-equity ratio was 0.68 at the consolidated level, and 0.59 at the parent level.",0.03047238662838936,0.8621383905410767,0.10738930851221085
"Ayala’s loan-to-value ratio, or the ratio of the parent net debt to the total value of its investments, was 6.4 percent as of end-December 2017.",0.030321313068270683,0.9350303411483765,0.03464832529425621
