sentence,positive,neutral,negative
The year 2020 was an unusual year as it brings unprecedented challenges due to COVID-19 pandemic.,0.13256999850273132,0.43344250321388245,0.433987557888031
"The pandemic, which put the Philippines in a state of calamity from March 17, is still sweeping globally as of date of this report.",0.030418377369642258,0.2956995666027069,0.6738820672035217
"To curb the spread of this novel coronavirus, the governments across the world have implemented safety protocols, stay-at-home orders and varying degrees of lockdown [called community quarantine (“CQ”)3 in the Philippines].",0.11506254971027374,0.8485211133956909,0.03641633316874504
"At the onset, the entire Luzon, its associated islands, and practically the whole country were under ECQ for two months, which paralyzed all non-essential activities and public transportation.",0.00875661801546812,0.05814341455698013,0.9330999851226807
"By the end of the year, most of the country was already under the more relaxed MGCQ while Metro Manila, Batangas, and the cities of Iloilo, Davao and Tacloban continued to be under GCQ.",0.05733201652765274,0.9228292107582092,0.019838713109493256
"The Group has conducted business operations in compliance with government directives and protocols amidst complex challenges brought by the localized CQ measures which include non-essential business suspensions, limited public transportation and public gathering restrictions.",0.5085846185684204,0.30785882472991943,0.1835564821958542
"In all allowed activities and public/work places, the minimum public health standards are followed at all times and contactless connections are promoted.",0.03411249443888664,0.9460744857788086,0.019813023507595062
"Prolonged physical meetings are discouraged, online interactions are encouraged, and alternative work arrangements such as shifts, rotation, skeletal force and work-from-home are implemented.",0.04178989306092262,0.9238064885139465,0.03440358489751816
"Transport service and health and safety guards (face masks, face shields, alcohol, vitamin C and personal protective equipment) are provided to employees and workers.",0.03588484972715378,0.9218332767486572,0.04228194057941437
"By the end of the year, public transportation, dine-in services and mass gatherings are still limited at about 50% capacity; curfew is still in effect; and only hotels with accreditation from the Department of Tourism are allowed to accommodate guests and clients.",0.015057969838380814,0.20954445004463196,0.7753975987434387
"The Group has diversified revenue streams, either by type of products or by geographic locations, that help mitigate the impact of the pandemic-related lockdown restrictions.",0.7687766551971436,0.22377541661262512,0.007447949144989252
"The complex challenges of the CQ measures resulted in a downturn in the Group’s growth trajectory with revenues and income, net profit, and net profit to owners sliding by 28%, 62% and 50%, respectively, as compared to a year ago, to end the year with P128.8 billion revenues and income, P10.3 billion net profit and P8.8 billion net profit to owners.",0.00964401289820671,0.015884777531027794,0.9744712114334106
