sentence,positive,neutral,negative
"Ayala Land, Inc. (ALI or “the Company”) posted a net income of P25.31 billion, a solid earnings growth of 21% in 2017.",0.9438986778259277,0.0422394797205925,0.013861826620995998
"The Company sustained a healthy topline with P142.30 billion in consolidated revenues, 14% higher than 2016.",0.9567283987998962,0.02263711579144001,0.020634444430470467
"Real Estate revenues likewise increased 13% to P133.1 billion, driven by the resurgence of property sales and the strong growth of its leasing business.",0.9595226049423218,0.02321704663336277,0.01726030744612217
"Meanwhile, earnings before interest and taxes (EBIT) margin registered at 30.1% compared to 29.7% last year.",0.5222950577735901,0.021138958632946014,0.4565660059452057
"Total revenues from Property Development amounted to P96.39 billion, 24% higher than P77.73 billion last year.",0.9521586298942566,0.02683516964316368,0.02100624330341816
"Revenues from the sale of residential lots and units reached P79.90 billion, 25% higher than P64.08 billion last year, driven by bookings and project completion across all residential brands.",0.956139862537384,0.02608659490942955,0.017773592844605446
"Ayala Land Premier (ALP) registered revenues of P26.50 billion, 7% higher than P24.86 billion last year given higher completion from its subdivision projects such as Cerilo in Nuvali and The Courtyards Phase 2 in Vermosa and its condominium projects such as Park Central North in Makati and Arbor Lanes 3 in Arca South.",0.9565399885177612,0.026735838502645493,0.01672416739165783
"Alveo meanwhile recorded revenues of P26.17 billion, a robust gain of 45% from P18.03 billion last year due to higher completion of its subdivision projects such as Ardia in Vermosa, Cavite and Montala in Alviera, Porac Pampanga and its condominium projects such as High Park Tower 2 in Vertis North, Quezon City, Verve Residences 2 and Veranda Phase 2.",0.9565371870994568,0.022265195846557617,0.02119762822985649
"Avida posted revenues of P20.83 billion, a strong growth of 22% from P17.07 billion last year on the account of combined higher bookings and incremental completion of its condominium projects such as Avida Towers Turf 1, The Montane and Avida Tower Verte in Bonifacio Global City, Avida Tower Sola 1 in Vertis North, Avida Towers Riala 3 in Cebu City, and Avida Towers One Union Place 1 and 2 in Arca South and its subdivision projects such as Hillcrest Estates, Woodhill Settings, and Southfield Settings in Nuvali.",0.9527551531791687,0.027714626863598824,0.019530154764652252
"Amaia generated revenues of P5.74 billion, a significant increase of 72% from P3.35 billion last year as a result of higher bookings and completion Skies Towers in Avenida, Shaw, Sta.",0.9540479779243469,0.025861013680696487,0.020090948790311813
