sentence,positive,neutral,negative
"Total Resources expanded 15% year-on-year to P2.7 trillion primarily funded by low cost deposits, the P11.8 billion LTNCD issuance, the $700 million Senior Notes issuance and the P60.0 billion proceeds from the Bank’s Stock Rights Offering (SRO) in January 2017.",0.951232373714447,0.03277081623673439,0.0159969013184309
"Cash and Other Cash Items and Due from BSP increased 10% and 11% to P45.0 and P353.3 billion, resepectively, owing to increased reserve requirements on higher deposit levels.",0.9582418203353882,0.021102048456668854,0.020656144246459007
Investment Securities hiked 24% to P332.9 billion from expansion in both Treasury and BDO Life’s portfolios.,0.9503934383392334,0.018001137301325798,0.03160538524389267
Net Loans and Other Receivables grew 14% to P1.8 trillion primarily from an 18% growth in Customer Loans.,0.9578568935394287,0.022978831082582474,0.019164271652698517
"Securities Purchased Under Reverse Repurchase Agreements (SPURRA) likewise increased 28% to P18.3 billion, while Interbank Loans, Unquoted Debt Securities Classified as Loans (UDSCL) and Other Receivables dropped to P37.7 billion, P4.0 billion and P6.8 billion, respectively.",0.7034618854522705,0.0372011698782444,0.2593369483947754
Bank Premises rose 9% to P29.3 billion due to enhancements and additions to the Bank’s distribution channels inclusive of branch expansion.,0.9579606056213379,0.025528080761432648,0.016511255875229836
Equity Investments grew 9% to P4.8 billion on continued earnings of associates.,0.959339439868927,0.023968061432242393,0.01669255830347538
Deferred Tax Assets climbed 17% to P7.4 billion resulting from the Bank’s retirement obligation.,0.9556783437728882,0.02208448201417923,0.022237209603190422
Other Assets jumped 20% to P34.0 billion owing to outstanding credit card transactions as of the cut-off date.,0.950890302658081,0.02329564094543457,0.025813978165388107
"Total Deposits expanded 11% to P2.1 trillion as Demand, Savings and Time Deposits grew 18%, 11% and 10%, respectively.",0.9543207287788391,0.029131872579455376,0.01654738187789917
Bills Payable soared 30% to P130.5 billion mainly from the issuance of the $700 million Senior Notes.,0.9523940682411194,0.02758634090423584,0.020019568502902985
Insurance Contract Liabilities jumped 26% to P26.0 billion following strong growth in BDO Life business volumes.,0.9591733813285828,0.021548030897974968,0.01927862875163555
"Other Liabilities climbed 16% to P82.3 billion mainly due to higher levels of accrued expenses, accounts payable and checks outstanding as of the cut-off date.",0.9508325457572937,0.016025487333536148,0.03314199298620224
Total Equity hiked 37% to P298.3 billion due to the SRO in January 2017 and bottomline profits.,0.8209463357925415,0.017387231811881065,0.1616663783788681
Total Contingent Accounts increased 11% to P1.8 trillion due to the following: Export L/Cs Confirmed rose 51% to P2.4 billion.,0.9574195146560669,0.02481480874121189,0.017765652388334274
Other Contingent Accounts jumped 35% to P321.1 billion on higher committed credit lines.,0.9565377235412598,0.022212764248251915,0.02124951221048832
"Increased treasury trading activities resulted in growth in Spot Exchange Bought and Sold, as well as Forward Exchange Bought and Sold.",0.9013308882713318,0.08971571922302246,0.008953492157161236
Interest Rate Futures Sold was at P604 million while Interest Rate Swap Receivable and Payable dropped year-on-year.,0.020789112895727158,0.4202612340450287,0.5589496493339539
"Outstanding Guarantees Issued and Late Deposits and Payments Received went down 40% and 44% to P20.2 billion and P1.4 billion, respectively, as of the cut-off date.",0.006531208287924528,0.018486807122826576,0.9749819040298462
