sentence,positive,neutral,negative
"The compounded annual growth rate (CAGR) of the Bank’s asset levels from 2015 to 2017 was 9.5%, driven by the 9.9% increase in deposits.",0.8848779797554016,0.1005982905626297,0.014523722231388092
Loans likewise increased over the same period by 14.5%.,0.9504620432853699,0.03463442996144295,0.014903521165251732
"Capital growth of 7.8% was driven by increasing profits generated annually, net of cash dividends paid.",0.9520636200904846,0.0333295501768589,0.01460675336420536
"Total resources ended at P1.90 trillion, P178.2 billion, or 10.3% higher than last year’s P1.73 trillion.",0.8927838802337646,0.035006456077098846,0.07220969349145889
"Total deposits expanded by P130.9 billion, or 9.1% to P1.56 trillion due to balances growth in time, savings and demand deposits of P69.8 billion, or 18.4%, P40.4 billion, or 4.9%, and P20.7 billion or 8.9%, respectively.",0.9520207643508911,0.030408335849642754,0.01757090352475643
"Bills payable grew P21.5 billion, or 34.8% on higher external borrowings.",0.15480490028858185,0.813136875629425,0.032058220356702805
"Deferred credits and other liabilities increased by P7.8 billion, or 24.3% due to higher foreign acceptances outstanding and miscellaneous liabilities.",0.9580703377723694,0.01851055398583412,0.023419160395860672
"Derivative financial liabilities grew P1.7 billion or 53.9%, due to higher market valuation of certain derivative products.",0.9581711292266846,0.022960232570767403,0.01886865124106407
Due to Bangko Sentral ng Pilipinas and other banks increased by P548 million or 81.8% due to higher obligations to BSP and external borrowings.,0.9569117426872253,0.02261102944612503,0.020477162674069405
"On the other hand, Manager’s checks and demand draft outstanding decreased P557 million, or 7.3% due to lower balance of manager’s checks issued.",0.015322460792958736,0.014838912524282932,0.9698386788368225
"Capital funds expanded by P15.6 billion, or 9.4% to P180.7 billion, from year-end 2016.",0.9506095051765442,0.03507693484425545,0.014313509687781334
"Surplus contributed to the capital growth by P17.8 billion, or 18.1%, as a result of accumulated profits net of cash dividend payments.",0.9360935688018799,0.047727953642606735,0.01617845706641674
"Reserves were down by P2.5 billion, or 90.6%, as a result of the incorporation of the Bank’s trust business.",0.007058596704155207,0.01766522414982319,0.9752761721611023
"On the asset side, loans and advances increased P161.6 billion, or 15.5% driven by higher loan demand from corporate loans.",0.9592270851135254,0.022471098229289055,0.018301725387573242
"Due from Bangko Sentral ng Pilipinas likewise increased P16.4 billion, or 6.9% on higher volume of placement in BSP deposits and reserves.",0.9581423401832581,0.02251402661204338,0.019343672320246696
"Other resources, net grew P3.5 billion, or 28.2% on account of higher miscellaneous assets.",0.24837499856948853,0.7302514910697937,0.021373474970459938
"Interbank loans receivable and securities purchased under agreements to resell went up P3.4 billion, or 22.0% due to increase in RRP volume and interbank term loans with foreign banks and financial institutions.",0.9568913578987122,0.02119310013949871,0.021915579214692116
"Derivative financial assets expanded by P2.0 billion, or 66.4%, due to higher positive fair value on certain derivative positions.",0.9586492776870728,0.02311781607568264,0.01823284663259983
"Bank premises, furniture, fixtures and equipment, net increased by P1.2 billion, or 9.0% due to building renovations and leasehold improvements.",0.8156187534332275,0.1743624359369278,0.010018794797360897
"Assets attributable to insurance operations increased by P1.1 billion, or 6.6%, due to the Bank’s non-life insurance subsidiary’s higher securities investments and insurance receivables.",0.9568019509315491,0.025671785697340965,0.017526302486658096
"Deferred income tax assets, net grew P548 million, or 7.3% due to higher allowance for probable loss.",0.09230714291334152,0.49037855863571167,0.41731420159339905
"On the other hand, Trading securities declined by P9.3 billion, or 63.5%, due to decrease in holding of securities intended for trading.",0.011643826961517334,0.015600902028381824,0.9727553129196167
"Due from Other Banks, likewise declined by P8.6 billion, or 37.5%, on lower working balances and placements maintained with correspondent banks.",0.010621444322168827,0.014831999316811562,0.9745466113090515
