sentence,positive,neutral,negative
"Full year consolidated service revenues reached P149.0 billion in 2019, up by 12% from P132.9 billion last year due to the sustained data revenue growth across mobile, broadband and Corporate Data business.",0.957262396812439,0.022350989282131195,0.020386667922139168
"Mobile revenues were up 12% to P111.8 billion from last year’s P99.5 billion, coming largely from Prepaid.",0.958073616027832,0.02236737124621868,0.019558977335691452
"Home Broadband posted revenues of P21.7 billion due to the continued subscriber expansion notably from the prepaid sector as the Home Prepaid Wi-Fi are gaining more traction, given the insatiable clamor for reliable and affordable internet.",0.9478444457054138,0.04054137319326401,0.01161425095051527
"Corporate Data likewise registered P12.8 billion, 9% increase from a year ago due to the sustained circuit base expansion.",0.9520995020866394,0.02447817288339138,0.023422399535775185
"Total operating expenses and subsidy as of end-December 2019 amounted to nearly P73.0 billion, higher by 8% from P67.7 billion in 2018.",0.9529368877410889,0.01935497298836708,0.027708126232028008
"This was largely from marketing expenses, staff costs, services, utilities, and repairs & maintenance, as partly offset by lower interconnection fees, lease and provisions.",0.4183921813964844,0.5257772207260132,0.05583059415221214
"Globe’s consolidated EBITDA reached P76.0 billion, surpassing last year’s level of P65.1 billion due mainly to the strong topline offsetting the growth in operating expenses.",0.9559891819953918,0.023863602429628372,0.020147308707237244
"EBITDA margin for 2019 was at 51%, higher versus last year’s margin of 49%.",0.9586336612701416,0.026524852961301804,0.014841505326330662
"Total depreciation expenses posted a 12% increase to P34.1 billion from the P30.4 billion reported in 2018, given Globe’s sustained higher capital investments.",0.9554173350334167,0.020763080567121506,0.02381959557533264
"Overall, total operating costs and subsidy including depreciation as of end-December 2019 posted P107.1 billion or 9% higher than the P98.2 billion reported in 2018.",0.7855198383331299,0.027647685259580612,0.1868325173854828
"Full year 2019 non-operating charges jumped to P9.1 billion, or 28% above than the P7.1 billion reported last year.",0.9479026794433594,0.01870921440422535,0.033388104289770126
"This was attributed to higher share in affiliates’ losses particularly from Mynt, coupled with higher interest expenses, loss associated with Yondu reacquisition and increase in swap costs.",0.40023910999298096,0.03550165519118309,0.5642592310905457
"The Globe Group closed the year with total consolidated net income of P22.3 billion, up 20% from previous year’s P18.6 billion, due to the gains in EBITDA, offsetting depreciation charges and non- operating expenses booked for the year just ended.",0.9566419720649719,0.020816218107938766,0.022541815415024757
"Globe’s core net income, which excludes the impact of non-recurring charges, one-time gain, foreign exchange gains and mark-to-market charges, stood at P22.5 billion, up a robust 20% year- on-year.",0.9536718130111694,0.02631860412657261,0.020009582862257957
"As of the end-December 2019, total cash capex stood at million), 18% higher than last year's level of P43.3 billion.",0.9520396590232849,0.032502032816410065,0.01545825693756342
"The Globe Group ended the year with total operating revenues of P166.7 billion, up 10% from the P151.2 billion recorded last year.",0.9574366211891174,0.022352276369929314,0.02021113596856594
"This was driven by robust service revenue growth, which was up 12% year-on-year to reach P149.0 billion from P132.9 billion a year ago.",0.9547999501228333,0.023898161947727203,0.021301794797182083
"Mobile service revenues, which accounted for 75% of Globe’s consolidated service revenues for the year just ended, rose to P111.8 billion, due to the continued strong revenue contributions from mobile data (+41%) as partly offset by the decline in traditional voice (-15%) and SMS (-22%).",0.9591164588928223,0.017232824116945267,0.02365078590810299
"Globe Group’s Fixed line and Home Broadband full year 2019 revenues stood at P37.2 billion, 12% increase year-on-year from P33.3 billion in 2018, bolstered by the solid contributions of both Home Broadband and Corporate Data.",0.9556516408920288,0.02145489491522312,0.02289346233010292
Mobile non-service revenues declined year-on-year by 4%.,0.008328751660883427,0.015975479036569595,0.975695788860321
"Fixed Line and Home Broadband non- service revenues, however was at par with 2018.",0.6152042746543884,0.06369443982839584,0.32110124826431274
"Mobile voice revenues, which accounted for 22% of total mobile service revenues, ended the year at P24.3 billion, down by 15% from P28.4 billion in 2018.",0.006893296260386705,0.016781266778707504,0.9763254523277283
