filename,ticker,year,sentence,positive,neutral,negative
MBT_2018.csv,MBT,2018,"As of December 31, 2018, the Metrobank Group posted a 7.85% growth in total assets from P2.08 trillion as of December 31, 2017 to P2.24 trillion.",0.9370390772819519,0.04078197479248047,0.022179044783115387
MBT_2018.csv,MBT,2018,Total liabilities of the Group increased to P1.95 trillion from P1.88 trillion or by 4.09%.,0.9513487815856934,0.023504028096795082,0.02514719031751156
MBT_2018.csv,MBT,2018,"Moreover, equity attributable to equity holders of the Parent Company was higher by P81.01 billion or 40.11% from P201.96 billion to P282.96 billion.",0.9578820466995239,0.02100713737308979,0.02111084759235382
MBT_2018.csv,MBT,2018,Cash and Other Cash Items increased by P5.46 billion or 19.76% due to the higher level of cash requirements of the Parent Company.,0.9566686153411865,0.023556241765618324,0.019775141030550003
MBT_2018.csv,MBT,2018,Due from BSP which represents 10.70% of the Group’s total assets decreased by P21.83 billion or 8.33% due to reserve cuts in 2018.,0.010928203351795673,0.017095359042286873,0.9719764590263367
MBT_2018.csv,MBT,2018,Due from Other Banks increased by P14.51 billion or 46.37% as a result of the net movements in the balances maintained with various local and foreign banks.,0.9549568891525269,0.02716299518942833,0.017880121245980263
MBT_2018.csv,MBT,2018,"Interbank Loans Receivable and SPURA went up by P5.24 billion or 11.53% primarily due to increase in balance of securities under resale agreement with BSP. Total investment securities which consisted of FVTPL, FVOCI (AFS in 2017) and securities at amortized cost which represents 18.56% and 18.64% of the Group’s total assets as of December 31, 2018 and 2017, respectively, went up by P28.56 billion or 7.36%.",0.9557331204414368,0.024558711796998978,0.01970827952027321
MBT_2018.csv,MBT,2018,"As a result of the adoption of the classification and measurement requirements of PFRS 9, the Group classified debt securities held under AFS investments as at January 1, 2018 as either at amortized cost for securities belonging to portfolios managed under a hold to collect business model or at FVOCI.",0.030179986730217934,0.9508421421051025,0.018977854400873184
MBT_2018.csv,MBT,2018,"Loans and Receivables, representing 62.0% and 60.83% of the Group’s total assets as of December 31, 2018 and 2017, respectively, went up by P125.57 billion or 9.92% driven by the strong demand for loans from all segments.",0.9537404775619507,0.027483884245157242,0.01877570152282715
MBT_2018.csv,MBT,2018,"Non-performing loans were at 1.20% as of December 31, 2018.",0.02358764410018921,0.8932390213012695,0.08317326009273529
MBT_2018.csv,MBT,2018,Deferred Tax Assets (DTA) increased by P1.08 billion or 11.76% primarily attributable to allowance for credit and impairment losses.,0.9568129777908325,0.02275095507502556,0.020436106249690056
MBT_2018.csv,MBT,2018,Other Assets increased by P5.26 billion or 50.21% from P10.47 billion to P15.72 billion primarily due to the increases in miscellaneous assets (inclusive of the funding for retirement) and interoffice float items.,0.9523330926895142,0.027140960097312927,0.020525891333818436
MBT_2018.csv,MBT,2018,"Deposit liabilities represent 79.71% and 81.44% of the consolidated total liabilities as of December 31, 2018 and 2017, respectively, wherein, low cost deposits represent 61.98% and 62.19% of the Group’s total deposits, respectively.",0.027218583971261978,0.9486186504364014,0.02416275627911091
MBT_2018.csv,MBT,2018,"The Group’s deposit level, sourced by the Bank, PSBank and MBCL reached P1.56 trillion as of December 31, 2018, an increase of P28.79 billion or 1.88% from P1.53 trillion as of December 31, 2017.",0.9480509757995605,0.027911927551031113,0.024037182331085205
