sentence,positive,neutral,negative
"Megaworld, the country’s largest developer of integrated urban townships, saw its net income increased by 35.79% to Php14.38 billion in the fourth quarter of 2021 from Php10.59 billion during the same period in 2020, just as the company registered gains in line with the improving business environment.",0.952190101146698,0.02531510591506958,0.022494778037071228
"Net income attributable to parent company stood at Php13.43 billion, increased by 35.89% from Php9.89 billion last year.",0.9525494575500488,0.025279536843299866,0.02217092737555504
Megaworld’s consolidated revenues increased by 16.57% from Php43.54 billion in the fourth quarter of 2020 to Php50.75 billion during the same period this year.,0.9550098776817322,0.02553049474954605,0.019459573552012444
"Among product portfolios, the bulk of consolidated revenues came from the sale of condominium units and commercial lot, comprising 61.33% of total revenues.",0.0451740026473999,0.9398976564407349,0.014928370714187622
Real estate sales grew by 25.23% year-on-year to Php31.13 billion from the previous year’s Php24.86 billion as construction activities picked up during the year.,0.9551205635070801,0.022309962660074234,0.02256951667368412
"The Group’s registered sales mostly came from the following projects: Golfhill Gardens, Park McKinley West, One Regis, Eastwood Global Plaza Luxury Residence, Uptown Parksuites Tower 1&2, Bayshore Residential Resort 2 Phase 2, San Antonio Residence, Vion Tower, Grand Westside Hotel, Mactan Belmont Luxury Hotel, The Palladium, The Albany-Yorkshire & Kingsley, Lafayette Park Square, The Ellis, Savoy Hotel Mactan Newtown, Maple Grove Commercial District, Eastwood Le Grand Tower 2, Gentry Manor, The Venice Luxury Residence – St. Marks Residences, Iloilo Boutique Hotel, Manhattan Plaza Tower 1, St. Moritz Private Estate 2 and Saint Dominique.",0.02944430708885193,0.953285813331604,0.01726987585425377
"The Group’s rental businesses, comprising of office and lifestyle mall leasing, registered a 2.99% increase, reaching Php13.32 billion in the fourth quarter of 2021 from the previous year’s Php12.93 billion.",0.9512847661972046,0.02434430830180645,0.024370871484279633
This contributed 26.24% of the total consolidated revenues for the first twelve months of the year.,0.1538529247045517,0.829956591129303,0.016190456226468086
The Group’s revenues attributable to hotel operations posted a strong recovery in 2021 to Php1.93 billion during the fourth quarter of 2021 with an increase of 30.14% from Php1.48 billion for the same period last year.,0.950721800327301,0.022288966923952103,0.02698923647403717
"Total costs and expenses amounted to Php36.38 billion, an increase by 10.39% from Php32.95 billion last year.",0.9528232216835022,0.023763567209243774,0.0234132818877697
"Interest and other charges – net increased by 64.08%, amounting to Php4.81 billion this year from Php2.93 billion in 2020.",0.9454637169837952,0.025468071922659874,0.029068252071738243
Tax expense in 2021 amounting to Php565 million resulted to a decrease of 83.13% from 2020 reported amount of Php3.35 billion due to lower taxable income.,0.02059980481863022,0.01126424316316843,0.9681360125541687
