sentence,positive,neutral,negative
"SM Investments Corporation and Subsidiaries (the Group) reported P32.9 billion Net Income Attributable to Owners of the Parent, 5.5% higher than 2016, and P396.1 billion Revenues, 9.0% higher than 2016.",2.5551826183800586e-06,2.4369608553342914e-08,0.9999973773956299
Income from Operations increased by 12.0% to P75.2 billion from P67.2 billion in 2016.,3.0338956094055902e-06,2.7822885328987468e-08,0.9999969005584717
"Operating Margin and Net Margin is at 19.0% and 13.0%, respectively.",0.9999932050704956,5.279076503938995e-06,1.570321273902664e-06
"Merchandise Sales, which grew by 7.2% to P288.5 billion from P269.3 billion in 2016, accounts for 72.8% of total revenues in 2017.",2.5189812731696293e-05,4.957160371077407e-08,0.9999747276306152
"The increase is attributable to the opening of 2 SM Stores, 4 SM Supermarkets, 28 Savemore stores, 3 SM Hypermarkets, 7 WalterMart stores, and 159 Specialty stores.",0.9997866749763489,3.706183997564949e-05,0.0001762152387527749
"The Non-Food and Food Group comprised 49% and 51%, respectively, of merchandise sales in 2017 and 2016, respectively.",0.9999885559082031,1.1123926924483385e-05,3.165531836657465e-07
"As of December 31, 2017, SM Retail had 1,684 stores nationwide, namely: 59 SM Stores, 52 SM Supermarkets, 181 Savemore stores, 47 SM Hypermarkets, 46 WalterMart stores and 1,299 Specialty stores.",0.9999995231628418,4.8286159426425e-07,2.1785114157069074e-08
"Real Estate Sales increased by 17.6% to P29.6 billion from P25.1 billion in 2016 due primarily to higher construction accomplishments of projects launched from 2013 to 2016 namely, Shore, Shore 2 and S Residences in Pasay City, Air Residences in Makati, Fame Residences in Mandaluyong and Silk Residences in China and continued increase in sales take-up of Ready- for-Occupancy (RFO) projects due to strong demand fueled by OFW remittances, sustained growth of the BPO sector, government spending and rising disposable income of the emerging middle class.",3.5263667541585164e-07,8.847293564429037e-09,0.9999996423721313
"Rent Revenues, derived mainly from the mall operations of SM Prime Holdings, Inc. (SM Prime), increased by 12.9% to P42.4 billion from P37.5 billion in 2016.",0.00042570068035274744,4.1623607103247195e-06,0.9995700716972351
"The increase in Rent Revenue is primarily due to the new malls which opened in 2016 and 2017, namely, SM City San Jose Del Monte, SM City Trece Martires, SM City East Ortigas, SM CDO Downtown Premier, SM City Puerto Princesa, SM Center Tuguegarao Downtown and S Maison at the Conrad Manila as well as the expansion of shopping spaces in SM City San Pablo, SM City Sucat and SM Center Molino.",0.9794846177101135,3.767468297155574e-05,0.02047763392329216
"Excluding the new malls and expansions, same-store rental growth is at 7%.",0.999153733253479,0.00021249453129712492,0.000633793999440968
