filename,sentence
AEV_2019.txt,The following discussion and analysis of the financial condition and results of operations of Aboitiz Equity Ventures Inc. and its Subsidiaries should be read in conjunction with the audited consolidated financial statements and accompanying disclosures set forth elsewhere in this report.
AEV_2019.txt,The critical accounting policies section discloses certain accounting policies and management judgments that are material to the Company’s results of operations and financial condition for the periods presented in this report.
AEV_2019.txt,"As can be gleaned from the resulting KPI values, profitability had been sustained and financial position remained liquid."
AEV_2019.txt,Consolidated EBITDA translated into substantial cash inflows coming from subsidiaries' operations and from dividend payments of associates and JVs.
AEV_2019.txt,"The internally-generated funds were then used to partially finance capital expenditures, settle maturing financial obligations and pay cash dividends."
AEV_2019.txt,"With the debt growing while equity slightly decreased during the year, debt-to-equity ratio moved up to 1.71x (compared to end-2018's 1.54x)."
AEV_2019.txt,Current ratio declined to 1.27x (compared to end-2018's 1.80x) as current liabilities grew while current assets decreased.
AEV_2019.txt,"For the year ended December 31, 2019, AEV and its subsidiaries posted a net income attributable to the equity holders of parent (“Net Income to Equity Holders of AEV”) ₱22.04 bn, a 1% year-on-year (YoY) decrease."
AEV_2019.txt,This translated to earnings per share of ₱3.91 for the year in review.
AEV_2019.txt,"The Power Group still accounted for the bulk of income contribution at 57%, followed by the Banking and Financial Services, Food, Real Estate and Infrastructure Groups at 30%, 7%, 4%, and 2%, respectively."
AEV_2019.txt,"In 2019, the Group generated non-recurring gains of ₱515.5 mn (compared to ₱891.2 mn in non-recurring losses in 2018), representing net unrealized foreign exchange (forex) gains, and gains on reversal of impairment provisions."
AEV_2019.txt,"Without these one-off items, the Group’s core net income for 2019 ₱21.52 bn, 7% lower than 2018."
AEV_2019.txt,"AEV recorded a 1% decrease in consolidated EBITDA for 2019 compared to 2018, declining from ₱60.65 bn to ₱60.16 bn."
AEV_2019.txt,"The Group’s revenue from sale of power decreased by 5% or ₱6.13 bn, from ₱130.73 bn in 2018 to ₱124.61 bn in 2019."
AEV_2019.txt,"The decrease was primarily attributable to Therma Marine, Inc.’s (Therma Marine) and Therma Mobile, Inc.’s (Therma Mobile) expiration of contracts with customers, and GNPower Mariveles Coal Plant Ltd. Co.’s (GMCP) and Therma South, Inc.’s (TSI) lower plant availability owing to unplanned outages during the year."
AEV_2019.txt,These decreases were partly offset by higher electricity sales of the distribution utilities and fresh revenue contributions from TVI and Hedcor Bukidnon.
AEV_2019.txt,"The Group’s sale of power comprised 70% and 62% as a percentage of total revenues during 2018 and 2019, respectively."
AEV_2019.txt,"The Group’s revenue from sale of goods increased by 46% or ₱21.87 bn, from ₱47.75 bn in 2018 to ₱69.63 bn in 2019."
AEV_2019.txt,The increase was primarily attributable to the full year-to-date revenue contribution of the Gold Coin Group and the higher sales recorded by the Food Group’s Philippine-based Subsidiaries owing to higher average selling prices and volume of the Feeds and Flour segments.
AEV_2019.txt,"The Group’s sale of goods comprised 26% and 35% as a percentage of total revenues during 2018 and 2019, respectively."
AEV_2019.txt,"The Group’s revenue from real estate increased by 5% or ₱190.9 mn, from ₱3.93 bn in 2018 to ₱4.12 bn in 2019."
AEV_2019.txt,The increase was primarily attributable to higher sales from the residential and commercial business segments following the ramp up in operational and business performance.
AEV_2019.txt,"As a percentage of total revenues, the Group’s revenue from real estate comprised 2% during each of 2018 and 2019."
AEV_2019.txt,"The Group’s combined revenue from fair value of swine, service fees and other sources decreased by 38.0% or ₱1.72 bn, from ₱4.53 bn in 2018 to ₱2.81 bn in 2019."
AEV_2019.txt,"The decrease was primarily attributable to lower swine sales resulting from the ASF spread in the Northern Luzon, and the deconsolidation of the revenue of PETNET in 2019."
AEV_2019.txt,"PETNET was sold to UnionBank, an associate, towards the end of 2018, and therefore, was no longer consolidated starting December 2018."
AEV_2019.txt,"As a percentage of total revenues, the Group’s other revenues comprised 2% and 1% in 2018 and 2019, respectively."
AEV_2019.txt,"The Group’s cost of generated and purchased power decreased by 0.4% or ₱318.4 mn, from ₱71.68 bn in 2018 to ₱71.36 bn in 2019."
AEV_2019.txt,"As a percentage of total costs and expenses, the Group’s cost of generated and purchased power comprised 49% and 42% in 2018 and 2019, respectively."
AEV_2019.txt,"The Group’s cost of goods sold increased by 40% or ₱17.48 bn, from ₱43.69 bn in 2018 to ₱61.18 bn in 2019."
AEV_2019.txt,The increase was primarily attributable to the full year costs of goods sold contribution of Gold Coin and higher feeds cost of the Farms segment.
AEV_2019.txt,"As a percentage of total costs and expenses, the Group’s cost of goods sold comprised 30% and 36% in 2018 and 2019, respectively."
AEV_2019.txt,"The Group’s operating expenses increased by 10% or ₱3.15 bn, from ₱30.40 bn in 2018 to ₱33.55 bn in 2019."
AEV_2019.txt,The increase was primarily attributable to the full year-to-date operating expense contribution of Gold Coin and the increase in operating expenses contribution of the AboitizPower group due to the start of operations of TVI and full operations of Hedcor Bukidnon and Pagbilao Unit 3 operated by Pagbilao Energy Corporation (PEC) for 2019.
AEV_2019.txt,"As a percentage of total costs and expenses, the Group’s operating expenses comprised 21% and 20% in 2018 and 2019, respectively."
AEV_2019.txt,"The Group’s other costs and expenses, comprising cost of real estate sales and overhead expenses, increased by 20% or ₱408.4 mn, from ₱2.01 bn in 2018 to ₱2.42 bn in 2019."
AEV_2019.txt,"The increase was primarily attributable to higher real estate sales cost, partly offset by lower overhead costs incurred by AEV Aviation."
AEV_2019.txt,"As a percentage of total costs and expenses, the Group’s other costs and expenses comprised 1% during both 2018 and 2019, respectively."
AEV_2019.txt,"As a result of the foregoing, the Group’s operating profit decreased by 17% or ₱6.51 bn, from ₱39.16 bn in 2018 to ₱32.65 bn in 2019."
AEV_2019.txt,"The Group’s income before income tax decreased by 3% or ₱937.3 mn, from ₱35.14 bn in 2018 to ₱34.20 bn in 2019."
AEV_2019.txt,"The decrease was primarily attributable to the decrease in operating profit coupled with higher net interest expense, partly offset by higher equity earnings and other income from unrealized fair valuation gains on reappraisal of investment properties of the Real Estate SBU."
AEV_2019.txt,"As a result of the foregoing, the Group’s Net Income to Equity Holders of AEV decreased by 1% or ₱196.8 mn, from ₱22.23 bn in 2018 to ₱22.04 bn in 2019."
AEV_2019.txt,"Net income attributable to non-controlling interests for 2019 decreased to ₱7.41 bn from ₱9.01 bn in 2018, substantially due to the decrease in consolidated net income of AboitizPower and the purchase of the remaining 25% stake of Gold Coin in the second quarter of 2019."
AEV_2019.txt,"The following discussion describes the performance of the Company’s SBUs for the year ended December 31, 2019 compared to the year ended December 31, 2018."
AEV_2019.txt,"For further discussion on the Company’s operating segments, please refer to Note 33 of the audited consolidated financial statements."
AEV_2019.txt,"For 2019, AboitizPower’s contribution to Net Income to Equity Holders of AEV, before elimination of transactions within the Group, of ₱13.33 bn, a 20% decrease from ₱16.69 bn in 2018."
AEV_2019.txt,"Before elimination of transactions within the Group, the combined contribution of the Power Generation segment and the RES business to Net Income to Equity Holders of AEV decreased by 23% from ₱15.35 bn to ₱11.76 bn in 2019."
AEV_2019.txt,"This decrease was primarily attributable to the outages experienced by the AboitizPower’s coal facilities, and exacerbated by the need to purchase replacement power at higher spot market prices."
AEV_2019.txt,Replacement power was also purchased from the spot market as the AboitizPower had contracted ahead in anticipation of Therma Visayas Inc.’s (TVI) incoming capacity.
AEV_2019.txt,Decreased spot market sales further eroded YoY earnings.
AEV_2019.txt,"This was partly offset by the start of TVI’s commercial operations and full year operations of Hedcor Bukidnon, Inc. (Hedcor Bukidnon)."
AEV_2019.txt,"Capacity sold increased from 3,154 MW for 2018 to 3,184 MW for 2019."
AEV_2019.txt,"Before elimination of transactions within the Group, the Power Distribution segment’s contribution to Net Income to Equity Holders of AEV increased by 1% from ₱3.12 bn for 2018 to ₱3.16 bn for 2019."
AEV_2019.txt,"This increase was mainly attributable to the 6% increase in energy sales (5,851 GWh for 2019 compared to 5,540 GWh for 2018)."
AEV_2019.txt,This increase was partly tempered by lost margins from the decommissioning of the Bajada power plant in Davao.
AEV_2019.txt,"The Financial Services SBU’s contribution to Net Income to Equity Holders of AEV increased by 100% year- on-year, from ₱3.58 bn in 2018 to ₱7.15 bn in 2019."
AEV_2019.txt,"On a stand-alone basis, Union Bank of the Philippines’ (UnionBank) and its subsidiaries recorded a net income of ₱14.03 bn for 2019, an increase of 100% compared to 2018."
AEV_2019.txt,"The increase was primarily due to revenue growth from the increase in earning assets and improved margins, as well as from healthy trading gains during 2019."
AEV_2019.txt,"Before elimination of transactions within the Group, the contribution to Net Income to Equity Holders of AEV from the Food SBU increased by 2% to ₱1.58 bn for 2019, compared to ₱1.56 bn for 2018."
AEV_2019.txt,"For 2019, the Food Group’s Philippine subsidiaries reported a lower net income amounting to ₱821.9 mn compared to ₱1.32 bn for 2018."
AEV_2019.txt,This was mainly due to decreased margins and volume of the Farms business resulting from the African Swine Fever (ASF) spread in Northern Luzon.
AEV_2019.txt,"This was partly offset by improved margins and reduced financing costs of the Feeds business, and higher margins and volume of the Flour business."
AEV_2019.txt,"Before elimination of transactions within the Group, Pilmico International Pte."
AEV_2019.txt,"Ltd. (Pilmico International) delivered a net income of ₱1.23 bn in 2019, recording an 88.1% increase compared to 2018."
AEV_2019.txt,This was due to the full year income contribution of Gold Coin Management Holdings (Gold Coin) and Pilmico Vietnam Feeds’ improved margins due to lower raw material cost and the increased contribution of higher margin segments.
AEV_2019.txt,"During 2019, the Food SBU’s international subsidiaries reported a consolidated net income of ₱760.1 mn from the ₱1.23 bn contribution of Pilmico International, which was offset by the ₱467.0 mn in financing costs related to the acquisition of Gold Coin."
AEV_2019.txt,"The contribution of AboitizLand, Inc. (AboitizLand) to Net Income to Equity Holders of AEV for 2019, before elimination of transactions within the Group, amounted to ₱942.9 mn, an increase of 46% from ₱645.0 mn for 2018."
AEV_2019.txt,"This increase was due to the fair valuation gains on investment properties recognized in 2019, which were not present in 2018."
AEV_2019.txt,"Before elimination of transactions within the Group, the contribution to Net Income to Equity Holders of AEV from the Infrastructure SBU increased by 186% to ₱483.4 mn for 2019, compared to ₱168.8 mn for 2018."
AEV_2019.txt,"This mainly came from the contribution of the Republic Cement Group which increased by 187.2%, from ₱213.1 mn in 2018 to ₱612.1 mn in 2019."
AEV_2019.txt,"This was mainly due to a slight increase in private sector demand for cement, the completion of several debottlenecking projects, and improved controls on production costs."
AEV_2019.txt,"Compared to year-end 2018 level, consolidated assets increased by 6% to ₱588.39 bn as of December 31, 2019, due to the following: The ₱6.94 bn combined growth in Property Plant and Equipment (PPE) and Investment Properties (IP) was mainly due to the following: 1.)"
AEV_2019.txt,₱9.68 bn additions to AboitizPower from cost of power plant construction and distribution assets 2.)
AEV_2019.txt,₱1.90 bn additions to Food group; 3.)
AEV_2019.txt,₱896.5 mn additions to Real Estate; 4.)
AEV_2019.txt,₱1.92 bn recognition of right-of-use (ROU) assets on the AEV Parent's leases resulting from the adoption of PFRS 16; 5.)
AEV_2019.txt,₱1.83 bn fair valuation gain on revaluation of IP of the Real Estate group; and 6.)
AEV_2019.txt,first-time consolidation of ₱545.7 mn IP of newly-acquired AboitizLand subsidiaries.
AEV_2019.txt,This is decreased by ₱9.59 bn attributed to depreciation & amortization.
AEV_2019.txt,The decline in Property Held for Sale (nil compared to ₱676 mn in 2018) was due to the sale of transmission assets to the NGCP in February 2019.
AEV_2019.txt,"Investments in and Advances to Associates and JVs increased by ₱33.39 bn (₱140.35 bn as of December 31, 2019 compared to ₱106.96 bn as of December 31, 2018) mainly due to AboitizPower’s ₱27,591.1 bn acquisition of additional stake and additional infusions into GNPD, Aboitiz InfraCapital ₱240.2 mn additional acquisition of Balibago Waterworks System, Inc. (BWSI) shares, Aboitizland’s ₱230.0 mn infusions into Cebu Homegrown, and the recording of ₱11.50 bn share in net earnings of associates and JVs."
AEV_2019.txt,"This increase was partially reduced by the ₱5.47 bn dividends from associates and JVs during the year, ₱505.5 mn decrease in the share of cumulative translation adjustment and ₱395.0 mn share in net unrealized actuarial losses."
AEV_2019.txt,"Land and Improvements increased by 10% (₱2.57 bn as of December 31, 2019 compared to ₱2.34 bn as of December 31, 2018) resulting from the land acquisitions of the Real Estate Group."
AEV_2019.txt,"Intangible Assets increased by 5% (₱66.80 bn as of December 31, 2019 compared to ₱63.78 bn as of December 31, 2018) mainly due to the capitalized costs incurred in the ongoing construction of the water treatment plant in Davao."
AEV_2019.txt,"Deferred Income Tax Assets increased by 35% (₱3.13 bn as of December 31, 2019 compared to ₱2.32 bn as of December 31, 2018) mainly due to deferred tax benefits recognized by subsidiaries on its net operating loss."
AEV_2019.txt,"Other Noncurrent Assets (ONCA) increased by 38% (₱14.13 bn as of December 31, 2019 compared to ₱10.21 bn as of December 31, 2018) primarily due to the recording of restricted cash by a power subsidiary upon its receipt of proceeds from a damage claim against its contractors, with such claim now under dispute."
AEV_2019.txt,This was partly offset by the reclassification of VAT inputs to other current assets and reversal of prepaid rental against ROU Assets upon adoption of PFRS 16.
AEV_2019.txt,"The above increases were tempered by the following decreases: Cash & Cash Equivalents decreased by 21% (₱46.42 bn as of December 31, 2019 compared to ₱59.03 bn as of December 31, 2018) as the funds used for investment acquisitions, capital expenditures, dividend payments and debt servicing exceeded the funds generated from operations and debt availments."
AEV_2019.txt,"Inventories decreased by 6% (₱20.78 bn as of December 31, 2019 compared to ₱21.98 bn as of December 31, 2018)."
AEV_2019.txt,This was mainly due to the following lower raw materials inventory of the Food Group.
AEV_2019.txt,"Derivative Assets (current and non-current) decreased by 54% (₱133.46 mn as of December 31, 2019 compared to ₱292.8 mn as of December 31, 2018) mainly due to mark-to-market losses recognized on derivative instruments."
AEV_2019.txt,"Consolidated short-term bank loans decreased by 5% (₱25.72 bn as of December 31, 2019 compared to ₱26.98 bn as of December 31, 2018) mainly due to debt repayments made by Power and Food Groups."
AEV_2019.txt,"On the other hand, long-term debt, which includes both current and non-current portions, increased by 13% (₱239.78 bn compared to ₱211.65 bn as of December 31, 2018) due to the following: a.)"
AEV_2019.txt,"issuance of retail bonds by the Company ₱5.00 bn, b.)"
AEV_2019.txt,"additional ₱28.83 bn long- term loan availments by Power Group, and c.) additional ₱3.15 bn availment by Apo Agua."
AEV_2019.txt,This was partly offset by the settlement of maturing loans.
