Filename,Ticker,Year,Sentence
AEV_2020.txt,AEV,2020,The following discussion and analysis of the financial condition and results of operations of Aboitiz Equity Ventures Inc. and its Subsidiaries should be read in conjunction with the audited consolidated financial statements and accompanying disclosures set forth elsewhere in this report.
AEV_2020.txt,AEV,2020,Consolidated EBITDA translated into substantial cash inflows coming from Subsidiaries’ operations.
AEV_2020.txt,AEV,2020,"These inflows, coupled with dividends received from Associates and Joint Ventures are the main source of internally- generated funds, which are then used to finance capital expenditures, additional investments into Associates, dividends and debt service payment."
AEV_2020.txt,AEV,2020,"With total liabilities and equity both increasing during the 12 months of 2020, Debt-to-Equity ratio as of 31 December 2020 remained at end-2019’s 1.7x."
AEV_2020.txt,AEV,2020,"Current Ratio increased to 1.6x as of 31 December 2020 (compared to end-2019’s 1.3x), mainly due to higher cash balance."
AEV_2020.txt,AEV,2020,"For the 12-month period ended 31 December 2020, AEV and its Subsidiaries posted a net income attributable to the equity holders of Parent Company (“Net Income to Equity Holders of AEV”) of ₱15.4 bn, a 30% decrease year-on-year (“YoY”)."
AEV_2020.txt,AEV,2020,This translated to earnings per share of ₱2.74 for the period in review.
AEV_2020.txt,AEV,2020,"The Power Group accounted for the bulk of the income contributions to AEV at 52%, followed by the Banking and Financial Services, Food, Infrastructure, and Real Estate Groups at 32%, 12%, 2%, and 2%, respectively."
AEV_2020.txt,AEV,2020,"During 2020, the Group generated non-recurring losses of ₱477 mn compared to ₱516 mn of non- recurring gains recorded in 2019."
AEV_2020.txt,AEV,2020,"Without these one-off losses, the Group’s core net income for 2020 was ₱15.9 bn, 26% lower YoY. AEV recorded a 4% decrease in consolidated EBITDA for 2020 compared to 2019, from ₱60.2 bn to ₱57.7 bn.  The following discussion describes material changes in the line items of the Company’s statement of income and of comprehensive income for 2020 compared to 2019."
AEV_2020.txt,AEV,2020,"The Group’s revenue from sale of power by Power Group decreased by 12% or ₱14.7 bn, from ₱124.6 bn in 2019 to ₱109.9 bn in 2020."
AEV_2020.txt,AEV,2020,"The decrease was primarily attributable to (i) reduced demand resulting from the enforcement of COVID-related community quarantines, and (ii) lower water inflows to the Power Group’s hydro facilities in Northern Luzon."
AEV_2020.txt,AEV,2020,"The Group’s sale of power comprised 62% and 59% as a percentage of total revenues in 2019 and in 2020, respectively."
AEV_2020.txt,AEV,2020,"The Group’s revenue from sale of goods increased by 2% or ₱1.7 bn, from ₱69.6 bn in 2019 to ₱71.3 bn in 2020."
AEV_2020.txt,AEV,2020,The increase was primarily due to higher volumes for the Group’s Feeds business.
AEV_2020.txt,AEV,2020,"The Group’s sale of goods comprised 35% and 38% as a percentage of total revenues in 2019 and in 2020, respectively."
AEV_2020.txt,AEV,2020,"The Group’s revenue from real estate decreased by 14% or ₱0.6 bn, from ₱4.1 bn in 2019 to ₱3.5 bn in 2020."
AEV_2020.txt,AEV,2020,"The decrease was primarily attributable to the decrease in revenue of AboitizLand’s residential business, which was partly offset by the increase in revenue recognized by the industrial business from industrial lots sold."
AEV_2020.txt,AEV,2020,The decrease in revenues from AboitizLand’s residential business was due to restrictions in operations caused by the government-imposed community quarantines in response to the COVID-19 pandemic.
AEV_2020.txt,AEV,2020,"AboitizLand’s project percentage of completion, driven by the construction progress, is a key factor in the recognition of revenue and AboitizLand’s construction activities were brought to a standstill during the second quarter of 2020."
AEV_2020.txt,AEV,2020,"As a percentage of total revenues, the Group’s revenue from real estate comprised 2% in both 2019 and in 2020."
AEV_2020.txt,AEV,2020,"The Group’s combined revenue from the fair value of swine, service fees and other sources decreased by 28% or ₱0.8 bn, from ₱2.8 bn in 2019 to ₱2.0 bn in 2020."
AEV_2020.txt,AEV,2020,"The decrease was mainly due to (i) lower swine sales resulting from African Swine Fever (“ASF”), and (ii) lower service fees."
AEV_2020.txt,AEV,2020,"As a percentage of total revenues, the Group’s other revenues comprised 1% in both 2019 and in 2020."
AEV_2020.txt,AEV,2020,"The Group’s cost of generated and purchased power decreased by 23% or ₱16.5 bn, from ₱71.4 bn in 2019 to ₱54.9 bn in 2020."
AEV_2020.txt,AEV,2020,"The decrease was primarily attributable to (i) lower fuel costs due to power plant outages, and (ii) lower purchased power costs due to lower Wholesale Electricity Spot Market rates."
