filename,sentence
ALI_2017.txt,"Ayala Land, Inc. (ALI or “the Company”) posted a net income of P25.31 billion, a solid earnings growth of 21% in 2017."
ALI_2017.txt,"The Company sustained a healthy topline with P142.30 billion in consolidated revenues, 14% higher than 2016."
ALI_2017.txt,"Real Estate revenues likewise increased 13% to P133.1 billion, driven by the resurgence of property sales and the strong growth of its leasing business."
ALI_2017.txt,"Meanwhile, earnings before interest and taxes (EBIT) margin registered at 30.1% compared to 29.7% last year."
ALI_2017.txt,"Total revenues from Property Development amounted to P96.39 billion, 24% higher than P77.73 billion last year."
ALI_2017.txt,"Revenues from the sale of residential lots and units reached P79.90 billion, 25% higher than P64.08 billion last year, driven by bookings and project completion across all residential brands."
ALI_2017.txt,"Ayala Land Premier (ALP) registered revenues of P26.50 billion, 7% higher than P24.86 billion last year given higher completion from its subdivision projects such as Cerilo in Nuvali and The Courtyards Phase 2 in Vermosa and its condominium projects such as Park Central North in Makati and Arbor Lanes 3 in Arca South."
ALI_2017.txt,"Alveo meanwhile recorded revenues of P26.17 billion, a robust gain of 45% from P18.03 billion last year due to higher completion of its subdivision projects such as Ardia in Vermosa, Cavite and Montala in Alviera, Porac Pampanga and its condominium projects such as High Park Tower 2 in Vertis North, Quezon City, Verve Residences 2 and Veranda Phase 2."
ALI_2017.txt,"Avida posted revenues of P20.83 billion, a strong growth of 22% from P17.07 billion last year on the account of combined higher bookings and incremental completion of its condominium projects such as Avida Towers Turf 1, The Montane and Avida Tower Verte in Bonifacio Global City, Avida Tower Sola 1 in Vertis North, Avida Towers Riala 3 in Cebu City, and Avida Towers One Union Place 1 and 2 in Arca South and its subdivision projects such as Hillcrest Estates, Woodhill Settings, and Southfield Settings in Nuvali."
ALI_2017.txt,"Amaia generated revenues of P5.74 billion, a significant increase of 72% from P3.35 billion last year as a result of higher bookings and completion Skies Towers in Avenida, Shaw, Sta."
ALI_2017.txt,"Mesa and Cubao and Steps projects in Bicutan, Sucat, Nuvali Parkway and Capitol Central in Bacolod City."
ALI_2017.txt,"BellaVita meanwhile reached revenues of P652 million, 16% lower than P776 million last year."
ALI_2017.txt,"The average gross profit margin of horizontal projects improved to 47% from 43% due to the higher contribution of The Courtyards and Ardia in Vermosa, Riomonte in Nuvali and Montala in Alviera while the average gross profit margin of vertical developments declined to 30% from 35% in recognition of higher project costs."
ALI_2017.txt,"Revenues from the sale of office spaces reached P9.45 billion, 15% higher than P8.20 billion last year driven by higher completion of Alveo’s High Street South Corporate Plaza 2, Alveo Financial Tower in Makati CBD, and Avida’s Capital House in BGC."
ALI_2017.txt,Gross profit margin of offices for sale was maintained at 37%.
ALI_2017.txt,"31  Revenues from the sale of commercial and industrial lots reached P7.04 billion, 29% higher than P5.44 billion last year due to higher lot sales in Arca South, Taguig, Vermosa, Cavite and industrial lots in Cavite."
ALI_2017.txt,Gross profit margin slightly declined to 40% from 41% due to the mix of projects sold.
ALI_2017.txt,A resurgence of property sales was seen in 2017 as reservation sales increased 13% to P121.96 billion from P108.05 billion in 2016 which only posted an annual growth of 3%.
ALI_2017.txt,Total reservation sales in 2017 translated to an average of P10.2 billion in monthly sales.
ALI_2017.txt,Net booked sales grew 16% to P96.86 billion from P83.33 billion in the previous year.
ALI_2017.txt,"In the fourth quarter of 2017, property sales also notably increased, sales take-up grew 17% to P27.78 billion and net booked sales grew 18% to P29.92 billion."
ALI_2017.txt,"Total revenues from commercial leasing amounted to P30.96 billion, 10% higher than P28.07 billion last year."
ALI_2017.txt,Revenues from shopping centers reached P17.66 billion.
ALI_2017.txt,"10% higher than P16.08 billion last year due to the improved performance of the new malls such as The 30th, Tutuban Center and UP Town Center."
ALI_2017.txt,Shopping Centers EBITDA margin slightly decreased to 66% from 67% due to early-stage operations of newly opened malls.
ALI_2017.txt,"The average monthly lease rate registered at P1,087 per square meter while same mall rental growth is at 5%."
ALI_2017.txt,The average occupancy rate for all malls is at 92% while the occupancy rate of stable malls is at 97%.
ALI_2017.txt,"The Company opened 5 new malls in 2017, namely, The 30th in Pasig, Ayala Malls Vertis North and Ayala Malls Cloverleaf in Quezon City, Ayala Malls Marikina and Ayala Malls Feliz, Marikina."
ALI_2017.txt,This brings the total gross leasable area (GLA) of Shopping Centers to 1.80 million square meters at the end of 2017.
ALI_2017.txt,"Revenues from office leasing reached P6.66 billion, 12% higher than P5.94 billion last year due to the stabilized occupancy of the new offices namely, UP Town Center BPO, Cebu eBloc 4 and ATC BPO."
ALI_2017.txt,Office leasing EBITDA margin was maintained at 91% given the stabilized occupancy of new offices.
ALI_2017.txt,The average monthly lease rate registered at P739 per square meter.
ALI_2017.txt,The average occupancy rate for all offices is at 86% while the occupancy rate of stable offices is at 97%.
ALI_2017.txt,"The Company completed 6 new offices in 2017, namely, Circuit BPO Tower 1 and 2 in Makati, The 30th Corporate Center in Pasig, One Bonifacio High Street in BGC, Tech Tower Cebu and Vertis North BPO 2 in Quezon City."
ALI_2017.txt,This brings the total gross leasable area (GLA) of Office Leasing to 1.02 million square meters at the end of 2017.
ALI_2017.txt,"Revenues from hotels and resorts reached P6.64 billion, 10% higher than P6.05 billion last year, due to the higher occupancy and average room rate of El Nido resorts and the opening of Seda Vertis North."
ALI_2017.txt,"Revenue-per-available-room (REVPAR) of hotels decreased by 6% to P3,576 per night mainly due to the lower occupancy of its internationally-branded hotels in Makati."
ALI_2017.txt,"Meanwhile, the REVPAR of resorts barely declined, settling at P8,052 per night."
ALI_2017.txt,Hotels and resorts EBITDA margin was maintained at 28% given its sustained performance from last year.
ALI_2017.txt,"The average room rate per night of hotels and resorts is P5,050 and P13,210 respectively."
ALI_2017.txt,The occupancy of hotels registered at an average of 71% while the occupancy of resorts registered at an average of 61%.
ALI_2017.txt,"The hotels and resorts segment operates 961 hotel rooms from its internationally branded segment; Cebu City Marriott, Fairmont Hotel and Raffles Residences Makati and Holliday Inn & Suites Makati, 1,301 rooms from Seda Hotels located in Atria in Iloilo, BGC in Taguig, Centrio in Cagayan de Oro, Abreeza in Davao, Nuvali in Santa Rosa Laguna, Vertis North in Quezon City and Seda Bacolod, 213 island resort rooms at El Nido Resorts in Lagen, Miniloc, Apulit and Pangulasian Islands and 82 rooms at Lio Tourism Estate, both in Palawan and 26 rooms at Sicogon Island Resort in Iloilo."
ALI_2017.txt,"In 2017, The Company opened Seda Vertis North, initial rooms in Seda Bacolod, additional rooms in Casa Kalaw, Balai Adlao and Hotel Covo in Lio, Palawan and additional rooms in Balay Kogon, Sicogon."
ALI_2017.txt,"This brings the total number of rooms to 2,583 at the end of 2017."
ALI_2017.txt,"Total revenues from the services segment amounted to P71.80 billion, 5% higher than P68.49 billion last year."
ALI_2017.txt,"Revenues reached P67.40 billion, 3% higher than P65.32 billion due to increased order book and higher completion of projects within the Ayala Land group."
ALI_2017.txt,"Revenues from property management registered at P4.39 billion, 38% higher than P3.17 billion in the previous year due to more managed properties from completed projects."
ALI_2017.txt,"Blended EBITDA margins of the services segment registered at 10%, a slight decline from 11% in the previous year due to project mix."
ALI_2017.txt,"Equity in net earnings of associates and joint ventures substantially increased by 56% to P865.57 million from P554.41 million last year due to the higher net income contribution of non-consolidated associates while interest, investment and other income reached P8.33 billion, 31% higher than P6.37 billion last year."
ALI_2017.txt,Interest and Investment income grew due to higher interest income from money market placements and accretion income while other income increased due to higher marketing and management fees.
ALI_2017.txt,"Total expenses registered at P104.31 billion, 13% higher than P91.97 billion last year mainly due to higher real estate expenses which grew 15% to P87.92 billion from P76.57 billion last year."
ALI_2017.txt,General and administrative expenses (GAE) increased by only 3% to P7.28 billion from P7.03 billion last year.
ALI_2017.txt,This resulted into further improvement in the GAE ratio to 5.1% from 5.6% in 2016.
ALI_2017.txt,"Interest expense, financing and other charges meanwhile posted a 9% increase to P9.11 billion from P8.37 billion last year as a result of higher interest expense from the higher average daily loan balance."
ALI_2017.txt,"The average cost of debt registered at 4.6%, slightly higher than 4.5% in the previous year as a result of higher interest rates."
ALI_2017.txt,"Ayala Land spent P91.4 billion in capital expenditures, higher than its estimated budget of P88.0 billion at the start of 2017, to support the aggressive completion of new projects in its pipeline."
ALI_2017.txt,"48% was spent on residential projects, 29% on commercial projects, 17% for land acquisition and other investments and 6% for the development of the estates."
ALI_2017.txt,The Company’s balance sheet continues to be solidly positioned to support its growth plans.
ALI_2017.txt,"Cash and cash equivalents, including short-term investments and UITF investments classified as FVPL, stood at P25.82 billion resulting in a current ratio of 1.18:1."
ALI_2017.txt,Total borrowings registered at P174.39 billion which translated to a debt-to-equity ratio of 0.91:1 and a net debt-to-equity ratio of 0.77:1.
ALI_2017.txt,"Return on equity was at 16.1% as of December 31, 2017."
ALI_2017.txt,"There are no events that will trigger direct or contingent financial obligation that is material to the company, including any default or acceleration of an obligation."
ALI_2017.txt,"There are no material off-balance sheet transactions, arrangements, obligations (including contingent obligations), and other relationships of the company with unconsolidated entities or other persons created in 2017."
ALI_2017.txt,"Real estate and hotel revenues grew by 13% primarily due to higher sales bookings, incremental project completion from residential projects and strong performance of malls, leasing and hotels & resorts business groups."
ALI_2017.txt,"Interest and investment income improved by 6% due to the increase in interest income from money market placements due to higher ADB of 16.6B vs. 11.4B, YoY and yield of 2.1% vs. 1.6%, YoY, and increase in accretion income."
ALI_2017.txt,Equity in net earnings of associates and joint ventures higher by 56% largely due to increase in NIAT contribution from FBDC companies.
ALI_2017.txt,Other Income increased by 241% due to higher marketing and management fees.
ALI_2017.txt,"Real estate and hotel costs up by 15% primarily due to higher sales and incremental project completion coming from residential, malls, leasing and hotels & resorts business segments."
ALI_2017.txt,Interest and other financing charges and other charges increased by 9% mainly due to higher borrowings to finance various capital expenditures.
ALI_2017.txt,Provision for income tax increased by 19% largely due to increase in taxable income primarily from real estate.
ALI_2017.txt,Non-controlling interests lower by 19% mainly due to decrease in NIAT contribution from nonconsolidated companies.
ALI_2017.txt,"Short-term investments grew by P4.5B primarily due to money market placements of AHI, BGWest, Alveo, RLC and MDC."
