filename,sentence
AP_2021.txt,• Share in net earnings in associates and joint ventures for the year 2021 increased by 254% compared to 2020.
AP_2021.txt,The increase was mainly due to higher water inflows of SN Aboitiz Power-Magat and SN Aboitiz Power-Benguet and the claim of liquidated damages for the delay in the construction of the GNPD plant.
AP_2021.txt,• EBITDA for the year 2021 increased by 13% Year-on-Year (YoY).
AP_2021.txt,"This was primarily due to the commissioning revenue from GNPD Unit 1, higher water inflow, higher availability of the TLI, TSI, and TVI facilities, and higher WESM dispatch in compliance with the must-offer rule."
AP_2021.txt,"• For the year ended 2021, cash and cash equivalents increased by ₱18.43 billion (bn) compared to 2020."
AP_2021.txt,"This was mainly due to the Parent’s retail bond issuance, partly offset by loans and lease payments during the year 2021."
AP_2021.txt,"• Current Ratio as of December 31, 2021 was at 1.53x as compared to 1.38x as of December 31, 2020."
AP_2021.txt,The increase was primarily due to Parent’s retail bond issuance in 2021.
AP_2021.txt,"• Debt-to-Equity Ratio as of December 31, 2021 was at 1.75x, lower than the 1.96x recorded as of December 31, 2020."
AP_2021.txt,"Net income for 2021 was ₱20.84 bn, which was 66% higher than the ₱12.58 bn reported in 2020."
AP_2021.txt,This translated to earnings per share of ₱2.83 for 2021.
AP_2021.txt,"The Company recognized non-recurring losses of ₱228 mn during 2021 (as compared to the non-recurring gains of ₱45 mn in 2020), primarily due to the impairment losses of TPVI and RPEnergy, which were partially offset by net foreign exchange gains on the revaluation of dollar-denominated liabilities."
AP_2021.txt,"Without these one-off gains, the Company’s core net income for 2021 was ₱21.1 bn, 68% higher than the ₱12.5 bn recorded in 2020."
AP_2021.txt,"This was primarily due to commissioning revenue from GNPD Unit 1, higher water inflow for AboitizPower’s hydro plants, higher availability of the TLI, TSI, and TVI facilities, and higher WESM dispatch in compliance with the must-offer rule."
AP_2021.txt,"During 2021, AboitizPower was also able to claim liquidated damages for the delay in the construction of GNPD Units 1 and 2, and also received the final payment for business interruption claims resulting from the GMEC and APRI outages in previous years."
AP_2021.txt,"AboitizPower’s generation and retail supply business recorded EBITDA of ₱43.4 bn during 2021, 15% higher than the ₱37.7 bn recorded in 2020."
AP_2021.txt,"This was due to the commissioning revenue from GNPD Unit 1, higher availability of the Company’s TLI, TSI, and TVI facilities, higher water inflows for the hydro plants, and higher WESM dispatch in compliance with the must-offer rule."
AP_2021.txt,These gains were partially offset by the lower margins resulting from the GMEC outage.
AP_2021.txt,"Capacity sold in 2021 increased by 10% to 3,753 megawatts (MW), compared to 3,417 MW in 2020."
AP_2021.txt,"Energy sold increased by 14% to 26,031 gigawatt-hours (GWh) for 2021, compared to 22,754 GWh during 2020."
AP_2021.txt,"During 2021, AboitizPower’s distribution business recorded EBITDA of ₱7.5 bn, 5% higher than the ₱7.2 bn recorded in 2020."
AP_2021.txt,"Energy sales increased by 4% to 5,584 GWh for 2021, compared to 5,368 GWh for 2020."
AP_2021.txt,This was driven by higher energy consumption resulting from recoveries in demand.
AP_2021.txt,"Energy sales from the Residential, Commercial and Industrial customer segments increased due to less stringent community quarantine during 2021 and the resumption of operations of commercial and industrial customers."
AP_2021.txt,"Net income attributable to equity holders of the Parent Company increased by ₱8.26 bn, or 66% YoY."
AP_2021.txt,"The increase in operating revenues during 2021 as compared to 2020 was primarily due to higher availability of TLI, TSI, and TVI facilities and higher WESM dispatch in compliance with the must-offer rule."
AP_2021.txt,The increase in operating expenses during 2021 as compared to 2020 was mainly due to the higher cost of purchased power and generated power.
AP_2021.txt,The decrease in interest income during 2021 as compared to 2020 was primarily due to lower interest rates on money market placements.
AP_2021.txt,"Interest expense decreased in 2021 compared to 2020, due to lower interest accretion on lease liabilities as timely payments were made on TLI’s obligation to PSALM."
AP_2021.txt,"The refinancing of Hedcor Bukidnon project loan in September 2020, and the prepayment of Parent’s US dollar loan also contributed to lower interest expense in 2021."
AP_2021.txt,"These were partly offset by additional interest expenses recognized in 2021 on AboitizPower’s ₱9.55 bn and ₱8.00 bn retail bonds issued in July 2020 and March 2021, respectively."
AP_2021.txt,Share in net earnings in associates and joint ventures for the year 2021 increased by 254% YoY.
AP_2021.txt,"The increase was mainly due to higher water inflows of SN Aboitiz Power-Magat and SN Aboitiz Power-Benguet, and the claim of liquidated damages for the delay in the construction of the GNPD plant."
AP_2021.txt,The decrease in other income in 2021 as compared to 2020 was mainly due to the losses on the revaluation of foreign- currency denominated liabilities.
AP_2021.txt,The decrease in provision for taxes was due to the application of the provisions of the CREATE Act reducing the regular corporate income tax (RCIT) rate from 30% to 25%.
AP_2021.txt,The AboitizPower Group also recognized a reversal of deferred tax on Net Operating Loss Carry-Over (NOLCO) during the year 2020 that resulted in higher provision for taxes during 2020 as compared to 2021.
AP_2021.txt,"Total assets (as of December 31, 2021 compared to December 31, 2020) increased by ₱29.49 bn, or 7%."
AP_2021.txt,"a) Cash and cash equivalents increased by ₱18.43 bn, or 48% (from ₱38.70 bn to ₱57.13 bn)."
AP_2021.txt,"This was due to Parent's retail bond issuance, offset by loans and lease payments during the year 2021.
b) Trade and other receivables increased by ₱4.80 bn, or 22% (from ₱22.02 bn to ₱26.82 bn), primarily due to higher revenues."
AP_2021.txt,c) Inventories increased by ₱3.27 bn or 52% (from ₱6.31 bn to ₱9.57 bn).
AP_2021.txt,"This was mainly driven by the increase in spare parts, supplies and fuel inventory."
AP_2021.txt,"d) Other current assets decreased by ₱969.00 mn, or 9% (from ₱10.48 bn to ₱9.51 bn)."
AP_2021.txt,This was mainly driven by TVI’s utilization of restricted cash in accordance with its loan agreement.
AP_2021.txt,"e) Investments and advances increased by ₱3.12 bn, or 5% (from ₱61.83 bn to ₱64.95 bn)."
AP_2021.txt,"This was mainly driven by GNPD’s capital contributions and share in earnings during the year 2021.
f) Intangible assets increased by ₱1.74 bn, or 4% (from ₱44.28 bn to ₱46.02 bn)."
AP_2021.txt,"This was primarily due to the foreign exchange revaluation of GMEC’s goodwill, partly offset by amortization of existing assets."
AP_2021.txt,"g) Net pension assets increased by ₱37.00 mn, or 73% (from ₱50.00 mn to ₱87.00 mn)."
AP_2021.txt,This was mainly due to actuarial gains.
AP_2021.txt,"h) Deferred income tax assets decreased by ₱97.00 mn, or 6% (from ₱1.54 bn to ₱1.44 bn)."
AP_2021.txt,This was mainly due to the application of the provisions of the CREATE Act.
AP_2021.txt,"i) Other noncurrent assets decreased by ₱2.09 bn, or 23% (from ₱9.27 bn to ₱7.18 bn)."
AP_2021.txt,This was mainly due to the regular reduction in PSALM deferred adjustment of the Power Distribution group.
AP_2021.txt,"Compared to December 31, 2020, total liabilities as of December 31, 2021 increased by ₱8.49 bn, or 3%."
AP_2021.txt,"a) Short-term loans increased by ₱5.44 bn, or 41% (from ₱13.18 bn to ₱18.63 bn)."
AP_2021.txt,This was mainly due to loan availments by the AboitizPower Group during the year 2021 which were used for working capital purposes.
AP_2021.txt,"b) Trade and other payables increased by ₱4.37 bn, or 24% (from ₱18.37 bn to ₱22.74 bn)."
AP_2021.txt,This was primarily due to the increase in trade and fuel purchases.
AP_2021.txt,"c) Income tax payable decreased by ₱458.00 mn, or 63% (from ₱723.00 mn to ₱265.00 mn)."
AP_2021.txt,This was mainly due to the application of the provisions of the CREATE Act.
AP_2021.txt,"d) Customers’ deposits increased by ₱401.00 mn, or 6% (from ₱6.80 bn to ₱7.20 bn)."
AP_2021.txt,This was mainly due to the receipt of bill deposits from new customers.
AP_2021.txt,"e) Decommissioning liability increased by ₱678.00 mn, or 14% (from ₱5.01 bn to ₱5.69 bn)."
AP_2021.txt,This was mainly due to the recognition of additional decommissioning provisions on power plant assets of APRI.
AP_2021.txt,f) Long-term debt (current and non-current portions) increased by ₱6.16 bn (from ₱175.88 bn to ₱182.04 bn).
AP_2021.txt,"This was mainly due to Parent’s retail bond issuance in 2021.
g) Lease liabilities (current and noncurrent portions) decreased by ₱5.49 bn (from ₱39.26 bn to ₱33.77 bn), as TLI made timely payments during 2021 of its obligations to PSALM."
AP_2021.txt,"h) Long-term obligation on power distribution system (current and noncurrent portions) decreased by ₱18.00 mn, or 10% (from ₱183.00 mn to ₱166.00 mn), due to regular payments."
AP_2021.txt,i) Net derivative asset and liability increased by ₱2.85 bn (from ₱1.79 bn liability to ₱1.07 bn asset) during the year 2021 due to hedging gains.
