filename,sentence
GLO_2019.txt,"Full year consolidated service revenues reached P149.0 billion in 2019, up by 12% from P132.9 billion last year due to the sustained data revenue growth across mobile, broadband and Corporate Data business."
GLO_2019.txt,"Mobile revenues were up 12% to P111.8 billion from last year’s P99.5 billion, coming largely from Prepaid."
GLO_2019.txt,"Home Broadband posted revenues of P21.7 billion due to the continued subscriber expansion notably from the prepaid sector as the Home Prepaid Wi-Fi are gaining more traction, given the insatiable clamor for reliable and affordable internet."
GLO_2019.txt,"Corporate Data likewise registered P12.8 billion, 9% increase from a year ago due to the sustained circuit base expansion."
GLO_2019.txt,"Total operating expenses and subsidy as of end-December 2019 amounted to nearly P73.0 billion, higher by 8% from P67.7 billion in 2018."
GLO_2019.txt,"This was largely from marketing expenses, staff costs, services, utilities, and repairs & maintenance, as partly offset by lower interconnection fees, lease and provisions."
GLO_2019.txt,"Globe’s consolidated EBITDA reached P76.0 billion, surpassing last year’s level of P65.1 billion due mainly to the strong topline offsetting the growth in operating expenses."
GLO_2019.txt,"EBITDA margin for 2019 was at 51%, higher versus last year’s margin of 49%."
GLO_2019.txt,"Total depreciation expenses posted a 12% increase to P34.1 billion from the P30.4 billion reported in 2018, given Globe’s sustained higher capital investments."
GLO_2019.txt,"Overall, total operating costs and subsidy including depreciation as of end-December 2019 posted P107.1 billion or 9% higher than the P98.2 billion reported in 2018."
GLO_2019.txt,"Full year 2019 non-operating charges jumped to P9.1 billion, or 28% above than the P7.1 billion reported last year."
GLO_2019.txt,"This was attributed to higher share in affiliates’ losses particularly from Mynt, coupled with higher interest expenses, loss associated with Yondu reacquisition and increase in swap costs."
GLO_2019.txt,"The Globe Group closed the year with total consolidated net income of P22.3 billion, up 20% from previous year’s P18.6 billion, due to the gains in EBITDA, offsetting depreciation charges and non- operating expenses booked for the year just ended."
GLO_2019.txt,"Globe’s core net income, which excludes the impact of non-recurring charges, one-time gain, foreign exchange gains and mark-to-market charges, stood at P22.5 billion, up a robust 20% year- on-year."
GLO_2019.txt,"As of the end-December 2019, total cash capex stood at million), 18% higher than last year's level of P43.3 billion."
GLO_2019.txt,"The Globe Group ended the year with total operating revenues of P166.7 billion, up 10% from the P151.2 billion recorded last year."
GLO_2019.txt,"This was driven by robust service revenue growth, which was up 12% year-on-year to reach P149.0 billion from P132.9 billion a year ago."
GLO_2019.txt,"Mobile service revenues, which accounted for 75% of Globe’s consolidated service revenues for the year just ended, rose to P111.8 billion, due to the continued strong revenue contributions from mobile data (+41%) as partly offset by the decline in traditional voice (-15%) and SMS (-22%)."
GLO_2019.txt,"Globe Group’s Fixed line and Home Broadband full year 2019 revenues stood at P37.2 billion, 12% increase year-on-year from P33.3 billion in 2018, bolstered by the solid contributions of both Home Broadband and Corporate Data."
GLO_2019.txt,Mobile non-service revenues declined year-on-year by 4%.
GLO_2019.txt,"Fixed Line and Home Broadband non- service revenues, however was at par with 2018."
GLO_2019.txt,"Mobile voice revenues, which accounted for 22% of total mobile service revenues, ended the year at P24.3 billion, down by 15% from P28.4 billion in 2018."
GLO_2019.txt,"Consistent with global trends, voice revenues declined given the migration of voice traffic to alternative internet-based applications."
GLO_2019.txt,"To support the revenue stream, the Company continues to provide attractive and affordable bulk voice offers such: (1) Tawag 236*1for 20-minute consumable calls for only P20 - Globe Postpaid and Globe Prepaid subscribers by simply replacing the 0 at the start of the number with 236 (dial 236 + 10-digit Globe number); (2) Super Sakto Calls*- calls to Globe and TM numbers for only P0.15 per second by just replacing the zero at the beginning of the Globe or TM number with 232 (dial 232 + 10-digit Globe number) for the special rate to apply; (3) GoCall100 provides Globe Prepaid subscribers 500 minutes of on-net calls to Globe/TM for only P100 for 7 days."
GLO_2019.txt,(4) GoCall150 provides Globe Prepaid subscribers 50 minutes of all-net calls for only P50 valid for 3 days.
GLO_2019.txt,"Meanwhile, TM subscribers may choose UnliTawag15 which gives its subscribers unlimited calls to all Globe and TM subscribers for as low as P15 valid for 1 day."
GLO_2019.txt,"Through the Extend all-you-can promo, TM subscribers can extend for another 24 hours their favorite TM promo for only P5 up to 365 times by simply texting “EXTEND” to 8888 before their current promo expires."
GLO_2019.txt,"For Filipinos who wish to stay connected with their loved ones abroad, Globe continues to offer discounted call rates as low as P5 per minute to the Middle East and Europe, and P2.50 per minute to North America and Asia."
