Filename,Ticker,Year,Sentence
LTG_2017.txt,LTG,2017,"LT Group, Inc. (LTG) reported a consolidated net income of P=14.6 billion for the year ended December 31, 2017, 20.6% higher than the P=12.1 billion reported in the same period last year."
LTG_2017.txt,LTG,2017,"The consolidated net income attributable to equity holders of LTG was P=10.8 billion for 2017, 15.3% more than the P=9.4 billion in 2016."
LTG_2017.txt,LTG,2017,"The banking segment’s net income was higher by 15.9% from P=7.4 billion for the year ended December 31, 2016 to P=8.6 billion in 2017."
LTG_2017.txt,LTG,2017,LTG’s share in the net income of the banking segment improved from P=4.1 billion in 2016 to P=4.8 billion in 2017.
LTG_2017.txt,LTG,2017,"In 2016, LTG’s share in net income of the banking segment included a P=724 million elimination on the gain from sale of land by PNB to Eton."
LTG_2017.txt,LTG,2017,"Including this elimination, the bank’s net contribution to LTG in 2016 was P=3.4 billion, and 2017’s P=4.68 billion, 41.3% higher year-on-year."
LTG_2017.txt,LTG,2017,The tobacco segment’s net income increased by P=1.8 billion from P=2.6 billion in 2016 to P=4.4 billion in 2017.
LTG_2017.txt,LTG,2017,"Distilled spirits segment net income was P=631 million, a decrease of 30.5% versus the 2016 income recorded in 2016."
LTG_2017.txt,LTG,2017,"The beverage and property development segments’ net income were P=552 million and P=348 million in 2017 were lower by 68.6% and 10.3%, respectively, compared to the incomes in the same period last year ."
LTG_2017.txt,LTG,2017,Equity in net earnings from our stake in VMC contributed P=174 million for 2017.
LTG_2017.txt,LTG,2017,"As of December 31, 2017, LTG’s stake in VMC stood at 30.9%."
LTG_2017.txt,LTG,2017,"Consolidated revenues amounted to P=63.8 billion for the year ended December 31, 2017, 10.4% better than the P=57.8 billion recognized in 2016 on account of the higher revenues in the banking, distilled spirits and beverage segments."
LTG_2017.txt,LTG,2017,"Cost of sales and services increased by 13.6% from P=26.1 billion in 2016 to P=29.7 billion in the current year, primarily attributable to higher interest expense on deposit liabilities and increased cost of sales of the distilled spirits and beverage segments mainly due to higher excise taxes and raw material costs."
LTG_2017.txt,LTG,2017,The property development segment reported a 39.8% decline in cost of sales as a result of lower booked sales from real estate development projects.
LTG_2017.txt,LTG,2017,Operating expenses amounted to P=28.3 billion in 2017 from P=27.9 billion in 2016 or an increase of 1.5%.
LTG_2017.txt,LTG,2017,"This was as a result of higher selling expenses, which amounted to P=2.4 billion in 2016 as against P=2.7 billion in 2017."
LTG_2017.txt,LTG,2017,Other income increased by 30.4% primarily due to higher gain on sale of assets.
LTG_2017.txt,LTG,2017,"Interest income and net foreign exchange gains were higher by 47.6% and 10.8%, respectively."
LTG_2017.txt,LTG,2017,Interest expense was lower by 29.9% due to loan settlements.
LTG_2017.txt,LTG,2017,"The banking segment’s net income was P=8.6 billion for the year ended December 31, 2017, higher by 15.9% compared to the P=7.4 billion recorded for the same period in 2016."
LTG_2017.txt,LTG,2017,"Interest income from banking operations was at P=27.6 billion in 2017, 13.4% higher than the P=24.4 billion realized last year, mainly on account of higher interest income from loans and receivables, deposits with banks and others and interbank loans receivable."
LTG_2017.txt,LTG,2017,"Interest expense was at P=5.6 billion for 2017, an increase of 15.5% from the P=4.8 billion recorded in same period of 2016 resulting to a net interest income of P=22.1 billion, 12.9% higher year-on-year."
LTG_2017.txt,LTG,2017,"Net service fees and commission income exceeded the previous period’s P=2.7 billion to P=3.2 billion in the current period, attributable to higher deposit and trade related fees, arranger’s fees, bancassurance and other bank commission, underwriting and securities dealership transactions, as well as loan related and other fee income."
LTG_2017.txt,LTG,2017,"Miscellaneous income declined by 7.2% to P=8.6 billion, due to lower mark-to market gains on trading and investment securities."
LTG_2017.txt,LTG,2017,"The beverage segment’s net income was P=552 million for the year ended December 31, 2017, 68.5% lower than the P=1.76 billion in the same period last year."
LTG_2017.txt,LTG,2017,Revenues of the beverage segment were higher by 17.2% to P=13.9 billion in 2017 from P=11.9 billion in 2016.
LTG_2017.txt,LTG,2017,This was driven by the continued growth in the revenues of Absolute and Summit bottled water and Vitamilk soymilk.
LTG_2017.txt,LTG,2017,"However, gross profit margin dipped from 34% in 2016 to 31% in 2017, on account of the increase in cost of sales by 22.7% due to higher depreciation, labor costs, fuel and utilities expenses."
LTG_2017.txt,LTG,2017,"Likewise, operating expenses increased by 8.8% to P=2.4 billion in 2017 from P=2.2 billion in 2016 on account of higher advertising and promotional expenses, salaries and wages, taxes and licenses and miscellaneous expenses."
LTG_2017.txt,LTG,2017,"The distilled spirits segment posted a net income of P=631 million for the year ended December 31, 2017, 30.5% lower than the P=908 million reported in the same period last year due to lower bio-ethanol sale."
LTG_2017.txt,LTG,2017,Net revenues were higher by 11.9% to P=16.8 billion in 2017 compared to 2016’s P=15.0 billion due to higher volumes of liquor especially the flagship product Tanduay Five Years.
LTG_2017.txt,LTG,2017,"Cost of sales increased by 14.5% to P=14.1 billion in the current period as against P=12.3 billion in the same period last year primarily due to higher distilled spirits volumes, alcohol costs and increase in excise taxes."
LTG_2017.txt,LTG,2017,"Consequently, gross profit margin was at 16.2% in 2017, lower than the 18.1% in 2016."
LTG_2017.txt,LTG,2017,"Operating expenses was at P=1.9 billion in 2017, 22.7% higher than the P=1.6 billion in 2016 on account of higher advertising, freight and handling, management and professional fees and other selling expenses."
LTG_2017.txt,LTG,2017,"The property development segment reported a net income of P=348 million for the year 2017, slightly lower than the P=390 million for the same period last year."
LTG_2017.txt,LTG,2017,Residential property sales were lower by 45.6% to P=845 million for 2017.
LTG_2017.txt,LTG,2017,"Rental revenues in 2017 accounted for P=1.4 billion or 62.2% of revenues, representing a 8.6% growth over the same period in 2016, as the lease contracts were renewed at higher rates for the BPO offices."
LTG_2017.txt,LTG,2017,"Operating expenses were higher by 7.3% from P=682 million in 2016 to P=732 million in 2017, mainly on account of higher repairs and maintenance expense, depreciation and outside services fees."
LTG_2017.txt,LTG,2017,"The tobacco segment’s net income was P=4.4 billion for the year 2017, 70.3% higher than the P=2.6 billion of the same period last year on account of the increase in equity in net earnings from PMFTC from P=2.6 billion last year to P=4.4 billion in 2017."
LTG_2017.txt,LTG,2017,Gross profit ratio in 2017 was 53.5% versus 54.8% in 2016.
LTG_2017.txt,LTG,2017,Consolidated Net Income Attributable to Equity Holders of the Parent Company for 2017 amounted to P=10.8 billion; higher by 15.3% from last year’s P=9.4 billion.
LTG_2017.txt,LTG,2017,Ratio of net income to equity is 7.3% in 2017 and 6.9% in 2016.
LTG_2017.txt,LTG,2017,Current Ratio for 2017 is 0.63:1 while last year’s was 0.70:1.
LTG_2017.txt,LTG,2017,Debt-to-equity ratio for 2017 is 3.70:1 as compared to last year’s 3.64:1.
LTG_2017.txt,LTG,2017,Earnings per share attributable to holders of the parent company for 2017 is P=1.00 and P=0.87 in 2016.
LTG_2017.txt,LTG,2017,"(i) There are no other trends or any known demands, commitments, events or uncertainties that will result in or that are reasonably likely to result in the Group’s increasing or decreasing liquidity in any material way."
LTG_2017.txt,LTG,2017,"The Group is not in default or breach of any note, loan, lease or other indebtedness or financing arrangement requiring it to make payments."
LTG_2017.txt,LTG,2017,The Company does not have any liquidity problems.
LTG_2017.txt,LTG,2017,"(ii) There are no events that will trigger direct or contingent financial obligation that is material to LTG, including any default or acceleration of an obligation."
LTG_2017.txt,LTG,2017,"(iii) There are no known material off-balance sheet transactions, arrangements, obligations (including contingent obligations), and other relationships of LTG with unconsolidated entities or other persons created during the reporting period."
LTG_2017.txt,LTG,2017,"(iv) The Group has on-going and planned capital expenditure projects as follows:   TDI will be implementing, SAP S4/HANA, a new Enterprise-wide Resource Planning (ERP) system, that will cover financial accounting and controlling, warehouse management, procurement, sales and distribution, materials management and production planning."
LTG_2017.txt,LTG,2017,The new system is to be implemented company-wide.
LTG_2017.txt,LTG,2017,ADI will be installing a Biomenthanated Spent Wash Evaporation plant that will be used for the evaporation of wastewater in its Batangas distillation plant.
