filename,sentence
MEG_2021.txt,"Megaworld, the country’s largest developer of integrated urban townships, saw its net income increased by 35.79% to Php14.38 billion in the fourth quarter of 2021 from Php10.59 billion during the same period in 2020, just as the company registered gains in line with the improving business environment."
MEG_2021.txt,"Net income attributable to parent company stood at Php13.43 billion, increased by 35.89% from Php9.89 billion last year."
MEG_2021.txt,Megaworld’s consolidated revenues increased by 16.57% from Php43.54 billion in the fourth quarter of 2020 to Php50.75 billion during the same period this year.
MEG_2021.txt,Development.
MEG_2021.txt,"Among product portfolios, the bulk of consolidated revenues came from the sale of condominium units and commercial lot, comprising 61.33% of total revenues."
MEG_2021.txt,Real estate sales grew by 25.23% year-on-year to Php31.13 billion from the previous year’s Php24.86 billion as construction activities picked up during the year.
MEG_2021.txt,"The Group’s registered sales mostly came from the following projects: Golfhill Gardens, Park McKinley West, One Regis, Eastwood Global Plaza Luxury Residence, Uptown Parksuites Tower 1&2, Bayshore Residential Resort 2 Phase 2, San Antonio Residence, Vion Tower, Grand Westside Hotel, Mactan Belmont Luxury Hotel, The Palladium, The Albany-Yorkshire & Kingsley, Lafayette Park Square, The Ellis, Savoy Hotel Mactan Newtown, Maple Grove Commercial District, Eastwood Le Grand Tower 2, Gentry Manor, The Venice Luxury Residence – St. Marks Residences, Iloilo Boutique Hotel, Manhattan Plaza Tower 1, St. Moritz Private Estate 2 and Saint Dominique."
MEG_2021.txt,Leasing.
MEG_2021.txt,"The Group’s rental businesses, comprising of office and lifestyle mall leasing, registered a 2.99% increase, reaching Php13.32 billion in the fourth quarter of 2021 from the previous year’s Php12.93 billion."
MEG_2021.txt,This contributed 26.24% of the total consolidated revenues for the first twelve months of the year.
MEG_2021.txt,Hotel Operations.
MEG_2021.txt,The Group’s revenues attributable to hotel operations posted a strong recovery in 2021 to Php1.93 billion during the fourth quarter of 2021 with an increase of 30.14% from Php1.48 billion for the same period last year.
MEG_2021.txt,"Total costs and expenses amounted to Php36.38 billion, an increase by 10.39% from Php32.95 billion last year."
MEG_2021.txt,"Interest and other charges – net increased by 64.08%, amounting to Php4.81 billion this year from Php2.93 billion in 2020."
MEG_2021.txt,Tax expense in 2021 amounting to Php565 million resulted to a decrease of 83.13% from 2020 reported amount of Php3.35 billion due to lower taxable income.
MEG_2021.txt,There were no seasonal aspects that had a material effect on the financial condition or financial performance of the Group.
MEG_2021.txt,"Neither were there any trends, events or uncertainties that have had or that are reasonably expected to have a material impact on net sales or revenues or income from continuing operations."
MEG_2021.txt,The Group is not aware of events that will cause material change in the relationship between costs and revenues.
MEG_2021.txt,There are no significant elements of income or loss that did not arise from the Group’s continuing operations.
MEG_2021.txt,The Group maintains a prudent financial policy as it engages to a more competitive and challenging environment.
MEG_2021.txt,The Group’s Statements of Financial Position reflects stable financial growth.
MEG_2021.txt,"Total resources as at December 31, 2021 amounted to Php397.98 billion, posting an increase of 5.93% compared to Php375.69 billion as at December 31, 2020."
MEG_2021.txt,"The Group shows steady liquid position as at December 31, 2021 by having its current assets at Php227.83 billion as against its current obligations at Php61.91 billion."
MEG_2021.txt,"Current assets posted an increase of 8.15% from December 31, 2020 balance of Php210.67 billion."
MEG_2021.txt,"Current obligations reflected a decrease of 14.87% from December 31, 2020 balance of Php72.72 billion."
MEG_2021.txt,"Cash and cash equivalents increased by 9.03% from Php40.17 billion in 2020 to Php43.79 billion as at December 31, 2021."
MEG_2021.txt,"Current and non-current trade and other receivables – net increased by 7.15%, amounting to Php46.97 billion as at December 31, 2021 compared to Php43.84 billion as at December 31, 2020."
MEG_2021.txt,"Contract assets increased by 2.79%, amounting to Php19.92 billion as at December 31, 2021 compared to Php19.38 billion as at December 31, 2020."
MEG_2021.txt,"Inventories increased by 9.05% from Php106.13 billion in 2020 to Php115.74 billion as at December 31, 2021."
MEG_2021.txt,"This includes raw land for residential development and property development cost reclassified due to adoption PFRS 15 and PIC Q&As 2018-11, 2018-15 and 2018-12."
MEG_2021.txt,"Investment properties – net increased by 3.69% amounting to Php119.22 billion in December 31, 2021 from Php114.98 billion in December 31, 2020."
MEG_2021.txt,"This includes raw land and property development cost for office and commercial development reclassified due to adoption of PIC Q&As 2018- 11, 2018-15 and 2018-12."
MEG_2021.txt,"Trade and other payables amounted to Php22.88 billion and Php23.33 billion as at December 31, 2021 and December 31, 2020, respectively, reflecting a decrease of 1.95%."
MEG_2021.txt,"Contract liabilities increased by 26.70%, amounting to Php7.40 billion as at December 31, 2021 compared to Php5.84 billion as at December 31, 2020."
MEG_2021.txt,"Total current and non-current customers’ deposits as at December 31, 2021 amounted to Php12.15 billion compared Php14.69 billion as at December 31, 2020 with 17.25% decrease."
MEG_2021.txt,"The interest-bearing loans and borrowings current and non-current amounted to Php51.65 billion and Php45.58 billion for December 31, 2021 and December 31, 2020, respectively, reflecting an increase of 13.32%."
MEG_2021.txt,"Bonds payable increased by 4.22%, amounting to Php41.98 billion as at December 31, 2021 compared to Php40.28 billion as at December 31, 2020."
MEG_2021.txt,"Total other liabilities amounted to Php16.57 billion from Php17.69 billion as at December 31, 2021 and December 31, 2020, respectively, translating to a decrease of 6.36%."
