Filename,Ticker,Year,Sentence
PGOLD_2021.txt,PGOLD,2021,"For the year ended December 31, 2021, the Group earned a consolidated net income of P8,180 million at 5.0% net margin and an increase of 1.4% from P8,067 million at 4.8% net margin in 2020."
PGOLD_2021.txt,PGOLD,2021,"This was principally driven by the continuous management effort to improve gross margins, sustained strategic cost and expense management as well as the effect of the reduced corporate income tax with the implementation of the CREATE Law."
PGOLD_2021.txt,PGOLD,2021,"For the year ended December 31, 2021, the Group posted a consolidated net sales of P164,125 million for a decrease of P4,507 million or 2.7% compared to P168,632 million in 2020."
PGOLD_2021.txt,PGOLD,2021,"The decrease in net sales was primarily driven by a decline in customer’s visits particularly for the Puregold stores, with the government implementing health protocols in 2021 and people cautious of contracting the virus."
PGOLD_2021.txt,PGOLD,2021,"Also, base sales is higher than usual in 2020 specially in the first quarter, with people buying in panic, due to the looming lockdown brought about by the pandemic."
PGOLD_2021.txt,PGOLD,2021,"For the year ended December 31, 2021, the Group realized an increase of 3.2% in consolidated gross profit from P29,156 million in 2020 at 17.3% margin to P30,083 million at 18.3% margin in 2021, driven by strong and continuing suppliers' support through trade discounts in the form of rebates and conditional discounts granted during the year."
PGOLD_2021.txt,PGOLD,2021,"Other operating income slightly increased by P55 million or 1.7% from P3,155 million in 2020 to P3,210 million in 2021."
PGOLD_2021.txt,PGOLD,2021,"With the lockdown restrictions starting to loosen up, some tenants resume operation which resulted to increase in rent income."
PGOLD_2021.txt,PGOLD,2021,"Operating expenses increased by P1,397 million or 7.4% from P18,953 million in December 31, 2020 to P20,350 million in 2021."
PGOLD_2021.txt,PGOLD,2021,This is mainly driven by the increase in operating expenses of Kareila both from newly opened stores and old stores.
PGOLD_2021.txt,PGOLD,2021,"In addition, operating expenses in prior period were partly lower driven by lockdown period in the first half of 2020."
PGOLD_2021.txt,PGOLD,2021,"Other expenses net of other income amounted to P2,290 million and P1,925 million in December 31, 2021 and 2020, respectively."
PGOLD_2021.txt,PGOLD,2021,The increase is primarily due to interest expense on corporate notes issued by the Parent Company in the last quarter of 2020.
PGOLD_2021.txt,PGOLD,2021,"For the year ended December 31, 2021, the Group earned a consolidated net income of P8,180 million at 5.0% net margin and an increase of 1.4% from P8,067 million at 4.8% net margin in 2020.."
PGOLD_2021.txt,PGOLD,2021,"Despite the decline in revenues, this was principally driven by the continuous management effort to improve gross margins, sustained strategic cost and expense management as well as the effect of the reduced corporate income tax with the implementation of the CREATE Law."
PGOLD_2021.txt,PGOLD,2021,"As at December 31, 2021 and 2020, total current assets amounted to P65,931 million or 47.3% of total assets and P59,388 million or 45.1% of total assets, respectively, for an increase of P6,543 million or 11.0% as at December 31, 2021."
PGOLD_2021.txt,PGOLD,2021,"Cash and cash equivalents as at December 31, 2021 amounted to P41,312 million or 29.6% of total assets and increased by P8,588 million or 26.2% compared to previous year-end balance."
PGOLD_2021.txt,PGOLD,2021,The account increase is attributable mainly to cash generated from operations.
PGOLD_2021.txt,PGOLD,2021,"This is partially offset by payment for cash dividend and capital expenditures for 2021 new organic stores Receivables amounted to P2,179 million as at December 31, 2021 and 2020 or 1.6% and 2.0% of total assets, respectively."
PGOLD_2021.txt,PGOLD,2021,"The decrease was due to collections made during the period, bulk of which came from the high year end receivables."
PGOLD_2021.txt,PGOLD,2021,"Merchandise inventory amounted to P21,559 million or 15.5% of total assets at the end of 2021 and P20,918 million or 15.9% of total assets in 2020."
PGOLD_2021.txt,PGOLD,2021,Total inventory increased by P641 million or 3.1% principally due to increase in Puregold and S&R stores stocking requirements for existing and new operating stores.
PGOLD_2021.txt,PGOLD,2021,"Investments in trading securities amounted to P31 million and P2,411 million as at December 31, 2021 and 2020, respectively."
PGOLD_2021.txt,PGOLD,2021,"The decrease of P2,380 million was due to net sale of government bonds during the period."
PGOLD_2021.txt,PGOLD,2021,"Prepaid expenses and other current assets amounted to P851 million and P658 million as at December 31, 2021 and 2020, respectively."
PGOLD_2021.txt,PGOLD,2021,The increase was mainly due to payment on insurance premiums and advertising and promotion expenses.
PGOLD_2021.txt,PGOLD,2021,"As at December 31, 2021 and 2020, total noncurrent assets amounted to P73,503 million or 52.7% of total assets and P72,205 million or 54.9% of total assets, respectively, for an increase of P1,298 million or 1.8% as at December 31, 2021."
PGOLD_2021.txt,PGOLD,2021,"Investments amounted to P637 million as at December 31, 2021 and 2020, respectively."
PGOLD_2021.txt,PGOLD,2021,"Net book values of property and equipment increased by P1,104 million or 5.0% from P21,966 million in December 2020 to P23,070 million in December 2021."
PGOLD_2021.txt,PGOLD,2021,The increase was mainly due to additions made during the year intended for newly established/operating stores.
