car,ss,length
-0.003756016,0.279569892,202
-0.004366221,0.252525253,222
-0.014251018,0.241758242,238
0.00525721,0.20212766,266
-0.014569722,0.235955056,224
-0.032041136,-0.297297297,69
0.017980893,-0.136363636,66
-0.012552223,0.212121212,82
-0.023563644,-0.149606299,153
0.037967457,-0.010989011,301
-0.079108224,0.624309392,207
0.044123363,0.471698113,249
0.000717852,0.497584541,268
-0.028482125,0.39100346,313
0.013275647,0.464566929,150
0.025007036,0.209677419,138
-0.004545057,0.316666667,134
0.020670759,0.158878505,158
-0.010538142,0.377777778,100
0.031755623,0.368421053,111
0.057998268,0.432432432,89
0.025308438,0.464788732,88
0.005551598,0.085714286,113
-0.044662104,0.157894737,100
0.040004022,-0.301775148,198
0.004178784,0.561643836,96
-0.014043391,0.444444444,89
-0.009873849,0.2,102
-0.030809085,0.271186441,136
0.017699837,0.724137931,69
0.026374527,0.923076923,62
-0.012395369,0.78021978,109
-0.002374198,0.607142857,76
-0.029974442,0.673469388,67
0.009256158,0.550561798,106
0.031331592,0.510638298,121
-0.085976636,0.569892473,125
-0.000196456,0.333333333,149
-0.001332061,0.436619718,111
0.026256591,-0.063829787,115
0.030550925,0.166666667,93
0.011675949,-0.012987013,86
-0.036950553,0.073170732,111
-0.024521728,0.317073171,99
0.012749404,-0.411167513,465
-0.002015528,-0.475826972,455
-0.106627001,-0.417322835,445
0.035914837,-0.504531722,413
-0.005713553,-0.355555556,529
0.004806577,0.275167785,168
-0.020536182,0.12,166
-0.007740248,0.414634146,152
-0.029777867,0.164556962,135
0.009536036,0.326086957,121
0.009470711,-0.333333333,286
0.004906313,-0.181818182,223
-0.101185856,-0.0390625,300
0.057299292,-0.242290749,269
0.08834885,-0.227118644,332
-0.008560763,-0.155555556,155
0.038332092,0.099099099,156
0.007210209,0.660377358,136
0.013880121,0.68627451,130
-0.026967493,0.650793651,151
-0.011648314,0.514285714,131
-0.061926017,0.478991597,179
-0.02028148,0.127272727,68
0.051489554,0.462962963,133
0.053760648,0.269230769,63
-0.039915105,0.169230769,100
-0.013995477,-0.184210526,126
0.013804349,0.029126214,120
0.015522644,-0.047619048,122
0.018022773,-0.123809524,122
0.008076881,-0.075268817,122
-0.014265653,-0.065217391,124
-0.001444763,0.224489796,53
-0.047380401,0.102040816,53
-0.017504823,0.12,55
-0.043647319,-0.105263158,52
-0.003199457,0.045454545,51
-0.063200901,0,267
-0.025685422,0.063829787,154
0.038472155,0.056910569,149
0.003911015,-0.126213592,164
-0.021338532,-0.06870229,161
-0.049976219,0.166666667,64
-0.056281661,0.161290323,71
0.025296553,0.245901639,73
0.119565471,0.09375,69
-0.011432373,0.103448276,68
0.039615232,0.5,38
0.009573788,0.377777778,50
-0.099019006,0.391304348,51
-0.022965201,0.235294118,52
-0.018320682,0.11627907,53
-0.009392906,0.419354839,79
0.007063707,0.424242424,82
-0.018902783,0.267605634,88
0.004564024,0.233333333,92
-0.013081798,0.377777778,76
-0.03342365,0.323529412,83
-0.011818232,0.378378378,85
-0.051990108,0.342857143,83
0.012080307,0.38028169,113
0.004849976,0.450549451,105
0.034941227,-0.172995781,250
0.00199314,0.00621118,175
0.001040183,-0.038674033,209
-0.020223696,-0.029585799,235
0.032085845,-0.053097345,237
0.013152072,0.15942029,72
0.013424583,0.088235294,75
-0.0288415,0.157894737,66
-0.004616749,0,59
0.010784193,0.142857143,20
0.005251034,-0.320158103,389
-0.017702903,-0.308474576,446
-0.056064739,-0.281081081,540
-0.014775235,-0.204081633,578
0.05338191,-0.235849057,608
-0.017572523,0.466666667,81
-0.026262151,0.19047619,65
-0.008486439,0.504132231,180
0.005908122,0.536585366,121
0.0259297,0.551724138,173
0.012420174,-0.587301587,67
-0.010296596,0.142857143,56
-0.017124978,-0.218390805,92
-0.019795392,-0.328358209,169
-0.024781515,-0.053435115,148
0.048676712,0.106796117,107
0.051216957,0.185714286,152
0.100811242,-0.123287671,388
