date,price
1/5/15, 53.65 
1/6/15, 53.75 
1/7/15, 53.55 
1/8/15, 54.00 
1/9/15, 54.20 
1/12/15, 54.20 
1/13/15, 54.40 
1/14/15, 54.95 
1/19/15, 54.40 
1/20/15, 54.40 
1/21/15, 55.00 
1/22/15, 55.00 
1/23/15, 55.45 
1/26/15, 55.75 
1/27/15, 56.00 
1/28/15, 56.55 
1/29/15, 56.85 
1/30/15, 56.60 
2/2/15, 57.80 
2/3/15, 57.55 
2/4/15, 58.00 
2/5/15, 57.50 
2/6/15, 58.00 
2/9/15, 57.10 
2/10/15, 57.90 
2/11/15, 57.90 
2/12/15, 57.90 
2/13/15, 57.80 
2/16/15, 57.10 
2/17/15, 57.35 
2/18/15, 56.80 
2/20/15, 57.90 
2/23/15, 57.50 
2/24/15, 57.95 
2/25/15, 58.00 
2/26/15, 58.00 
2/27/15, 56.85 
3/2/15, 58.00 
3/3/15, 57.00 
3/4/15, 58.00 
3/5/15, 58.10 
3/6/15, 59.00 
3/9/15, 58.50 
3/10/15, 58.60 
3/11/15, 58.60 
3/12/15, 58.30 
3/13/15, 57.00 
3/16/15, 57.40 
3/17/15, 57.70 
3/18/15, 57.10 
3/19/15, 56.00 
3/20/15, 55.75 
3/23/15, 56.40 
3/24/15, 56.95 
3/25/15, 56.90 
3/26/15, 57.00 
3/27/15, 57.05 
3/30/15, 57.10 
3/31/15, 58.00 
4/1/15, 57.50 
4/6/15, 58.05 
4/7/15, 58.00 
4/8/15, 57.80 
4/10/15, 58.10 
4/13/15, 58.10 
4/14/15, 58.00 
4/15/15, 58.00 
4/16/15, 56.70 
4/17/15, 58.50 
4/20/15, 57.00 
4/21/15, 57.85 
4/22/15, 57.85 
4/23/15, 57.95 
4/24/15, 58.00 
4/27/15, 58.00 
4/28/15, 58.05 
4/29/15, 57.20 
4/30/15, 56.65 
5/4/15, 57.00 
5/5/15, 57.50 
5/6/15, 57.50 
5/7/15, 56.80 
5/8/15, 57.65 
5/11/15, 57.90 
5/12/15, 57.75 
