date,price
1/5/15, 23.30 
1/6/15, 23.90 
1/7/15, 24.30 
1/8/15, 24.10 
1/9/15, 23.80 
1/12/15, 24.10 
1/13/15, 23.95 
1/14/15, 23.80 
1/19/15, 24.00 
1/20/15, 23.45 
1/21/15, 23.20 
1/22/15, 23.70 
1/23/15, 24.40 
1/26/15, 25.30 
1/27/15, 25.60 
1/28/15, 25.20 
1/29/15, 24.50 
1/30/15, 25.05 
2/2/15, 25.50 
2/3/15, 25.50 
2/4/15, 25.15 
2/5/15, 25.00 
2/6/15, 24.70 
2/9/15, 23.95 
2/10/15, 24.00 
2/11/15, 23.85 
2/12/15, 23.60 
2/13/15, 23.75 
2/16/15, 24.00 
2/17/15, 24.40 
2/18/15, 25.05 
2/20/15, 25.20 
2/23/15, 24.85 
2/24/15, 24.70 
2/25/15, 24.65 
2/26/15, 24.35 
2/27/15, 23.80 
3/2/15, 23.30 
3/3/15, 23.65 
3/4/15, 24.10 
3/5/15, 23.85 
3/6/15, 24.00 
3/9/15, 24.35 
3/10/15, 24.70 
3/11/15, 25.20 
3/12/15, 25.90 
3/13/15, 26.10 
3/16/15, 25.95 
3/17/15, 26.30 
3/18/15, 26.65 
3/19/15, 27.25 
3/20/15, 26.90 
3/23/15, 26.90 
3/24/15, 26.80 
3/25/15, 27.30 
3/26/15, 27.25 
3/27/15, 26.95 
3/30/15, 26.50 
3/31/15, 26.50 
4/1/15, 27.00 
4/6/15, 27.00 
4/7/15, 27.00 
4/8/15, 26.90 
4/10/15, 27.10 
4/13/15, 27.00 
4/14/15, 27.25 
4/15/15, 26.00 
4/16/15, 25.60 
4/17/15, 25.55 
4/20/15, 24.15 
4/21/15, 24.65 
4/22/15, 25.50 
4/23/15, 25.80 
4/24/15, 26.20 
4/27/15, 26.85 
4/28/15, 26.75 
4/29/15, 26.35 
4/30/15, 25.40 
5/4/15, 25.45 
5/5/15, 25.65 
5/6/15, 25.10 
5/7/15, 24.50 
5/8/15, 24.50 
5/11/15, 24.80 
5/12/15, 25.25 
5/13/15, 24.50 
5/14/15, 24.05 
5/15/15, 24.40 
5/18/15, 24.90 
5/19/15, 24.80 
5/20/15, 24.30 
5/21/15, 22.55 
5/22/15, 22.70 
5/25/15, 22.75 
5/26/15, 22.60 
5/27/15, 22.65 
5/28/15, 23.30 
5/29/15, 22.95 
6/1/15, 23.35 
6/2/15, 22.50 
6/3/15, 22.55 
6/4/15, 22.55 
6/5/15, 22.55 
6/8/15, 22.30 
6/9/15, 21.55 
6/10/15, 21.90 
6/11/15, 22.45 
6/15/15, 22.50 
6/16/15, 22.50 
6/17/15, 22.45 
6/18/15, 23.05 
6/19/15, 23.10 
6/22/15, 23.05 
6/23/15, 22.50 
6/24/15, 23.00 
6/25/15, 22.80 
6/26/15, 23.00 
6/29/15, 22.50 
6/30/15, 21.70 
7/1/15, 22.30 
7/2/15, 22.30 
7/3/15, 22.15 
7/6/15, 21.80 
7/7/15, 21.80 
7/8/15, 22.00 
7/9/15, 22.00 
7/10/15, 22.00 
7/13/15, 21.95 
7/14/15, 22.30 
7/15/15, 22.45 
7/16/15, 22.90 
7/20/15, 22.50 
7/21/15, 23.40 
7/22/15, 23.50 
7/23/15, 23.70 
7/24/15, 23.50 
7/27/15, 22.80 
7/28/15, 22.00 
7/29/15, 22.30 
7/30/15, 22.25 
7/31/15, 22.60 
8/3/15, 22.35 
8/4/15, 22.55 
8/5/15, 23.05 
8/6/15, 22.85 
8/7/15, 22.95 
8/10/15, 22.20 
8/11/15, 22.55 
8/12/15, 22.30 
8/13/15, 22.30 
8/14/15, 22.30 
8/17/15, 22.30 
8/18/15, 21.60 
8/19/15, 20.25 
8/20/15, 20.15 
8/24/15, 18.90 
8/25/15, 19.32 
8/26/15, 19.30 
8/27/15, 19.80 
8/28/15, 19.80 
9/1/15, 19.92 
9/2/15, 20.20 
9/3/15, 20.30 
9/4/15, 20.25 
9/7/15, 20.10 
9/8/15, 19.98 
9/9/15, 19.80 
9/10/15, 19.88 
9/11/15, 19.90 
9/14/15, 20.00 
9/15/15, 20.25 
9/16/15, 20.15 
9/17/15, 20.35 
9/18/15, 19.90 
9/21/15, 19.72 
9/22/15, 19.60 
9/23/15, 19.00 
9/24/15, 18.14 
9/28/15, 16.96 
9/29/15, 16.46 
9/30/15, 15.32 
10/1/15, 16.12 
10/2/15, 16.18 
10/5/15, 16.08 
10/6/15, 16.36 
10/7/15, 17.00 
10/8/15, 17.14 
10/9/15, 18.46 
10/12/15, 18.50 
10/13/15, 18.30 
10/14/15, 17.80 
10/15/15, 18.06 
10/16/15, 18.26 
10/19/15, 18.20 
10/20/15, 18.06 
10/21/15, 18.00 
10/22/15, 18.00 
10/23/15, 18.00 
10/26/15, 18.50 
10/27/15, 18.74 
10/28/15, 18.88 
10/29/15, 18.52 
10/30/15, 18.24 
11/2/15, 18.50 
11/3/15, 18.50 
11/4/15, 18.60 
11/5/15, 18.68 
11/6/15, 18.52 
11/9/15, 18.58 
11/10/15, 18.34 
11/11/15, 18.20 
11/12/15, 17.82 
11/13/15, 17.82 
11/16/15, 17.78 
11/17/15, 17.76 
11/20/15, 17.90 
11/23/15, 17.90 
11/24/15, 18.00 
11/25/15, 17.84 
11/26/15, 17.98 
11/27/15, 17.70 
12/1/15, 17.80 
12/2/15, 17.90 
12/3/15, 17.50 
12/4/15, 17.10 
12/7/15, 17.10 
12/8/15, 16.50 
12/9/15, 16.70 
12/10/15, 16.22 
12/11/15, 15.60 
12/14/15, 15.30 
12/15/15, 15.58 
12/16/15, 16.00 
12/17/15, 16.40 
12/18/15, 16.26 
12/21/15, 16.26 
12/22/15, 16.52 
12/23/15, 16.72 
12/28/15, 16.80 
12/29/15, 16.10 
1/4/16, 15.98 
1/5/16, 16.00 
1/6/16, 16.04 
1/7/16, 15.40 
1/8/16, 15.20 
1/11/16, 14.60 
1/12/16, 14.78 
1/13/16, 14.90 
1/14/16, 14.60 
1/15/16, 14.62 
1/18/16, 13.92 
1/19/16, 14.06 
1/20/16, 13.80 
1/21/16, 12.70 
1/22/16, 13.20 
1/25/16, 14.00 
1/26/16, 13.70 
1/27/16, 14.00 
1/28/16, 14.50 
1/29/16, 14.80 
2/1/16, 14.78 
2/2/16, 14.62 
2/3/16, 14.50 
2/4/16, 14.46 
2/5/16, 14.70 
2/9/16, 14.38 
2/10/16, 14.00 
2/11/16, 14.24 
2/12/16, 14.24 
2/15/16, 14.20 
2/16/16, 14.40 
2/17/16, 14.48 
2/18/16, 14.62 
2/19/16, 14.60 
2/22/16, 14.32 
2/23/16, 14.58 
2/24/16, 14.58 
2/26/16, 14.50 
2/29/16, 14.40 
3/1/16, 14.38 
3/2/16, 14.80 
3/3/16, 15.30 
3/4/16, 15.30 
3/7/16, 15.46 
3/8/16, 15.28 
3/9/16, 15.40 
3/10/16, 16.10 
3/11/16, 16.00 
3/14/16, 15.86 
3/15/16, 16.00 
3/16/16, 15.84 
3/17/16, 16.00 
3/18/16, 15.88 
3/21/16, 16.00 
3/22/16, 16.06 
3/23/16, 16.94 
3/28/16, 17.22 
3/29/16, 16.90 
3/30/16, 17.02 
3/31/16, 16.50 
4/1/16, 16.48 
4/4/16, 16.54 
4/5/16, 16.60 
4/6/16, 16.64 
4/7/16, 17.00 
4/8/16, 16.76 
4/11/16, 16.90 
4/12/16, 16.78 
4/13/16, 16.70 
4/14/16, 16.70 
4/15/16, 16.52 
4/18/16, 16.20 
4/19/16, 16.36 
4/20/16, 16.38 
4/21/16, 16.68 
4/22/16, 16.46 
4/25/16, 16.00 
4/26/16, 15.84 
4/27/16, 15.24 
4/28/16, 14.50 
4/29/16, 14.50 
5/2/16, 14.36 
5/3/16, 14.86 
5/4/16, 14.70 
5/5/16, 14.36 
5/6/16, 14.36 
5/10/16, 14.36 
5/11/16, 14.46 
5/12/16, 14.46 
5/13/16, 14.60 
5/16/16, 14.26 
5/17/16, 14.24 
5/18/16, 14.58 
5/19/16, 14.56 
5/20/16, 14.22 
5/23/16, 14.36 
5/24/16, 14.58 
5/25/16, 14.76 
5/26/16, 15.00 
5/27/16, 15.30 
5/30/16, 15.50 
5/31/16, 15.22 
6/1/16, 15.40 
6/2/16, 15.50 
6/3/16, 15.68 
6/6/16, 15.42 
6/7/16, 15.56 
6/8/16, 16.10 
6/9/16, 15.50 
6/10/16, 15.98 
6/13/16, 16.00 
6/14/16, 16.00 
6/15/16, 15.96 
6/16/16, 15.90 
6/17/16, 15.90 
6/20/16, 15.70 
6/21/16, 15.80 
6/22/16, 15.80 
6/23/16, 15.80 
6/24/16, 15.60 
6/27/16, 15.38 
6/28/16, 15.18 
6/29/16, 15.20 
6/30/16, 14.80 
7/1/16, 15.20 
7/4/16, 15.20 
7/5/16, 15.30 
7/7/16, 15.28 
7/8/16, 15.26 
7/11/16, 15.26 
7/12/16, 15.28 
7/13/16, 15.60 
7/14/16, 16.00 
7/15/16, 16.30 
7/18/16, 16.04 
7/19/16, 16.32 
7/20/16, 16.22 
7/21/16, 16.28 
7/22/16, 16.58 
7/25/16, 16.56 
7/26/16, 16.40 
7/27/16, 16.30 
7/28/16, 16.14 
7/29/16, 16.16 
8/1/16, 16.26 
8/2/16, 16.26 
8/3/16, 15.84 
8/4/16, 15.84 
8/5/16, 16.00 
8/8/16, 16.20 
8/9/16, 16.40 
8/10/16, 16.40 
8/11/16, 16.00 
8/12/16, 16.00 
8/15/16, 16.00 
8/16/16, 15.92 
8/17/16, 16.00 
8/18/16, 16.30 
8/19/16, 16.04 
8/22/16, 16.28 
8/23/16, 16.46 
8/24/16, 16.28 
8/25/16, 16.20 
8/26/16, 16.40 
8/30/16, 16.42 
8/31/16, 16.30 
9/1/16, 16.18 
9/2/16, 16.40 
9/5/16, 16.80 
