date,price
1/5/15, 34.00 
1/6/15, 33.50 
1/7/15, 33.75 
1/8/15, 35.25 
1/9/15, 35.00 
1/12/15, 34.00 
1/13/15, 34.15 
1/14/15, 34.90 
1/19/15, 34.50 
1/20/15, 34.55 
1/21/15, 34.95 
1/22/15, 34.85 
1/23/15, 35.65 
1/26/15, 35.00 
1/27/15, 35.50 
1/28/15, 35.70 
1/29/15, 35.20 
1/30/15, 36.10 
2/2/15, 35.95 
2/3/15, 35.40 
2/4/15, 36.00 
2/5/15, 35.70 
2/6/15, 36.00 
2/9/15, 36.05 
2/10/15, 35.50 
2/11/15, 35.70 
2/12/15, 35.40 
2/13/15, 35.30 
2/16/15, 35.35 
2/17/15, 35.55 
2/18/15, 35.60 
2/20/15, 35.95 
2/23/15, 36.50 
2/24/15, 37.00 
2/25/15, 37.65 
2/26/15, 36.90 
2/27/15, 36.25 
3/2/15, 37.00 
3/3/15, 36.70 
3/4/15, 38.15 
3/5/15, 37.70 
3/6/15, 38.25 
3/9/15, 37.50 
3/10/15, 37.55 
3/11/15, 37.75 
3/12/15, 38.60 
3/13/15, 37.45 
3/16/15, 37.00 
3/17/15, 37.95 
3/18/15, 37.40 
3/19/15, 38.10 
3/20/15, 37.85 
3/23/15, 37.60 
3/24/15, 37.15 
3/25/15, 36.95 
3/26/15, 37.60 
3/27/15, 37.60 
3/30/15, 37.60 
3/31/15, 38.50 
4/1/15, 40.00 
4/6/15, 39.65 
4/7/15, 40.00 
4/8/15, 40.00 
4/10/15, 40.75 
4/13/15, 40.60 
4/14/15, 40.60 
4/15/15, 39.45 
4/16/15, 40.35 
4/17/15, 40.00 
4/20/15, 39.65 
4/21/15, 39.90 
4/22/15, 39.50 
4/23/15, 39.70 
4/24/15, 39.60 
4/27/15, 39.70 
4/28/15, 39.50 
4/29/15, 39.70 
4/30/15, 38.65 
5/4/15, 40.00 
5/5/15, 40.45 
5/6/15, 40.00 
5/7/15, 40.40 
5/8/15, 39.80 
5/11/15, 40.35 
5/12/15, 40.35 
5/13/15, 40.05 
5/14/15, 40.20 
5/15/15, 40.70 
5/18/15, 41.00 
5/19/15, 40.65 
5/20/15, 40.95 
5/21/15, 40.20 
5/22/15, 40.00 
5/25/15, 39.65 
5/26/15, 40.30 
5/27/15, 39.25 
5/28/15, 38.70 
5/29/15, 40.05 
6/1/15, 40.30 
6/2/15, 39.50 
6/3/15, 39.35 
6/4/15, 39.20 
6/5/15, 38.80 
6/8/15, 38.75 
6/9/15, 37.00 
6/10/15, 37.50 
6/11/15, 39.00 
6/15/15, 38.95 
6/16/15, 38.85 
6/17/15, 38.60 
6/18/15, 38.90 
6/19/15, 38.25 
6/22/15, 38.00 
6/23/15, 37.85 
6/24/15, 38.00 
6/25/15, 37.90 
6/26/15, 37.95 
6/29/15, 37.65 
6/30/15, 37.30 
7/1/15, 37.10 
7/2/15, 37.65 
7/3/15, 36.80 
7/6/15, 36.30 
7/7/15, 36.40 
7/8/15, 36.40 
7/9/15, 36.55 
7/10/15, 36.85 
7/13/15, 38.15 
7/14/15, 38.30 
7/15/15, 38.30 
7/16/15, 38.30 
7/20/15, 38.00 
7/21/15, 38.50 
7/22/15, 38.90 
