date,price
1/5/15, 42.02 
1/6/15, 41.87 
1/7/15, 41.63 
1/8/15, 41.53 
1/9/15, 41.68 
1/12/15, 41.63 
1/13/15, 41.73 
1/14/15, 41.92 
1/19/15, 41.77 
1/20/15, 41.28 
1/21/15, 41.43 
1/22/15, 41.48 
1/23/15, 41.77 
1/26/15, 41.87 
1/27/15, 44.02 
1/28/15, 43.98 
1/29/15, 43.19 
1/30/15, 43.53 
2/2/15, 43.05 
2/3/15, 43.44 
2/4/15, 43.98 
2/5/15, 44.12 
2/6/15, 44.51 
2/9/15, 43.93 
2/10/15, 44.32 
2/11/15, 43.44 
2/12/15, 43.53 
2/13/15, 44.02 
2/16/15, 43.53 
2/17/15, 43.53 
2/18/15, 43.53 
2/20/15, 43.68 
2/23/15, 43.78 
2/24/15, 43.93 
2/25/15, 43.83 
2/26/15, 43.05 
2/27/15, 43.44 
3/2/15, 43.73 
3/3/15, 43.44 
3/4/15, 43.34 
3/5/15, 43.44 
3/6/15, 44.81 
3/9/15, 44.42 
3/10/15, 44.42 
3/11/15, 44.42 
3/12/15, 44.51 
3/13/15, 44.90 
3/16/15, 45.15 
3/17/15, 45.49 
3/18/15, 45.05 
3/19/15, 44.38 
3/20/15, 44.72 
3/23/15, 44.72 
3/24/15, 44.82 
3/25/15, 44.92 
3/26/15, 44.92 
3/27/15, 44.03 
3/30/15, 43.34 
3/31/15, 44.03 
4/1/15, 44.28 
4/6/15, 44.28 
4/7/15, 44.77 
4/8/15, 44.72 
4/10/15, 44.53 
4/13/15, 43.34 
4/14/15, 43.54 
4/15/15, 42.80 
4/16/15, 41.06 
4/17/15, 42.05 
4/20/15, 41.56 
4/21/15, 41.56 
4/22/15, 41.56 
4/23/15, 41.95 
4/24/15, 43.04 
4/27/15, 42.94 
4/28/15, 42.70 
4/29/15, 42.55 
4/30/15, 42.50 
5/4/15, 42.84 
5/5/15, 43.19 
5/6/15, 43.14 
5/7/15, 42.60 
5/8/15, 41.56 
5/11/15, 41.86 
5/12/15, 41.86 
5/13/15, 41.86 
5/14/15, 41.95 
5/15/15, 41.90 
5/18/15, 42.65 
5/19/15, 42.94 
5/20/15, 43.54 
5/21/15, 43.14 
5/22/15, 42.70 
5/25/15, 42.45 
5/26/15, 42.05 
5/27/15, 41.86 
