date,price
1/5/15, 104.21 
1/6/15, 102.79 
1/7/15, 100.99 
1/8/15, 100.23 
1/9/15, 100.42 
1/12/15, 100.61 
1/13/15, 103.45 
1/14/15, 105.15 
1/19/15, 104.40 
1/20/15, 105.63 
1/21/15, 105.63 
1/22/15, 105.15 
1/23/15, 106.10 
1/26/15, 105.91 
1/27/15, 109.61 
1/28/15, 107.90 
1/29/15, 108.00 
1/30/15, 108.47 
2/2/15, 106.10 
2/3/15, 105.63 
2/4/15, 108.00 
2/5/15, 107.24 
2/6/15, 106.39 
2/9/15, 106.95 
2/10/15, 107.52 
2/11/15, 105.72 
2/12/15, 108.00 
2/13/15, 108.00 
2/16/15, 107.52 
2/17/15, 108.00 
2/18/15, 106.67 
2/20/15, 106.57 
2/23/15, 106.95 
2/24/15, 108.00 
2/25/15, 108.00 
2/26/15, 107.05 
2/27/15, 105.15 
3/2/15, 104.21 
3/3/15, 105.82 
3/4/15, 107.05 
3/5/15, 107.90 
3/6/15, 108.00 
3/9/15, 108.28 
3/10/15, 108.19 
3/11/15, 107.90 
3/12/15, 108.00 
3/13/15, 108.47 
3/16/15, 106.86 
3/17/15, 108.19 
3/18/15, 108.94 
3/19/15, 111.31 
3/20/15, 111.03 
3/23/15, 112.16 
3/24/15, 113.68 
3/25/15, 115.10 
3/26/15, 113.58 
3/27/15, 115.10 
3/30/15, 115.67 
3/31/15, 117.18 
4/1/15, 116.52 
4/6/15, 114.63 
4/7/15, 113.58 
4/8/15, 112.26 
4/10/15, 113.49 
4/13/15, 113.68 
4/14/15, 112.26 
4/15/15, 111.79 
4/16/15, 111.79 
4/17/15, 112.26 
4/20/15, 110.84 
4/21/15, 110.27 
4/22/15, 108.56 
4/23/15, 109.89 
4/24/15, 111.31 
4/27/15, 109.42 
4/28/15, 106.10 
4/29/15, 104.21 
4/30/15, 103.26 
5/4/15, 104.59 
5/5/15, 106.57 
5/6/15, 105.15 
5/7/15, 104.40 
5/8/15, 105.34 
5/11/15, 105.82 
5/12/15, 105.15 
5/13/15, 106.67 
5/14/15, 108.00 
5/15/15, 108.94 
5/18/15, 110.65 
5/19/15, 110.55 
5/20/15, 108.94 
5/21/15, 109.89 
5/22/15, 109.80 
5/25/15, 108.28 
5/26/15, 107.90 
5/27/15, 105.72 
5/28/15, 100.42 
5/29/15, 102.31 
6/1/15, 105.15 
6/2/15, 102.41 
6/3/15, 102.31 
6/4/15, 101.65 
6/5/15, 101.36 
6/8/15, 102.88 
6/9/15, 100.42 
6/10/15, 102.31 
6/11/15, 102.79 
6/15/15, 101.27 
6/16/15, 101.46 
6/17/15, 102.69 
6/18/15, 104.11 
6/19/15, 104.02 
6/22/15, 104.21 
6/23/15, 104.87 
6/24/15, 104.21 
6/25/15, 102.12 
6/26/15, 103.16 
6/29/15, 102.41 
6/30/15, 102.69 
7/1/15, 102.60 
7/2/15, 102.60 
7/3/15, 102.31 
7/6/15, 100.89 
7/7/15, 99.94 
7/8/15, 99.47 
7/9/15, 99.37 
7/10/15, 98.51 
7/13/15, 98.61 
7/14/15, 99.37 
7/15/15, 100.33 
7/16/15, 100.33 
7/20/15, 98.90 
7/21/15, 100.33 
7/22/15, 100.43 
7/23/15, 100.33 
7/24/15, 100.23 
7/27/15, 96.99 
7/28/15, 94.21 
7/29/15, 95.07 
7/30/15, 95.07 
7/31/15, 95.93 
8/3/15, 96.13 
8/4/15, 97.94 
8/5/15, 99.37 
8/6/15, 98.99 
8/7/15, 97.46 
8/10/15, 98.99 
8/11/15, 99.37 
8/12/15, 97.46 
8/13/15, 98.42 
8/14/15, 98.42 
8/17/15, 95.46 
8/18/15, 96.51 
8/19/15, 95.55 
8/20/15, 94.55 
8/24/15, 90.77 
8/25/15, 89.91 
8/26/15, 88.86 
8/27/15, 92.69 
8/28/15, 94.12 
9/1/15, 93.31 
9/2/15, 93.64 
9/3/15, 92.69 
9/4/15, 90.20 
9/7/15, 89.34 
9/8/15, 89.34 
9/9/15, 90.44 
9/10/15, 92.64 
9/11/15, 91.83 
9/14/15, 92.88 
9/15/15, 94.12 
9/16/15, 95.41 
9/17/15, 97.08 
9/18/15, 98.42 
9/21/15, 98.42 
9/22/15, 98.99 
9/23/15, 97.46 
9/24/15, 98.42 
9/28/15, 97.46 
9/29/15, 97.46 
9/30/15, 98.90 
10/1/15, 100.33 
10/2/15, 100.33 
10/5/15, 101.29 
10/6/15, 104.06 
10/7/15, 104.15 
10/8/15, 104.15 
10/9/15, 103.67 
10/12/15, 101.76 
10/13/15, 98.42 
10/14/15, 98.42 
10/15/15, 100.14 
10/16/15, 98.51 
10/19/15, 99.09 
10/20/15, 98.13 
10/21/15, 98.23 
10/22/15, 99.37 
10/23/15, 102.72 
10/26/15, 99.18 
10/27/15, 99.37 
10/28/15, 99.37 
10/29/15, 97.37 
10/30/15, 97.18 
11/2/15, 98.42 
11/3/15, 98.42 
11/4/15, 96.89 
11/5/15, 95.74 
11/6/15, 97.46 
11/9/15, 97.46 
11/10/15, 96.03 
11/11/15, 96.03 
11/12/15, 95.55 
11/13/15, 96.99 
11/16/15, 94.74 
11/17/15, 95.07 
11/20/15, 94.84 
11/23/15, 94.88 
11/24/15, 96.99 
11/25/15, 99.37 
11/26/15, 99.57 
11/27/15, 96.51 
12/1/15, 100.81 
12/2/15, 98.51 
12/3/15, 97.46 
12/4/15, 96.99 
12/7/15, 96.89 
12/8/15, 94.69 
12/9/15, 96.03 
12/10/15, 96.22 
12/11/15, 95.74 
12/14/15, 93.64 
12/15/15, 95.55 
12/16/15, 95.55 
12/17/15, 99.85 
12/18/15, 98.42 
12/21/15, 98.90 
12/22/15, 100.14 
12/23/15, 100.33 
12/28/15, 100.23 
12/29/15, 100.33 
1/4/16, 97.37 
1/5/16, 98.90 
1/6/16, 98.80 
1/7/16, 97.46 
1/8/16, 95.07 
1/11/16, 90.77 
1/12/16, 91.63 
1/13/16, 93.64 
1/14/16, 93.64 
1/15/16, 93.64 
1/18/16, 91.63 
1/19/16, 91.54 
1/20/16, 91.25 
1/21/16, 90.20 
1/22/16, 92.21 
1/25/16, 94.79 
1/26/16, 91.25 
1/27/16, 94.74 
1/28/16, 95.07 
1/29/16, 97.46 
2/1/16, 98.04 
2/2/16, 95.55 
2/3/16, 93.16 
2/4/16, 94.60 
2/5/16, 96.51 
2/9/16, 91.92 
2/10/16, 95.07 
2/11/16, 95.07 
2/12/16, 95.07 
2/15/16, 93.83 
2/16/16, 94.64 
2/17/16, 95.07 
2/18/16, 96.99 
2/19/16, 96.51 
2/22/16, 95.55 
2/23/16, 95.55 
2/24/16, 94.55 
2/26/16, 94.60 
2/29/16, 94.60 
3/1/16, 95.03 
3/2/16, 95.46 
3/3/16, 94.12 
3/4/16, 94.60 
3/7/16, 96.22 
3/8/16, 96.03 
3/9/16, 96.51 
3/10/16, 97.94 
3/11/16, 100.33 
3/14/16, 99.66 
3/15/16, 99.37 
3/16/16, 99.37 
3/17/16, 99.66 
3/18/16, 99.37 
3/21/16, 100.23 
3/22/16, 100.33 
3/23/16, 101.57 
3/28/16, 100.33 
3/29/16, 99.66 
3/30/16, 100.04 
3/31/16, 97.75 
4/1/16, 97.46 
4/4/16, 97.18 
4/5/16, 96.99 
4/6/16, 96.60 
4/7/16, 97.46 
4/8/16, 97.46 
4/11/16, 97.94 
4/12/16, 98.42 
4/13/16, 100.33 
4/14/16, 99.76 
4/15/16, 98.90 
4/18/16, 97.85 
4/19/16, 98.32 
4/20/16, 98.51 
4/21/16, 99.37 
