date,price
1/5/15, 92.39 
1/6/15, 91.71 
1/7/15, 90.93 
1/8/15, 89.66 
1/9/15, 90.25 
1/12/15, 90.44 
1/13/15, 91.12 
1/14/15, 90.93 
1/19/15, 91.41 
1/20/15, 89.71 
1/21/15, 90.15 
1/22/15, 91.17 
1/23/15, 92.39 
1/26/15, 94.82 
1/27/15, 94.53 
1/28/15, 94.72 
1/29/15, 94.82 
1/30/15, 96.28 
2/2/15, 95.21 
2/3/15, 95.26 
2/4/15, 95.50 
2/5/15, 95.45 
2/6/15, 95.45 
2/9/15, 95.30 
2/10/15, 94.87 
2/11/15, 95.30 
2/12/15, 96.28 
2/13/15, 96.03 
2/16/15, 96.32 
2/17/15, 96.57 
2/18/15, 96.23 
2/20/15, 96.08 
2/23/15, 96.37 
2/24/15, 96.03 
2/25/15, 95.26 
2/26/15, 94.33 
2/27/15, 93.80 
3/2/15, 96.23 
3/3/15, 96.23 
3/4/15, 96.86 
3/5/15, 96.81 
3/6/15, 97.25 
3/9/15, 97.73 
3/10/15, 98.12 
3/11/15, 96.57 
3/12/15, 97.73 
3/13/15, 97.25 
3/16/15, 96.76 
3/17/15, 98.22 
3/18/15, 97.73 
3/19/15, 98.22 
3/20/15, 97.73 
3/23/15, 98.32 
3/24/15, 98.71 
3/25/15, 98.90 
3/26/15, 98.22 
3/27/15, 98.51 
3/30/15, 98.90 
3/31/15, 97.73 
4/1/15, 99.58 
4/6/15, 99.49 
4/7/15, 99.19 
4/8/15, 99.68 
4/10/15, 103.08 
4/13/15, 102.11 
4/14/15, 102.50 
4/15/15, 101.33 
4/16/15, 103.08 
4/17/15, 103.08 
4/20/15, 104.06 
4/21/15, 102.31 
4/22/15, 100.56 
4/23/15, 101.14 
4/24/15, 101.92 
4/27/15, 100.94 
4/28/15, 100.07 
4/29/15, 101.14 
4/30/15, 98.51 
5/4/15, 100.17 
5/5/15, 100.07 
5/6/15, 99.19 
5/7/15, 97.83 
5/8/15, 98.22 
5/11/15, 98.71 
5/12/15, 98.32 
5/13/15, 97.44 
5/14/15, 97.64 
5/15/15, 97.25 
5/18/15, 97.20 
5/19/15, 98.03 
5/20/15, 98.03 
5/21/15, 98.90 
5/22/15, 98.71 
5/25/15, 98.61 
5/26/15, 98.22 
5/27/15, 97.25 
5/28/15, 96.28 
5/29/15, 95.30 
6/1/15, 99.39 
6/2/15, 97.25 
6/3/15, 98.61 
6/4/15, 96.13 
6/5/15, 96.28 
6/8/15, 95.79 
6/9/15, 93.80 
6/10/15, 93.80 
6/11/15, 94.09 
6/15/15, 95.01 
6/16/15, 95.74 
6/17/15, 95.60 
6/18/15, 95.94 
6/19/15, 96.03 
6/22/15, 95.11 
6/23/15, 94.57 
6/24/15, 95.01 
6/25/15, 93.41 
6/26/15, 93.36 
6/29/15, 92.19 
6/30/15, 91.90 
7/1/15, 91.71 
7/2/15, 91.41 
7/3/15, 91.66 
7/6/15, 90.39 
7/7/15, 89.47 
7/8/15, 89.47 
7/9/15, 89.08 
7/10/15, 91.90 
7/13/15, 91.41 
7/14/15, 91.90 
7/15/15, 91.95 
7/16/15, 92.39 
7/20/15, 93.21 
7/21/15, 91.90 
7/22/15, 91.90 
7/23/15, 93.60 
7/24/15, 93.89 
7/27/15, 91.41 
7/28/15, 91.51 
7/29/15, 93.36 
7/30/15, 93.65 
7/31/15, 92.39 
8/3/15, 93.02 
8/4/15, 92.97 
8/5/15, 93.31 
8/6/15, 90.39 
8/7/15, 89.57 
8/10/15, 90.25 
8/11/15, 89.86 
8/12/15, 89.13 
8/13/15, 89.96 
8/14/15, 90.44 
8/17/15, 88.59 
8/18/15, 88.50 
8/19/15, 88.74 
8/20/15, 87.48 
8/24/15, 83.00 
8/25/15, 83.00 
8/26/15, 82.76 
8/27/15, 83.15 
8/28/15, 82.27 
9/1/15, 82.18 
9/2/15, 82.18 
9/3/15, 82.66 
9/4/15, 83.49 
9/7/15, 82.76 
9/8/15, 81.69 
9/9/15, 83.59 
9/10/15, 81.88 
9/11/15, 81.20 
9/14/15, 82.66 
9/15/15, 81.98 
9/16/15, 80.86 
9/17/15, 80.77 
9/18/15, 81.83 
9/21/15, 81.15 
9/22/15, 81.15 
9/23/15, 80.72 
9/24/15, 80.23 
9/28/15, 77.85 
9/29/15, 79.74 
9/30/15, 78.09 
10/1/15, 77.99 
10/2/15, 78.09 
10/5/15, 79.55 
10/6/15, 81.40 
10/7/15, 81.40 
10/8/15, 81.30 
10/9/15, 81.20 
10/12/15, 81.69 
10/13/15, 80.33 
10/14/15, 78.38 
10/15/15, 80.72 
10/16/15, 80.62 
10/19/15, 80.52 
10/20/15, 80.62 
10/21/15, 80.67 
10/22/15, 80.47 
10/23/15, 81.98 
10/26/15, 82.90 
10/27/15, 83.24 
10/28/15, 83.73 
10/29/15, 82.86 
10/30/15, 82.27 
11/2/15, 82.27 
11/3/15, 81.20 
11/4/15, 80.52 
11/5/15, 81.98 
11/6/15, 82.47 
11/9/15, 82.66 
11/10/15, 82.27 
11/11/15, 82.03 
11/12/15, 83.05 
11/13/15, 81.79 
11/16/15, 81.01 
11/17/15, 82.66 
11/20/15, 84.36 
11/23/15, 83.68 
11/24/15, 83.63 
11/25/15, 83.63 
11/26/15, 83.54 
11/27/15, 81.20 
12/1/15, 81.69 
12/2/15, 82.18 
12/3/15, 81.93 
12/4/15, 80.57 
12/7/15, 79.70 
12/8/15, 79.35 
12/9/15, 80.52 
12/10/15, 80.47 
12/11/15, 80.08 
12/14/15, 80.72 
12/15/15, 79.74 
12/16/15, 80.72 
12/17/15, 81.69 
12/18/15, 80.67 
12/21/15, 81.20 
12/22/15, 83.39 
12/23/15, 83.05 
12/28/15, 81.54 
12/29/15, 81.54 
1/4/16, 80.91 
1/5/16, 80.77 
1/6/16, 79.74 
1/7/16, 79.45 
1/8/16, 79.74 
1/11/16, 79.01 
1/12/16, 80.81 
1/13/16, 82.56 
1/14/16, 82.22 
1/15/16, 82.90 
1/18/16, 82.71 
1/19/16, 82.18 
1/20/16, 82.22 
1/21/16, 81.79 
1/22/16, 83.44 
1/25/16, 84.12 
1/26/16, 82.47 
1/27/16, 84.12 
1/28/16, 84.31 
1/29/16, 85.24 
2/1/16, 86.07 
2/2/16, 86.84 
2/3/16, 87.04 
2/4/16, 87.52 
2/5/16, 87.52 
2/9/16, 87.48 
2/10/16, 85.97 
2/11/16, 87.52 
2/12/16, 87.43 
2/15/16, 87.18 
2/16/16, 87.52 
2/17/16, 87.48 
2/18/16, 88.11 
2/19/16, 87.91 
2/22/16, 85.19 
2/23/16, 85.38 
2/24/16, 82.90 
2/26/16, 81.88 
2/29/16, 81.45 
3/1/16, 81.64 
3/2/16, 80.77 
3/3/16, 81.69 
3/4/16, 81.40 
3/7/16, 81.54 
3/8/16, 81.45 
3/9/16, 81.49 
3/10/16, 82.56 
3/11/16, 83.83 
3/14/16, 82.37 
3/15/16, 83.63 
3/16/16, 84.41 
3/17/16, 87.48 
3/18/16, 87.52 
3/21/16, 87.52 
3/22/16, 88.89 
3/23/16, 88.89 
3/28/16, 88.89 
3/29/16, 87.82 
3/30/16, 87.67 
3/31/16, 84.61 
4/1/16, 86.21 
4/4/16, 87.52 
4/5/16, 88.40 
4/6/16, 87.23 
4/7/16, 87.86 
4/8/16, 87.28 
4/11/16, 87.28 
4/12/16, 87.48 
4/13/16, 87.52 
4/14/16, 87.28 
4/15/16, 87.52 
4/18/16, 87.33 
4/19/16, 86.41 
4/20/16, 86.26 
4/21/16, 87.33 
4/22/16, 87.52 
4/25/16, 88.50 
4/26/16, 87.38 
4/27/16, 88.30 
4/28/16, 88.20 
4/29/16, 88.01 
5/2/16, 88.45 
5/3/16, 88.45 
5/4/16, 88.01 
5/5/16, 87.82 
5/6/16, 88.45 
5/10/16, 90.44 
5/11/16, 92.09 
5/12/16, 90.44 
5/13/16, 90.44 
5/16/16, 90.44 
5/17/16, 90.44 
5/18/16, 91.41 
5/19/16, 90.44 
5/20/16, 89.66 
5/23/16, 89.57 
5/24/16, 88.89 
5/25/16, 91.41 
5/26/16, 91.90 
5/27/16, 92.39 
5/30/16, 92.29 
5/31/16, 89.71 
6/1/16, 90.93 
6/2/16, 91.12 
6/3/16, 91.41 
6/6/16, 93.36 
6/7/16, 95.01 
6/8/16, 93.55 
6/9/16, 92.00 
6/10/16, 92.39 
6/13/16, 94.82 
6/14/16, 94.23 
6/15/16, 93.94 
6/16/16, 94.33 
6/17/16, 94.53 
6/20/16, 94.43 
6/21/16, 94.53 
6/22/16, 94.57 
6/23/16, 94.62 
6/24/16, 94.38 
6/27/16, 95.26 
6/28/16, 94.33 
6/29/16, 95.06 
6/30/16, 94.62 
7/1/16, 96.28 
7/4/16, 96.47 
7/5/16, 96.42 
7/7/16, 95.74 
7/8/16, 96.28 
7/11/16, 96.08 
7/12/16, 95.69 
7/13/16, 96.28 
7/14/16, 96.08 
7/15/16, 96.28 
7/18/16, 96.18 
7/19/16, 96.28 
7/20/16, 96.76 
7/21/16, 96.23 
7/22/16, 93.46 
7/25/16, 95.01 
7/26/16, 95.01 
7/27/16, 95.01 
7/28/16, 95.89 
7/29/16, 93.36 
8/1/16, 95.79 
8/2/16, 96.86 
8/3/16, 96.91 
8/4/16, 99.19 
8/5/16, 98.51 
8/8/16, 99.19 
8/9/16, 101.04 
8/10/16, 101.04 
8/11/16, 100.17 
8/12/16, 100.46 
8/15/16, 100.46 
8/16/16, 101.62 
8/17/16, 101.24 
8/18/16, 101.82 
8/19/16, 102.11 
8/22/16, 102.11 
8/23/16, 103.08 
8/24/16, 102.11 
8/25/16, 102.01 
8/26/16, 102.21 
8/30/16, 100.94 
8/31/16, 102.60 
9/1/16, 103.08 
9/2/16, 103.08 
9/5/16, 102.21 
9/6/16, 103.08 
9/7/16, 102.99 
9/8/16, 102.11 
9/9/16, 102.01 
9/13/16, 101.33 
9/14/16, 100.75 
9/15/16, 104.93 
9/16/16, 102.89 
9/19/16, 100.94 
9/20/16, 101.24 
9/21/16, 102.21 
9/22/16, 102.99 
9/23/16, 102.60 
9/26/16, 102.11 
9/27/16, 101.62 
9/28/16, 102.11 
9/29/16, 102.11 
9/30/16, 102.11 
10/3/16, 102.21 
10/4/16, 102.40 
10/5/16, 102.50 
10/6/16, 102.50 
10/7/16, 100.46 
10/10/16, 101.14 
10/11/16, 101.53 
10/12/16, 101.04 
10/13/16, 99.68 
10/14/16, 100.36 
10/17/16, 99.68 
10/18/16, 100.17 
10/19/16, 101.04 
10/20/16, 101.24 
10/21/16, 101.24 
10/24/16, 100.56 
10/25/16, 100.65 
10/26/16, 99.87 
10/27/16, 99.19 
10/28/16, 98.32 
11/2/16, 95.89 
11/3/16, 94.62 
11/4/16, 94.87 
11/7/16, 93.60 
11/8/16, 94.48 
11/9/16, 93.85 
11/10/16, 93.99 
11/11/16, 93.46 
11/14/16, 91.80 
11/15/16, 91.75 
11/16/16, 91.66 
11/17/16, 92.78 
11/18/16, 93.07 
11/21/16, 91.41 
11/22/16, 90.44 
11/23/16, 91.41 
11/24/16, 89.37 
11/25/16, 88.01 
11/28/16, 88.01 
11/29/16, 87.52 
12/1/16, 90.44 
12/2/16, 89.03 
12/5/16, 87.52 
12/6/16, 87.52 
12/7/16, 88.93 
12/8/16, 89.47 
12/9/16, 88.89 
12/12/16, 84.61 
12/13/16, 85.58 
12/14/16, 86.55 
12/15/16, 87.04 
12/16/16, 87.13 
12/19/16, 83.54 
12/20/16, 84.61 
12/21/16, 85.87 
12/22/16, 85.82 
12/23/16, 85.00 
12/27/16, 85.53 
12/28/16, 86.45 
12/29/16, 86.36 
1/3/17, 86.07 
1/4/17, 87.52 
1/5/17, 89.47 
1/6/17, 89.47 
1/9/17, 89.08 
1/10/17, 89.86 
1/11/17, 89.71 
1/12/17, 89.66 
1/13/17, 89.27 
1/16/17, 88.69 
1/17/17, 86.55 
1/18/17, 86.55 
1/19/17, 87.48 
1/20/17, 87.52 
1/23/17, 88.50 
1/24/17, 88.50 
1/25/17, 88.98 
1/26/17, 89.66 
1/27/17, 89.76 
1/30/17, 89.57 
1/31/17, 87.13 
2/1/17, 87.52 
2/2/17, 88.50 
2/3/17, 88.01 
2/6/17, 89.32 
2/7/17, 88.98 
2/8/17, 88.40 
2/9/17, 89.76 
2/10/17, 90.44 
2/13/17, 91.41 
2/14/17, 91.71 
2/15/17, 90.05 
2/16/17, 92.19 
2/17/17, 92.39 
2/20/17, 92.53 
2/21/17, 92.39 
2/22/17, 91.61 
2/23/17, 93.36 
2/24/17, 92.39 
2/27/17, 92.97 
2/28/17, 91.41 
3/1/17, 91.95 
3/2/17, 93.55 
3/3/17, 94.14 
3/6/17, 95.30 
3/7/17, 96.76 
3/8/17, 96.81 
3/9/17, 96.28 
3/10/17, 94.82 
3/13/17, 94.91 
3/14/17, 94.91 
3/15/17, 96.18 
3/16/17, 96.23 
3/17/17, 99.58 
3/20/17, 97.25 
3/21/17, 97.25 
3/22/17, 97.25 
3/23/17, 97.25 
3/24/17, 96.91 
3/27/17, 96.96 
3/28/17, 99.19 
3/29/17, 97.93 
3/30/17, 98.22 
3/31/17, 98.42 
4/3/17, 100.65 
4/4/17, 102.60 
4/5/17, 104.06 
4/6/17, 102.99 
4/7/17, 102.40 
4/10/17, 102.40 
4/11/17, 101.92 
4/12/17, 102.11 
4/17/17, 102.21 
