date,price
10/26/20, 15.22 
10/27/20, 13.92 
10/28/20, 14.50 
10/29/20, 15.16 
10/30/20, 14.78 
11/3/20, 14.54 
11/4/20, 14.72 
11/5/20, 14.98 
11/6/20, 15.00 
11/9/20, 14.82 
11/10/20, 14.86 
11/11/20, 15.10 
11/13/20, 15.10 
11/16/20, 15.24 
11/17/20, 15.66 
11/18/20, 15.70 
11/19/20, 15.84 
11/20/20, 16.62 
11/23/20, 16.62 
11/24/20, 15.98 
11/25/20, 16.10 
11/26/20, 15.78 
11/27/20, 15.90 
12/1/20, 16.00 
12/2/20, 15.48 
12/3/20, 15.68 
12/4/20, 16.00 
12/7/20, 15.90 
12/9/20, 15.70 
12/10/20, 15.50 
12/11/20, 15.70 
12/14/20, 15.70 
12/15/20, 15.60 
12/16/20, 15.52 
12/17/20, 15.74 
12/18/20, 15.78 
12/21/20, 15.70 
12/22/20, 15.30 
12/23/20, 15.34 
12/28/20, 15.20 
12/29/20, 14.90 
1/4/21, 15.08 
1/5/21, 14.96 
1/6/21, 14.84 
1/7/21, 15.38 
1/8/21, 15.70 
1/11/21, 15.96 
1/12/21, 15.74 
1/13/21, 15.70 
1/14/21, 15.66 
1/15/21, 15.70 
1/18/21, 15.66 
1/19/21, 15.46 
1/20/21, 15.70 
1/21/21, 15.58 
1/22/21, 15.56 
1/25/21, 15.90 
1/26/21, 15.50 
1/27/21, 15.50 
1/28/21, 15.52 
1/29/21, 15.54 
2/1/21, 16.00 
2/2/21, 16.32 
2/3/21, 16.50 
2/4/21, 17.36 
2/5/21, 17.20 
2/8/21, 18.12 
2/9/21, 18.72 
2/10/21, 17.80 
2/11/21, 17.74 
2/15/21, 18.52 
2/16/21, 18.84 
2/17/21, 18.14 
2/18/21, 18.20 
2/19/21, 18.20 
2/22/21, 18.00 
2/23/21, 17.76 
2/24/21, 17.74 
2/26/21, 17.50 
3/1/21, 18.12 
3/2/21, 18.42 
3/3/21, 18.10 
3/4/21, 17.68 
3/5/21, 17.16 
3/8/21, 17.12 
3/9/21, 16.98 
3/10/21, 17.50 
3/11/21, 17.18 
3/12/21, 17.18 
3/15/21, 16.82 
3/16/21, 17.08 
3/17/21, 17.36 
3/18/21, 17.78 
3/19/21, 18.30 
3/22/21, 19.00 
3/23/21, 19.04 
3/24/21, 19.00 
3/25/21, 18.80 
3/26/21, 18.80 
3/29/21, 19.12 
3/30/21, 19.12 
3/31/21, 18.70 
4/5/21, 18.40 
4/6/21, 18.62 
4/7/21, 18.46 
4/8/21, 18.40 
4/12/21, 18.08 
4/13/21, 17.78 
4/14/21, 18.10 
4/15/21, 18.08 
4/16/21, 18.48 
4/19/21, 18.80 
4/20/21, 19.00 
4/21/21, 19.10 
4/22/21, 18.80 
4/23/21, 18.94 
4/26/21, 18.40 
4/27/21, 18.26 
4/28/21, 18.50 
4/29/21, 18.80 
4/30/21, 18.66 
5/3/21, 19.10 
5/4/21, 19.00 
5/5/21, 19.16 
5/6/21, 19.14 
5/7/21, 19.00 
5/11/21, 18.90 
5/12/21, 18.96 
5/14/21, 18.50 
5/17/21, 18.78 
5/18/21, 19.30 
5/19/21, 19.50 
5/20/21, 19.96 
5/21/21, 20.40 
5/24/21, 19.90 
5/25/21, 19.50 
5/26/21, 19.44 
5/27/21, 19.80 
5/28/21, 20.00 
5/31/21, 19.40 
6/1/21, 19.70 
6/2/21, 19.94 
6/3/21, 19.76 
6/4/21, 20.35 
6/7/21, 20.20 
6/8/21, 19.86 
6/9/21, 20.20 
6/10/21, 20.15 
6/11/21, 21.45 
6/14/21, 21.60 
6/15/21, 22.00 
6/16/21, 22.65 
6/17/21, 23.05 
6/18/21, 22.25 
6/21/21, 21.75 
6/22/21, 22.00 
6/23/21, 22.60 
6/24/21, 22.60 
6/25/21, 21.70 
6/28/21, 22.20 
6/29/21, 22.70 
6/30/21, 22.70 
7/1/21, 22.30 
7/2/21, 22.35 
7/5/21, 22.55 
7/6/21, 22.75 
7/7/21, 22.40 
7/8/21, 22.60 
7/9/21, 22.70 
7/12/21, 23.35 
7/13/21, 23.60 
7/14/21, 23.90 
7/15/21, 23.40 
7/16/21, 22.90 
7/19/21, 23.50 
7/21/21, 23.60 
7/22/21, 23.15 
7/23/21, 23.00 
7/26/21, 23.00 
7/27/21, 23.40 
7/28/21, 23.20 
7/29/21, 22.90 
7/30/21, 22.80 
8/2/21, 23.10 
8/3/21, 23.20 
8/4/21, 23.90 
8/5/21, 23.90 
8/6/21, 26.65 
8/9/21, 27.15 
8/10/21, 26.85 
8/11/21, 27.35 
8/12/21, 26.85 
8/13/21, 27.35 
8/16/21, 27.00 
8/17/21, 27.30 
8/18/21, 27.20 
8/19/21, 27.95 
8/20/21, 29.40 
8/23/21, 30.45 
8/24/21, 30.00 
8/25/21, 29.70 
8/26/21, 31.00 
8/27/21, 31.30 
8/31/21, 31.00 
9/1/21, 32.00 
9/2/21, 32.00 
9/3/21, 31.90 
9/6/21, 31.50 
9/7/21, 32.00 
9/8/21, 31.75 
9/9/21, 31.80 
9/10/21, 32.30 
9/13/21, 33.35 
9/14/21, 34.50 
9/15/21, 35.00 
9/16/21, 35.50 
9/17/21, 34.50 
9/20/21, 34.45 
9/21/21, 35.00 
9/22/21, 34.95 
9/23/21, 35.00 
9/24/21, 36.50 
9/27/21, 37.50 
9/28/21, 37.15 
9/29/21, 38.00 
9/30/21, 40.00 
10/1/21, 39.95 
10/4/21, 40.00 
10/5/21, 42.00 
10/6/21, 44.00 
10/7/21, 37.50 
10/8/21, 33.60 
10/11/21, 36.00 
10/12/21, 34.95 
10/13/21, 32.10 
10/14/21, 32.15 
10/15/21, 31.80 
10/18/21, 28.00 
10/19/21, 31.00 
10/20/21, 32.85 
10/21/21, 31.00 
10/22/21, 30.90 
10/25/21, 32.10 
10/26/21, 31.95 
10/27/21, 32.95 
10/28/21, 32.85 
10/29/21, 31.80 
11/2/21, 31.10 
11/3/21, 31.55 
11/4/21, 33.00 
11/5/21, 33.20 
11/8/21, 35.20 
11/9/21, 34.90 
11/10/21, 33.90 
11/11/21, 35.00 
11/12/21, 35.50 
11/15/21, 35.95 
11/16/21, 35.70 
11/17/21, 34.00 
11/18/21, 32.30 
11/19/21, 31.25 
11/22/21, 30.80 
11/23/21, 32.00 
11/24/21, 31.50 
11/25/21, 30.35 
11/26/21, 30.15 
11/29/21, 32.00 
12/1/21, 31.00 
12/2/21, 30.80 
12/3/21, 31.50 
12/6/21, 32.50 
12/7/21, 31.85 
12/9/21, 32.20 
12/10/21, 32.90 
12/13/21, 31.25 
12/14/21, 31.80 
12/15/21, 30.75 
12/16/21, 30.90 
12/17/21, 32.00 
12/20/21, 31.90 
12/21/21, 32.00 
12/22/21, 32.60 
12/23/21, 32.90 
12/24/21, 33.00 
12/27/21, 32.90 
12/28/21, 32.10 
12/29/21, 32.10 
12/31/21, 31.90 
1/3/22, 31.15 
1/4/22,#N/A
1/5/22, 31.40 
1/6/22, 31.20 
1/7/22, 31.15 
1/10/22, 32.00 
1/11/22, 30.50 
1/12/22, 31.05 
1/13/22, 31.40 
1/14/22, 31.25 
1/17/22, 31.15 
1/18/22, 31.30 
1/19/22, 31.75 
1/20/22, 31.30 
1/21/22, 31.00 
1/24/22, 30.60 
1/25/22, 31.00 
1/26/22, 31.45 
1/27/22, 31.45 
1/28/22, 30.45 
1/31/22, 30.65 
2/2/22, 30.50 
2/3/22, 29.60 
2/4/22, 28.00 
2/7/22, 28.55 
2/8/22, 28.55 
2/9/22, 29.00 
2/10/22, 28.25 
2/11/22, 28.95 
2/14/22, 27.10 
2/15/22, 25.50 
2/16/22, 27.55 
2/17/22, 28.50 
2/18/22, 27.80 
2/21/22, 26.90 
2/22/22, 26.90 
2/23/22, 28.30 
2/24/22, 26.95 
2/28/22, 26.00 
3/1/22, 26.60 
3/2/22, 25.90 
3/3/22, 26.75 
3/4/22, 26.05 
3/7/22, 25.50 
3/8/22, 24.95 
3/9/22, 24.00 
3/10/22, 24.00 
3/11/22, 24.35 
3/14/22, 22.65 
3/15/22, 22.00 
3/16/22, 23.70 
3/17/22, 25.95 
3/18/22, 25.20 
3/21/22, 25.90 
3/22/22, 25.30 
3/23/22, 26.80 
3/24/22, 27.80 
3/25/22, 28.50 
3/28/22, 28.50 
3/29/22, 29.20 
3/30/22, 29.80 
3/31/22, 30.20 
4/1/22, 30.00 
4/4/22, 28.95 
4/5/22, 29.30 
4/6/22, 29.00 
4/7/22, 27.85 
4/8/22, 28.65 
4/11/22, 29.20 
4/12/22, 29.00 
4/13/22, 29.95 
4/18/22, 30.15 
4/19/22, 30.60 
4/20/22, 30.00 
4/21/22, 30.55 
4/22/22, 29.80 
4/25/22, 29.60 
4/26/22, 29.40 
4/27/22, 29.70 
4/28/22, 28.55 
4/29/22, 28.80 
5/2/22, 27.30 
5/4/22, 28.20 
5/5/22, 30.00 
5/6/22, 29.15 
5/10/22, 27.60 
5/11/22, 27.30 
5/12/22, 26.50 
5/13/22, 27.75 
5/16/22, 27.80 
5/17/22, 27.85 
5/18/22, 28.00 
5/19/22, 28.00 
5/20/22, 28.05 
5/23/22, 26.30 
5/24/22, 25.80 
5/25/22, 25.50 
5/26/22, 26.05 
5/27/22, 26.50 
5/30/22, 26.05 
5/31/22, 26.50 
6/1/22, 26.05 
6/2/22, 25.60 
6/3/22, 25.20 
6/6/22, 23.85 
6/7/22, 24.20 
6/8/22, 24.15 
6/9/22, 24.00 
6/10/22, 23.30 
6/13/22, 22.50 
6/14/22, 22.15 
6/15/22, 21.35 
6/16/22, 21.00 
6/17/22, 20.15 
6/20/22, 19.30 
6/21/22, 19.32 
6/22/22, 19.30 
6/23/22, 18.70 
6/24/22, 18.50 
6/27/22, 19.58 
6/28/22, 21.70 
6/29/22, 21.80 
6/30/22, 21.15 
7/1/22, 20.95 
7/4/22, 22.00 
7/5/22, 20.90 
7/6/22, 20.95 
7/7/22, 21.20 
7/8/22, 21.80 
7/11/22, 21.40 
7/12/22, 21.55 
7/13/22, 21.85 
7/14/22, 21.25 
7/15/22, 20.25 
7/18/22, 20.25 
7/19/22, 20.25 
7/20/22, 20.85 
7/21/22, 20.80 
7/22/22, 20.50 
7/25/22, 20.00 
7/26/22, 19.92 
7/27/22, 19.88 
7/28/22, 19.70 
7/29/22, 19.00 
8/1/22, 18.92 
8/2/22, 20.05 
8/3/22, 20.05 
8/4/22, 19.94 
8/5/22, 20.00 
8/8/22, 20.00 
8/9/22, 20.05 
8/10/22, 20.30 
8/11/22, 20.95 
8/12/22, 19.18 
8/15/22, 18.50 
8/16/22, 19.40 
8/17/22, 19.66 
8/18/22, 19.70 
8/19/22, 19.54 
8/22/22, 19.20 
8/23/22, 18.80 
8/24/22, 18.70 
8/25/22, 18.64 
8/26/22, 18.60 
8/30/22, 17.96 
8/31/22, 17.40 
9/1/22, 17.52 
9/2/22, 17.88 
9/5/22, 17.80 
9/6/22, 17.62 
9/7/22, 17.30 
9/8/22, 17.20 
9/9/22, 17.10 
9/12/22, 17.20 
9/13/22, 17.06 
9/14/22, 16.90 
9/15/22, 17.18 
9/16/22, 17.30 
9/19/22, 16.86 
9/20/22, 17.26 
9/21/22, 16.82 
9/22/22, 14.92 
9/23/22, 15.14 
9/26/22, 15.14 
9/27/22, 15.00 
9/28/22, 14.90 
9/29/22, 14.16 
9/30/22, 13.10 
10/3/22, 13.32 
10/4/22, 13.04 
10/5/22, 12.00 
10/6/22, 12.40 
10/7/22, 13.00 
10/10/22, 12.20 
10/11/22, 12.44 
10/12/22, 12.48 
10/13/22, 12.52 
10/14/22, 12.50 
10/17/22, 12.80 
10/18/22, 12.60 
10/19/22, 12.50 
10/20/22, 12.50 
10/21/22, 12.38 
10/24/22, 12.48 
10/25/22, 12.48 
10/26/22, 12.66 
10/27/22, 12.70 
10/28/22, 12.32 
11/2/22, 12.32 
11/3/22, 12.30 
11/4/22, 12.02 
11/7/22, 11.90 
11/8/22, 11.38 
11/9/22, 11.10 
11/10/22, 12.00 
11/11/22, 12.50 
11/14/22, 12.80 
11/15/22, 13.94 
11/16/22, 15.08 
11/17/22, 15.00 
11/18/22, 15.00 
11/21/22, 15.30 
11/22/22, 14.70 
11/23/22, 15.00 
11/24/22, 16.00 
11/25/22, 16.30 
11/28/22, 16.10 
11/29/22, 15.46 
12/1/22, 16.00 
12/2/22, 15.30 
12/5/22, 15.94 
12/6/22, 16.00 
12/7/22, 16.00 
12/9/22, 16.00 
12/12/22, 15.20 
12/13/22, 14.10 
12/14/22, 14.60 
12/15/22, 14.28 
12/16/22, 13.74 
12/19/22, 12.36 
12/20/22, 12.70 
12/21/22, 13.48 
12/22/22, 14.00 
12/23/22, 13.92 
12/27/22, 14.70 
12/28/22, 15.66 
12/29/22, 15.88 
1/3/23, 15.46 
1/4/23, 16.80 
1/5/23, 17.40 
1/6/23, 17.50 
1/9/23, 18.00 
1/10/23, 18.00 
1/11/23, 18.20 
1/12/23, 18.50 
1/13/23, 19.20 
1/16/23, 17.68 
1/17/23, 17.42 
1/18/23, 19.00 
1/19/23, 19.02 
1/20/23, 18.84 
1/23/23, 19.38 
1/24/23, 19.00 
1/25/23, 18.86 
1/26/23, 18.58 
1/27/23, 18.36 
1/30/23, 17.20 
1/31/23, 17.48 
2/1/23, 18.16 
2/2/23, 18.26 
2/3/23, 17.90 
2/6/23, 18.00 
2/7/23, 17.60 
2/8/23, 17.60 
2/9/23, 17.12 
2/10/23, 16.86 
2/13/23, 16.88 
2/14/23, 16.62 
2/15/23, 16.24 
2/16/23, 16.04 
2/17/23, 16.06 
2/20/23, 16.20 
2/21/23, 16.02 
2/22/23, 16.28 
2/23/23, 16.44 
2/24/23, 16.44 
2/27/23, 15.62 
2/28/23, 16.26 
3/1/23, 15.60 
3/2/23, 15.36 
3/3/23, 15.46 
3/6/23, 15.62 
3/7/23, 16.00 
3/8/23, 15.90 
3/9/23, 15.72 
3/10/23, 15.50 
3/13/23, 15.04 
3/14/23, 14.70 
3/15/23, 15.00 
3/16/23, 14.12 
3/17/23, 14.00 
3/20/23, 13.56 
3/21/23, 13.76 
3/22/23, 13.70 
3/23/23, 13.56 
3/24/23, 13.68 
3/27/23, 13.36 
3/28/23, 13.40 
3/29/23, 13.26 
3/30/23, 13.10 
3/31/23, 12.80 
4/3/23, 12.58 
4/4/23, 12.66 
4/5/23, 12.76 
4/11/23, 12.54 
4/12/23, 12.38 
4/13/23, 12.22 
4/14/23, 12.32 
4/17/23, 12.48 
4/18/23, 12.64 
4/19/23, 12.60 
4/20/23, 12.40 
4/24/23, 12.38 
4/25/23, 11.90 
