date,price
1/5/15, 10.40 
1/6/15, 10.20 
1/7/15, 10.20 
1/8/15, 10.14 
1/9/15, 10.04 
1/12/15, 9.98 
1/13/15, 9.85 
1/14/15, 9.86 
1/19/15, 10.32 
1/20/15, 10.40 
1/21/15, 10.34 
1/22/15, 10.52 
1/23/15, 10.60 
1/26/15, 10.36 
1/27/15, 10.04 
1/28/15, 10.30 
1/29/15, 9.91 
1/30/15, 10.00 
2/2/15, 10.12 
2/3/15, 10.08 
2/4/15, 10.06 
2/5/15, 10.34 
2/6/15, 10.40 
2/9/15, 10.42 
2/10/15, 10.50 
2/11/15, 10.40 
2/12/15, 10.40 
2/13/15, 10.40 
2/16/15, 10.62 
2/17/15, 10.80 
2/18/15, 11.26 
2/20/15, 11.08 
2/23/15, 10.84 
2/24/15, 10.84 
2/25/15, 10.92 
2/26/15, 10.80 
2/27/15, 10.84 
3/2/15, 10.84 
3/3/15, 10.84 
3/4/15, 10.84 
3/5/15, 11.20 
3/6/15, 11.18 
3/9/15, 11.16 
3/10/15, 11.16 
3/11/15, 11.12 
3/12/15, 11.50 
3/13/15, 11.68 
3/16/15, 11.40 
3/17/15, 11.48 
3/18/15, 11.50 
3/19/15, 11.40 
3/20/15, 11.38 
3/23/15, 11.44 
3/24/15, 11.36 
3/25/15, 11.46 
3/26/15, 11.48 
3/27/15, 11.36 
3/30/15, 11.50 
3/31/15, 11.90 
4/1/15, 11.50 
4/6/15, 11.62 
4/7/15, 11.60 
4/8/15, 11.42 
4/10/15, 11.48 
4/13/15, 11.58 
4/14/15, 11.46 
4/15/15, 11.48 
4/16/15, 11.50 
4/17/15, 11.48 
4/20/15, 11.48 
4/21/15, 11.40 
4/22/15, 11.38 
4/23/15, 11.44 
4/24/15, 11.44 
4/27/15, 11.44 
4/28/15, 11.56 
4/29/15, 11.44 
4/30/15, 11.58 
5/4/15, 11.50 
5/5/15, 11.48 
5/6/15, 11.48 
5/7/15, 11.46 
5/8/15, 11.42 
5/11/15, 11.40 
5/12/15, 11.42 
5/13/15, 11.42 
5/14/15, 11.42 
5/15/15, 11.38 
5/18/15, 11.40 
5/19/15, 11.38 
5/20/15, 11.08 
5/21/15, 10.50 
5/22/15, 10.08 
5/25/15, 9.98 
5/26/15, 9.98 
5/27/15, 9.95 
5/28/15, 9.98 
5/29/15, 9.99 
6/1/15, 10.04 
6/2/15, 10.02 
6/3/15, 10.00 
6/4/15, 10.20 
6/5/15, 10.06 
6/8/15, 10.08 
6/9/15, 9.35 
6/10/15, 9.36 
6/11/15, 9.35 
6/15/15, 9.27 
6/16/15, 9.19 
6/17/15, 9.06 
6/18/15, 9.13 
6/19/15, 9.05 
6/22/15, 9.12 
6/23/15, 9.14 
6/24/15, 9.20 
6/25/15, 9.01 
6/26/15, 9.03 
6/29/15, 8.99 
