date,price
1/5/15," 1,058.75 "
1/6/15," 1,044.31 "
1/7/15," 1,040.46 "
1/8/15," 1,041.42 "
1/9/15," 1,068.37 "
1/12/15," 1,057.78 "
1/13/15," 1,055.86 "
1/14/15," 1,062.60 "
1/19/15," 1,087.62 "
1/20/15," 1,105.91 "
1/21/15," 1,122.27 "
1/22/15," 1,125.16 "
1/23/15," 1,129.01 "
1/26/15," 1,131.89 "
1/27/15," 1,143.44 "
1/28/15," 1,147.29 "
1/29/15," 1,164.62 "
1/30/15," 1,164.62 "
2/2/15," 1,135.74 "
2/3/15," 1,154.99 "
2/4/15," 1,164.62 "
2/5/15," 1,135.74 "
2/6/15," 1,130.93 "
2/9/15," 1,142.48 "
2/10/15," 1,154.99 "
2/11/15," 1,159.81 "
2/12/15," 1,153.07 "
2/13/15," 1,159.81 "
2/16/15," 1,154.99 "
2/17/15," 1,150.18 "
2/18/15," 1,146.33 "
2/20/15," 1,159.81 "
2/23/15," 1,154.99 "
2/24/15," 1,153.07 "
2/25/15," 1,153.07 "
2/26/15," 1,149.22 "
2/27/15," 1,135.74 "
3/2/15," 1,167.51 "
3/3/15," 1,211.78 "
3/4/15," 1,229.11 "
3/5/15," 1,224.29 "
3/6/15," 1,243.54 "
3/9/15," 1,227.18 "
3/10/15," 1,223.33 "
3/11/15," 1,212.74 "
3/12/15," 1,256.06 "
3/13/15," 1,280.12 "
3/16/15," 1,281.08 "
3/17/15," 1,266.64 "
3/18/15," 1,270.49 "
3/19/15," 1,275.31 "
3/20/15," 1,258.94 "
3/23/15," 1,253.17 "
3/24/15," 1,247.39 "
3/25/15," 1,270.49 "
3/26/15," 1,281.08 "
3/27/15," 1,271.46 "
3/30/15," 1,274.34 "
3/31/15," 1,287.82 "
4/1/15," 1,328.24 "
4/6/15," 1,328.24 "
4/7/15," 1,295.52 "
4/8/15," 1,293.59 "
4/10/15," 1,285.89 "
4/13/15," 1,293.59 "
4/14/15," 1,318.62 "
4/15/15," 1,295.52 "
4/16/15," 1,280.12 "
4/17/15," 1,247.39 "
4/20/15," 1,196.38 "
4/21/15," 1,183.87 "
4/22/15," 1,231.99 "
4/23/15," 1,299.37 "
4/24/15," 1,287.82 "
4/27/15," 1,289.74 "
4/28/15," 1,247.39 "
4/29/15," 1,236.81 "
4/30/15," 1,208.89 "
5/4/15," 1,225.26 "
5/5/15," 1,265.68 "
5/6/15," 1,270.49 "
5/7/15," 1,246.43 "
5/8/15," 1,244.51 "
5/11/15," 1,251.24 "
5/12/15," 1,254.13 "
5/13/15," 1,337.87 "
5/14/15," 1,350.38 "
5/15/15," 1,357.12 "
5/18/15," 1,377.33 "
5/19/15," 1,376.37 "
5/20/15," 1,391.77 "
5/21/15," 1,389.84 "
5/22/15," 1,374.44 "
5/25/15," 1,372.52 "
5/26/15," 1,373.48 "
5/27/15," 1,347.49 "
5/28/15," 1,333.06 "
5/29/15," 1,343.64 "
6/1/15," 1,328.24 "
6/2/15," 1,308.99 "
6/3/15," 1,280.12 "
6/4/15," 1,301.29 "
6/5/15," 1,333.06 "
6/8/15," 1,302.26 "
6/9/15," 1,251.24 "
6/10/15," 1,252.21 "
6/11/15," 1,300.33 "
6/15/15," 1,304.18 "
6/16/15," 1,321.51 "
6/17/15," 1,314.77 "
6/18/15," 1,315.73 "
6/19/15," 1,337.87 "
6/22/15," 1,328.24 "
6/23/15," 1,332.09 "
6/24/15," 1,331.13 "
6/25/15," 1,320.54 "
6/26/15," 1,319.58 "
6/29/15," 1,312.84 "
6/30/15," 1,314.77 "
7/1/15," 1,332.09 "
7/2/15," 1,308.03 "
7/3/15," 1,294.56 "
7/6/15," 1,292.63 "
7/7/15," 1,288.78 "
7/8/15," 1,283.97 "
7/9/15," 1,265.68 "
7/10/15," 1,265.68 "
7/13/15," 1,312.84 "
7/14/15," 1,313.81 "
7/15/15," 1,318.62 "
7/16/15," 1,328.24 "
7/20/15," 1,323.43 "
7/21/15," 1,328.24 "
7/22/15," 1,360.97 "
7/23/15," 1,353.27 "
7/24/15," 1,357.12 "
7/27/15," 1,347.49 "
7/28/15," 1,329.21 "
7/29/15," 1,337.87 "
7/30/15," 1,333.06 "
7/31/15," 1,347.49 "
8/3/15," 1,351.34 "
8/4/15," 1,357.12 "
8/5/15," 1,375.41 "
8/6/15," 1,376.37 "
8/7/15," 1,335.94 "
8/10/15," 1,334.98 "
8/11/15," 1,318.62 "
8/12/15," 1,301.29 "
8/13/15," 1,268.57 "
8/14/15," 1,262.79 "
8/17/15," 1,260.87 "
8/18/15," 1,245.47 "
8/19/15," 1,241.62 "
8/20/15," 1,216.59 "
8/24/15," 1,093.40 "
8/25/15," 1,135.74 "
8/26/15," 1,145.37 "
8/27/15," 1,183.87 "
8/28/15," 1,222.37 "
9/1/15," 1,222.37 "
9/2/15," 1,203.12 "
9/3/15," 1,212.74 "
9/4/15," 1,210.82 "
9/7/15," 1,190.61 "
9/8/15," 1,191.57 "
9/9/15," 1,202.16 "
9/10/15," 1,207.93 "
9/11/15," 1,209.86 "
9/14/15," 1,209.86 "
9/15/15," 1,220.44 "
9/16/15," 1,225.26 "
9/17/15," 1,239.69 "
9/18/15," 1,251.24 "
9/21/15," 1,222.37 "
9/22/15," 1,208.89 "
9/23/15," 1,179.06 "
9/24/15," 1,188.68 "
9/28/15," 1,212.74 "
9/29/15," 1,202.16 "
9/30/15," 1,217.56 "
10/1/15," 1,251.24 "
10/2/15," 1,249.32 "
10/5/15," 1,280.12 "
10/6/15," 1,298.41 "
10/7/15," 1,291.67 "
10/8/15," 1,308.03 "
10/9/15," 1,319.58 "
10/12/15," 1,299.37 "
10/13/15," 1,280.12 "
10/14/15," 1,286.86 "
10/15/15," 1,270.49 "
10/16/15," 1,247.39 "
10/19/15," 1,245.47 "
10/20/15," 1,275.31 "
10/21/15," 1,275.31 "
10/22/15," 1,271.46 "
10/23/15," 1,272.42 "
10/26/15," 1,308.99 "
10/27/15," 1,323.43 "
10/28/15," 1,305.14 "
10/29/15," 1,293.59 "
10/30/15," 1,264.72 "
11/2/15," 1,289.74 "
11/3/15," 1,299.37 "
11/4/15," 1,308.03 "
11/5/15," 1,310.92 "
11/6/15," 1,308.99 "
11/9/15," 1,275.31 "
11/10/15," 1,280.12 "
11/11/15," 1,273.38 "
11/12/15," 1,273.38 "
11/13/15," 1,276.27 "
11/16/15," 1,249.32 "
11/17/15," 1,236.81 "
11/20/15," 1,237.77 "
11/23/15," 1,242.58 "
11/24/15," 1,239.69 "
11/25/15," 1,246.43 "
11/26/15," 1,241.62 "
11/27/15," 1,217.56 "
12/1/15," 1,241.62 "
12/2/15," 1,241.62 "
12/3/15," 1,236.81 "
12/4/15," 1,217.56 "
12/7/15," 1,220.44 "
12/8/15," 1,199.27 "
12/9/15," 1,174.24 "
12/10/15," 1,178.09 "
12/11/15," 1,177.13 "
12/14/15," 1,250.28 "
12/15/15," 1,204.08 "
12/16/15," 1,210.82 "
12/17/15," 1,213.71 "
12/18/15," 1,214.67 "
12/21/15," 1,236.81 "
12/22/15," 1,280.12 "
12/23/15," 1,294.56 "
12/28/15," 1,308.03 "
12/29/15," 1,270.49 "
1/4/16," 1,270.49 "
1/5/16," 1,291.67 "
1/6/16," 1,299.37 "
1/7/16," 1,299.37 "
1/8/16," 1,289.74 "
1/11/16," 1,243.54 "
1/12/16," 1,238.73 "
1/13/16," 1,250.28 "
1/14/16," 1,241.62 "
1/15/16," 1,251.24 "
1/18/16," 1,237.77 "
1/19/16," 1,237.77 "
1/20/16," 1,217.56 "
1/21/16," 1,188.68 "
1/22/16," 1,179.06 "
1/25/16," 1,186.76 "
1/26/16," 1,189.64 "
1/27/16," 1,201.19 "
1/28/16," 1,203.12 "
1/29/16," 1,241.62 "
2/1/16," 1,250.28 "
2/2/16," 1,212.74 "
2/3/16," 1,196.38 "
2/4/16," 1,203.12 "
2/5/16," 1,225.26 "
2/9/16," 1,203.12 "
2/10/16," 1,196.38 "
2/11/16," 1,187.72 "
2/12/16," 1,193.49 "
