date,price
1/5/15, 68.96 
1/6/15, 68.96 
1/7/15, 69.46 
1/8/15, 69.96 
1/9/15, 69.91 
1/12/15, 67.46 
1/13/15, 67.96 
1/14/15, 69.96 
1/19/15, 70.16 
1/20/15, 70.01 
1/21/15, 69.86 
1/22/15, 62.06 
1/23/15, 63.71 
1/26/15, 64.01 
1/27/15, 63.86 
1/28/15, 63.96 
1/29/15, 63.91 
1/30/15, 65.46 
2/2/15, 64.91 
2/3/15, 64.56 
2/4/15, 64.56 
2/5/15, 64.56 
2/6/15, 64.76 
2/9/15, 65.96 
2/10/15, 64.96 
2/11/15, 65.76 
2/12/15, 64.91 
2/13/15, 66.56 
2/16/15, 66.71 
2/17/15, 66.91 
2/18/15, 67.51 
2/20/15, 67.76 
2/23/15, 67.81 
2/24/15, 67.51 
2/25/15, 67.01 
2/26/15, 65.91 
2/27/15, 66.96 
3/2/15, 66.96 
3/3/15, 66.86 
3/4/15, 67.16 
3/5/15, 66.01 
3/6/15, 67.06 
3/9/15, 65.96 
3/10/15, 65.91 
3/11/15, 64.96 
3/12/15, 65.91 
3/13/15, 64.96 
3/16/15, 65.36 
3/17/15, 66.46 
3/18/15, 67.91 
3/19/15, 69.51 
3/20/15, 70.21 
3/23/15, 71.55 
3/24/15, 69.96 
3/25/15, 69.31 
3/26/15, 71.65 
3/27/15, 71.25 
3/30/15, 71.85 
3/31/15, 72.45 
4/1/15, 72.45 
4/6/15, 73.70 
4/7/15, 74.45 
4/8/15, 74.65 
4/10/15, 74.25 
4/13/15, 73.15 
4/14/15, 74.80 
4/15/15, 70.96 
4/16/15, 71.35 
4/17/15, 72.60 
4/20/15, 71.95 
4/21/15, 71.85 
4/22/15, 71.06 
4/23/15, 71.50 
4/24/15, 72.60 
4/27/15, 72.35 
4/28/15, 72.25 
4/29/15, 71.90 
4/30/15, 71.45 
5/4/15, 72.45 
5/5/15, 73.95 
5/6/15, 73.50 
5/7/15, 72.25 
5/8/15, 70.71 
5/11/15, 70.91 
5/12/15, 72.45 
5/13/15, 72.55 
5/14/15, 71.70 
5/15/15, 71.95 
5/18/15, 72.85 
5/19/15, 72.80 
5/20/15, 72.45 
5/21/15, 73.15 
5/22/15, 72.95 
5/25/15, 72.45 
5/26/15, 71.45 
5/27/15, 70.01 
5/28/15, 66.86 
5/29/15, 68.46 
6/1/15, 68.96 
6/2/15, 67.56 
6/3/15, 66.96 
6/4/15, 67.46 
6/5/15, 67.76 
6/8/15, 67.76 
6/9/15, 64.96 
6/10/15, 64.96 
