date,price
1/5/15, 12.30 
1/6/15, 12.44 
1/7/15, 12.84 
1/8/15, 12.84 
1/9/15, 12.94 
1/12/15, 12.92 
1/13/15, 13.34 
1/14/15, 13.74 
1/19/15, 13.70 
1/20/15, 13.24 
1/21/15, 13.36 
1/22/15, 13.30 
1/23/15, 13.93 
1/26/15, 14.21 
1/27/15, 13.89 
1/28/15, 14.03 
1/29/15, 13.56 
1/30/15, 13.56 
2/2/15, 13.87 
2/3/15, 13.93 
2/4/15, 15.29 
2/5/15, 15.73 
2/6/15, 15.33 
2/9/15, 16.12 
2/10/15, 15.79 
2/11/15, 15.43 
2/12/15, 15.05 
2/13/15, 15.07 
2/16/15, 15.13 
2/17/15, 15.17 
2/18/15, 15.43 
2/20/15, 15.29 
2/23/15, 15.21 
2/24/15, 15.11 
2/25/15, 15.09 
2/26/15, 15.11 
2/27/15, 15.05 
3/2/15, 15.03 
3/3/15, 15.11 
3/4/15, 15.85 
3/5/15, 16.02 
3/6/15, 16.02 
3/9/15, 16.06 
3/10/15, 15.93 
3/11/15, 15.94 
3/12/15, 16.02 
3/13/15, 15.93 
3/16/15, 15.81 
3/17/15, 15.85 
3/18/15, 15.85 
3/19/15, 15.75 
3/20/15, 15.93 
3/23/15, 15.67 
3/24/15, 15.65 
3/25/15, 16.36 
3/26/15, 16.30 
3/27/15, 16.46 
3/30/15, 16.22 
3/31/15, 16.22 
4/1/15, 16.24 
4/6/15, 16.30 
4/7/15, 16.76 
4/8/15, 16.70 
4/10/15, 16.60 
4/13/15, 16.46 
4/14/15, 16.52 
4/15/15, 16.10 
4/16/15, 15.79 
4/17/15, 16.00 
4/20/15, 15.63 
4/21/15, 14.91 
4/22/15, 14.89 
4/23/15, 15.21 
4/24/15, 15.21 
4/27/15, 15.25 
4/28/15, 15.19 
4/29/15, 15.11 
4/30/15, 14.83 
5/4/15, 14.57 
5/5/15, 14.93 
5/6/15, 15.47 
5/7/15, 15.47 
5/8/15, 15.43 
5/11/15, 14.97 
5/12/15, 15.19 
5/13/15, 15.11 
5/14/15, 15.19 
5/15/15, 15.43 
5/18/15, 14.99 
5/19/15, 14.67 
5/20/15, 14.41 
5/21/15, 14.37 
5/22/15, 14.31 
5/25/15, 14.13 
5/26/15, 13.66 
5/27/15, 13.62 
5/28/15, 13.58 
5/29/15, 13.89 
6/1/15, 13.83 
6/2/15, 13.78 
6/3/15, 13.72 
6/4/15, 13.58 
6/5/15, 13.48 
6/8/15, 13.48 
6/9/15, 13.22 
6/10/15, 13.24 
6/11/15, 13.24 
6/15/15, 13.52 
6/16/15, 13.40 
6/17/15, 13.62 
6/18/15, 13.80 
6/19/15, 13.85 
6/22/15, 14.27 
6/23/15, 14.29 
6/24/15, 14.29 
6/25/15, 14.21 
6/26/15, 13.44 
6/29/15, 13.91 
6/30/15, 13.85 
7/1/15, 13.74 
7/2/15, 13.58 
7/3/15, 13.56 
7/6/15, 13.10 
7/7/15, 12.94 
7/8/15, 12.58 
7/9/15, 12.74 
7/10/15, 12.58 
7/13/15, 12.50 
7/14/15, 12.68 
7/15/15, 12.74 
7/16/15, 13.28 
7/20/15, 13.22 
7/21/15, 14.19 
7/22/15, 14.61 
7/23/15, 14.91 
7/24/15, 14.91 
7/27/15, 15.19 
7/28/15, 14.93 
7/29/15, 14.73 
7/30/15, 14.75 
7/31/15, 14.79 
8/3/15, 14.93 
8/4/15, 15.07 
8/5/15, 15.53 
8/6/15, 15.41 
8/7/15, 15.09 
8/10/15, 14.81 
8/11/15, 14.93 
8/12/15, 14.93 
8/13/15, 15.05 
8/14/15, 14.93 
8/17/15, 14.53 
8/18/15, 14.37 
8/19/15, 14.09 
8/20/15, 13.66 
8/24/15, 12.64 
8/25/15, 12.34 
8/26/15, 12.60 
8/27/15, 12.94 
8/28/15, 12.94 
9/1/15, 12.60 
9/2/15, 12.74 
9/3/15, 12.90 
9/4/15, 12.66 
9/7/15, 12.62 
9/8/15, 12.22 
9/9/15, 12.44 
9/10/15, 12.44 
9/11/15, 12.44 
9/14/15, 12.40 
9/15/15, 12.44 
9/16/15, 12.56 
9/17/15, 12.32 
9/18/15, 12.30 
9/21/15, 12.22 
9/22/15, 11.80 
9/23/15, 11.65 
9/24/15, 11.55 
9/28/15, 10.81 
9/29/15, 10.37 
9/30/15, 10.03 
10/1/15, 10.11 
10/2/15, 9.84 
10/5/15, 10.23 
10/6/15, 10.95 
10/7/15, 11.45 
10/8/15, 11.72 
10/9/15, 11.53 
10/12/15, 11.41 
10/13/15, 11.25 
10/14/15, 11.09 
10/15/15, 11.09 
10/16/15, 11.27 
10/19/15, 11.55 
10/20/15, 11.92 
10/21/15, 12.12 
10/22/15, 12.22 
10/23/15, 12.28 
10/26/15, 12.04 
10/27/15, 12.64 
10/28/15, 12.44 
10/29/15, 12.44 
10/30/15, 12.44 
11/2/15, 12.44 
11/3/15, 12.42 
11/4/15, 12.36 
11/5/15, 12.12 
11/6/15, 12.14 
11/9/15, 12.34 
11/10/15, 12.34 
