date,price
1/5/15, 77.90 
1/6/15, 77.90 
1/7/15, 78.82 
1/8/15, 80.77 
1/9/15, 82.07 
1/12/15, 81.61 
1/13/15, 82.07 
1/14/15, 82.90 
1/19/15, 84.76 
1/20/15, 84.29 
1/21/15, 85.92 
1/22/15, 83.46 
1/23/15, 86.47 
1/26/15, 88.19 
1/27/15, 91.34 
1/28/15, 90.88 
1/29/15, 90.83 
1/30/15, 88.37 
2/2/15, 86.89 
2/3/15, 86.52 
2/4/15, 87.82 
2/5/15, 87.82 
2/6/15, 87.86 
2/9/15, 87.68 
2/10/15, 87.17 
2/11/15, 85.31 
2/12/15, 85.04 
2/13/15, 87.08 
2/16/15, 88.93 
2/17/15, 88.24 
2/18/15, 88.19 
2/20/15, 87.82 
2/23/15, 88.70 
2/24/15, 87.82 
2/25/15, 88.24 
2/26/15, 87.49 
2/27/15, 85.82 
3/2/15, 86.80 
3/3/15, 87.03 
3/4/15, 87.17 
3/5/15, 85.31 
3/6/15, 87.63 
3/9/15, 87.03 
3/10/15, 87.26 
3/11/15, 87.03 
3/12/15, 87.31 
3/13/15, 88.43 
3/16/15, 88.62 
3/17/15, 88.43 
3/18/15, 88.82 
3/19/15, 89.49 
3/20/15, 90.97 
3/23/15, 91.35 
3/24/15, 92.11 
3/25/15, 92.74 
3/26/15, 93.31 
3/27/15, 93.02 
3/30/15, 93.69 
3/31/15, 93.26 
4/1/15, 94.65 
4/6/15, 95.41 
4/7/15, 94.65 
4/8/15, 93.60 
4/10/15, 95.13 
4/13/15, 94.50 
4/14/15, 94.65 
4/15/15, 92.93 
4/16/15, 92.54 
4/17/15, 91.97 
4/20/15, 92.93 
4/21/15, 92.83 
4/22/15, 94.65 
4/23/15, 92.74 
4/24/15, 92.93 
4/27/15, 92.07 
4/28/15, 90.58 
4/29/15, 88.91 
4/30/15, 88.91 
5/4/15, 88.82 
5/5/15, 89.53 
5/6/15, 90.25 
5/7/15, 89.44 
5/8/15, 88.91 
5/11/15, 90.35 
5/12/15, 89.29 
5/13/15, 87.96 
5/14/15, 90.06 
5/15/15, 89.63 
5/18/15, 89.87 
5/19/15, 89.29 
5/20/15, 88.58 
5/21/15, 89.39 
5/22/15, 89.49 
5/25/15, 88.91 
5/26/15, 88.86 
5/27/15, 86.04 
5/28/15, 86.04 
5/29/15, 85.57 
6/1/15, 87.00 
6/2/15, 86.86 
6/3/15, 85.90 
6/4/15, 85.76 
6/5/15, 86.23 
6/8/15, 85.66 
6/9/15, 82.22 
6/10/15, 84.13 
6/11/15, 84.90 
6/15/15, 83.70 
6/16/15, 86.04 
6/17/15, 85.61 
6/18/15, 86.09 
6/19/15, 86.23 
6/22/15, 86.81 
6/23/15, 87.00 
6/24/15, 88.86 
6/25/15, 88.62 
6/26/15, 89.15 
6/29/15, 88.39 
6/30/15, 89.87 
7/1/15, 89.39 
7/2/15, 88.96 
7/3/15, 89.39 
7/6/15, 89.10 
7/7/15, 89.39 
7/8/15, 85.57 
7/9/15, 86.04 
7/10/15, 86.04 
7/13/15, 87.00 
7/14/15, 87.05 
7/15/15, 87.19 
7/16/15, 87.48 
7/20/15, 86.52 
7/21/15, 87.48 
7/22/15, 87.48 
7/23/15, 87.38 
7/24/15, 86.38 
7/27/15, 85.95 
7/28/15, 84.61 
7/29/15, 84.90 
7/30/15, 85.09 
7/31/15, 84.47 
8/3/15, 84.18 
8/4/15, 84.61 
8/5/15, 84.23 
8/6/15, 84.13 
8/7/15, 84.13 
8/10/15, 83.27 
8/11/15, 83.18 
8/12/15, 83.75 
8/13/15, 83.18 
8/14/15, 81.26 
8/17/15, 80.69 
8/18/15, 78.68 
8/19/15, 81.17 
8/20/15, 79.83 
8/24/15, 77.25 
8/25/15, 78.87 
8/26/15, 78.87 
8/27/15, 79.88 
8/28/15, 80.07 
9/1/15, 80.21 
9/2/15, 79.69 
9/3/15, 79.73 
9/4/15, 79.69 
9/7/15, 78.30 
9/8/15, 76.44 
9/9/15, 78.25 
9/10/15, 77.39 
9/11/15, 77.44 
9/14/15, 78.87 
9/15/15, 82.22 
9/16/15, 81.12 
9/17/15, 80.79 
9/18/15, 81.02 
9/21/15, 81.07 
9/22/15, 79.92 
9/23/15, 76.53 
9/24/15, 77.92 
9/28/15, 76.72 
9/29/15, 77.92 
9/30/15, 78.01 
10/1/15, 78.68 
10/2/15, 77.44 
10/5/15, 81.26 
10/6/15, 80.12 
10/7/15, 80.31 
10/8/15, 80.31 
10/9/15, 80.16 
10/12/15, 81.74 
10/13/15, 80.21 
10/14/15, 77.58 
10/15/15, 80.69 
10/16/15, 80.31 
10/19/15, 79.69 
10/20/15, 79.11 
10/21/15, 78.87 
10/22/15, 78.49 
10/23/15, 79.59 
10/26/15, 82.41 
10/27/15, 83.56 
10/28/15, 83.18 
10/29/15, 81.65 
10/30/15, 81.31 
11/2/15, 81.50 
11/3/15, 81.26 
11/4/15, 80.79 
11/5/15, 80.50 
11/6/15, 82.70 
11/9/15, 82.22 
11/10/15, 81.26 
11/11/15, 80.79 
11/12/15, 77.15 
11/13/15, 76.53 
11/16/15, 75.57 
11/17/15, 77.49 
11/20/15, 77.53 
11/23/15, 77.44 
11/24/15, 76.96 
11/25/15, 77.44 
11/26/15, 77.49 
11/27/15, 76.96 
12/1/15, 78.40 
12/2/15, 77.53 
12/3/15, 77.44 
12/4/15, 78.87 
12/7/15, 76.67 
12/8/15, 75.53 
12/9/15, 76.96 
12/10/15, 75.53 
12/11/15, 73.81 
12/14/15, 73.62 
12/15/15, 73.18 
12/16/15, 75.91 
12/17/15, 77.39 
12/18/15, 76.01 
12/21/15, 76.72 
12/22/15, 75.53 
12/23/15, 76.01 
12/28/15, 78.11 
12/29/15, 76.96 
1/4/16, 76.01 
1/5/16, 74.28 
1/6/16, 74.24 
1/7/16, 73.14 
1/8/16, 71.13 
1/11/16, 65.97 
1/12/16, 66.87 
1/13/16, 69.03 
1/14/16, 67.69 
1/15/16, 68.55 
1/18/16, 66.83 
1/19/16, 66.83 
1/20/16, 66.83 
1/21/16, 65.11 
1/22/16, 65.30 
1/25/16, 68.17 
1/26/16, 67.35 
1/27/16, 69.27 
1/28/16, 69.74 
1/29/16, 67.88 
2/1/16, 70.70 
2/2/16, 69.79 
2/3/16, 67.97 
2/4/16, 68.83 
2/5/16, 71.99 
2/9/16, 69.60 
2/10/16, 70.51 
2/11/16, 70.41 
2/12/16, 70.65 
2/15/16, 71.22 
2/16/16, 71.70 
2/17/16, 72.66 
2/18/16, 76.01 
2/19/16, 75.57 
2/22/16, 73.09 
2/23/16, 73.04 
2/24/16, 71.99 
2/26/16, 71.99 
2/29/16, 72.28 
3/1/16, 72.56 
3/2/16, 73.90 
3/3/16, 73.62 
3/4/16, 73.66 
3/7/16, 74.38 
3/8/16, 74.09 
