date,price
1/5/15, 4.75 
1/6/15, 4.94 
1/7/15, 5.03 
1/8/15, 5.12 
1/9/15, 5.12 
1/12/15, 5.13 
1/13/15, 5.12 
1/14/15, 5.32 
1/19/15, 5.22 
1/20/15, 5.24 
1/21/15, 5.24 
1/22/15, 5.15 
1/23/15, 5.14 
1/26/15, 5.14 
1/27/15, 5.10 
1/28/15, 5.11 
1/29/15, 5.08 
1/30/15, 5.14 
2/2/15, 5.07 
2/3/15, 5.12 
2/4/15, 5.14 
2/5/15, 5.01 
2/6/15, 5.03 
2/9/15, 5.05 
2/10/15, 5.05 
2/11/15, 5.03 
2/12/15, 5.03 
2/13/15, 5.14 
2/16/15, 5.27 
2/17/15, 5.29 
2/18/15, 5.24 
2/20/15, 5.26 
2/23/15, 5.26 
2/24/15, 5.28 
2/25/15, 5.33 
2/26/15, 5.30 
2/27/15, 5.40 
3/2/15, 5.49 
3/3/15, 5.47 
3/4/15, 5.38 
3/5/15, 5.53 
3/6/15, 5.49 
3/9/15, 5.45 
3/10/15, 5.45 
3/11/15, 5.43 
3/12/15, 5.56 
3/13/15, 5.56 
3/16/15, 5.38 
3/17/15, 5.47 
3/18/15, 5.39 
3/19/15, 5.43 
3/20/15, 5.39 
3/23/15, 5.33 
3/24/15, 5.42 
3/25/15, 5.46 
3/26/15, 5.46 
3/27/15, 5.45 
3/30/15, 5.43 
3/31/15, 5.36 
4/1/15, 5.45 
4/6/15, 5.52 
4/7/15, 5.59 
4/8/15, 5.69 
4/10/15, 5.81 
4/13/15, 5.63 
4/14/15, 5.43 
4/15/15, 5.27 
4/16/15, 5.43 
4/17/15, 5.42 
4/20/15, 5.27 
4/21/15, 5.24 
4/22/15, 5.42 
4/23/15, 5.53 
4/24/15, 5.43 
4/27/15, 5.31 
4/28/15, 5.27 
4/29/15, 5.23 
4/30/15, 5.24 
5/4/15, 5.29 
5/5/15, 5.35 
5/6/15, 5.38 
5/7/15, 5.35 
5/8/15, 5.34 
5/11/15, 5.30 
5/12/15, 5.27 
5/13/15, 5.32 
5/14/15, 5.22 
5/15/15, 5.19 
5/18/15, 5.30 
5/19/15, 5.27 
5/20/15, 5.28 
