date,price
1/5/15, 227.13 
1/6/15, 232.62 
1/7/15, 233.68 
1/8/15, 234.56 
1/9/15, 231.91 
1/12/15, 231.73 
1/13/15, 232.79 
1/14/15, 236.33 
1/19/15, 242.53 
1/20/15, 239.87 
1/21/15, 239.87 
1/22/15, 239.87 
1/23/15, 245.01 
1/26/15, 239.34 
1/27/15, 246.42 
1/28/15, 250.14 
1/29/15, 242.53 
1/30/15, 242.88 
2/2/15, 241.64 
2/3/15, 238.46 
2/4/15, 242.53 
2/5/15, 239.17 
2/6/15, 240.23 
2/9/15, 247.84 
2/10/15, 245.18 
2/11/15, 239.70 
2/12/15, 243.24 
2/13/15, 246.60 
2/16/15, 246.07 
2/17/15, 244.30 
2/18/15, 242.71 
2/20/15, 245.18 
2/23/15, 246.95 
2/24/15, 249.61 
2/25/15, 249.08 
2/26/15, 247.84 
2/27/15, 247.84 
3/2/15, 247.84 
3/3/15, 246.25 
3/4/15, 246.78 
3/5/15, 243.41 
3/6/15, 242.88 
3/9/15, 243.41 
3/10/15, 243.41 
3/11/15, 243.41 
3/12/15, 243.59 
3/13/15, 247.84 
3/16/15, 243.77 
3/17/15, 244.30 
3/18/15, 241.44 
3/19/15, 242.34 
3/20/15, 244.15 
3/23/15, 243.24 
3/24/15, 242.34 
3/25/15, 241.62 
3/26/15, 243.43 
3/27/15, 242.34 
3/30/15, 244.15 
3/31/15, 240.54 
4/1/15, 237.84 
4/6/15, 239.64 
4/7/15, 238.74 
4/8/15, 236.94 
4/10/15, 236.04 
4/13/15, 237.66 
4/14/15, 237.66 
4/15/15, 236.40 
4/16/15, 237.84 
4/17/15, 239.10 
4/20/15, 238.74 
4/21/15, 238.56 
4/22/15, 238.74 
4/23/15, 238.20 
4/24/15, 238.74 
4/27/15, 238.74 
4/28/15, 237.66 
4/29/15, 235.86 
4/30/15, 234.60 
5/4/15, 236.58 
5/5/15, 237.48 
5/6/15, 236.94 
5/7/15, 236.58 
5/8/15, 238.74 
5/11/15, 237.66 
5/12/15, 236.58 
5/13/15, 237.12 
5/14/15, 242.16 
5/15/15, 245.95 
5/18/15, 247.75 
5/19/15, 246.85 
5/20/15, 247.75 
5/21/15, 246.85 
5/22/15, 246.13 
5/25/15, 245.95 
5/26/15, 245.77 
5/27/15, 244.87 
5/28/15, 244.15 
5/29/15, 253.34 
6/1/15, 254.60 
6/2/15, 252.25 
6/3/15, 252.07 
6/4/15, 258.38 
6/5/15, 256.58 
6/8/15, 255.86 
6/9/15, 250.27 
6/10/15, 251.53 
6/11/15, 255.86 
6/15/15, 252.07 
6/16/15, 256.76 
6/17/15, 254.06 
6/18/15, 254.06 
6/19/15, 256.76 
6/22/15, 261.26 
6/23/15, 264.87 
6/24/15, 263.79 
6/25/15, 260.36 
6/26/15, 262.16 
6/29/15, 261.26 
6/30/15, 262.34 
7/1/15, 263.06 
7/2/15, 268.47 
7/3/15, 266.67 
7/6/15, 262.16 
7/7/15, 263.43 
7/8/15, 261.26 
7/9/15, 265.05 
7/10/15, 264.87 
7/13/15, 264.33 
7/14/15, 263.79 
7/15/15, 265.77 
7/16/15, 265.77 
7/20/15, 261.80 
7/21/15, 265.05 
7/22/15, 265.41 
7/23/15, 265.59 
7/24/15, 265.59 
7/27/15, 268.47 
7/28/15, 266.85 
7/29/15, 268.47 
7/30/15, 268.65 
7/31/15, 269.37 
8/3/15, 270.09 
8/4/15, 277.48 
8/5/15, 277.48 
8/6/15, 273.16 
8/7/15, 272.07 
8/10/15, 275.68 
8/11/15, 276.04 
8/12/15, 270.27 
8/13/15, 269.37 
8/14/15, 267.93 
8/17/15, 261.26 
8/18/15, 260.00 
8/19/15, 262.52 
8/20/15, 255.46 
8/24/15, 242.77 
8/25/15, 244.58 
8/26/15, 252.38 
8/27/15, 256.36 
8/28/15, 257.27 
9/1/15, 254.55 
9/2/15, 252.92 
9/3/15, 255.09 
9/4/15, 252.74 
9/7/15, 251.83 
9/8/15, 250.93 
9/9/15, 250.74 
9/10/15, 256.36 
9/11/15, 258.54 
9/14/15, 259.80 
9/15/15, 265.42 
9/16/15, 270.67 
9/17/15, 271.04 
9/18/15, 270.31 
9/21/15, 267.78 
9/22/15, 267.23 
9/23/15, 265.42 
9/24/15, 265.42 
9/28/15, 262.70 
9/29/15, 269.95 
9/30/15, 268.50 
10/1/15, 268.68 
10/2/15, 269.59 
10/5/15, 272.67 
10/6/15, 272.12 
10/7/15, 274.48 
10/8/15, 274.66 
10/9/15, 272.85 
10/12/15, 274.48 
10/13/15, 275.38 
10/14/15, 276.29 
10/15/15, 279.01 
10/16/15, 280.64 
10/19/15, 280.82 
10/20/15, 282.45 
10/21/15, 282.45 
10/22/15, 287.89 
10/23/15, 289.88 
10/26/15, 283.54 
10/27/15, 288.07 
10/28/15, 297.85 
10/29/15, 293.50 
10/30/15, 294.41 
11/2/15, 290.78 
11/3/15, 298.03 
11/4/15, 297.31 
11/5/15, 294.41 
11/6/15, 295.31 
11/9/15, 298.57 
11/10/15, 305.28 
11/11/15, 311.44 
11/12/15, 294.41 
11/13/15, 271.76 
11/16/15, 268.14 
11/17/15, 268.32 
11/20/15, 269.77 
11/23/15, 275.20 
11/24/15, 274.48 
11/25/15, 274.12 
11/26/15, 276.29 
11/27/15, 277.01 
12/1/15, 277.38 
12/2/15, 282.81 
12/3/15, 282.81 
12/4/15, 282.81 
12/7/15, 285.53 
12/8/15, 284.44 
12/9/15, 285.53 
12/10/15, 290.42 
12/11/15, 288.07 
12/14/15, 286.98 
12/15/15, 286.25 
12/16/15, 293.14 
12/17/15, 288.97 
12/18/15, 287.16 
12/21/15, 287.16 
12/22/15, 286.07 
12/23/15, 282.63 
12/28/15, 291.69 
12/29/15, 289.88 
1/4/16, 286.25 
1/5/16, 285.71 
1/6/16, 288.07 
1/7/16, 282.63 
1/8/16, 280.82 
1/11/16, 272.67 
1/12/16, 276.11 
1/13/16, 279.55 
1/14/16, 281.00 
1/15/16, 285.35 
1/18/16, 280.82 
1/19/16, 279.91 
1/20/16, 276.29 
1/21/16, 273.21 
1/22/16, 278.10 
1/25/16, 284.26 
1/26/16, 277.20 
1/27/16, 278.28 
1/28/16, 280.09 
1/29/16, 280.82 
2/1/16, 280.82 
2/2/16, 276.29 
2/3/16, 276.65 
2/4/16, 277.92 
2/5/16, 283.36 
2/9/16, 285.35 
2/10/16, 282.81 
2/11/16, 287.34 
2/12/16, 287.34 
2/15/16, 289.52 
2/16/16, 291.69 
2/17/16, 291.69 
2/18/16, 291.69 
2/19/16, 290.06 
2/22/16, 290.24 
2/23/16, 288.97 
2/24/16, 288.97 
2/26/16, 299.12 
2/29/16, 294.41 
3/1/16, 300.75 
3/2/16, 299.84 
3/3/16, 297.85 
3/4/16, 296.22 
3/7/16, 296.22 
3/8/16, 298.03 
3/9/16, 296.22 
