date,price
6/1/21, 13.48 
6/2/21, 13.48 
6/3/21, 13.10 
6/4/21, 13.40 
6/7/21, 13.46 
6/8/21, 13.46 
6/9/21, 13.70 
6/10/21, 13.92 
6/11/21, 14.04 
6/14/21, 14.68 
6/15/21, 14.66 
6/16/21, 14.74 
6/17/21, 14.60 
6/18/21, 14.30 
6/21/21, 14.50 
6/22/21, 14.58 
6/23/21, 14.74 
6/24/21, 15.34 
6/25/21, 15.34 
6/28/21, 15.60 
6/29/21, 16.04 
6/30/21, 16.52 
7/1/21, 17.00 
7/2/21, 17.00 
7/5/21, 16.88 
7/6/21, 16.44 
7/7/21, 16.20 
7/8/21, 16.70 
7/9/21, 17.00 
7/12/21, 16.92 
7/13/21, 16.64 
7/14/21, 16.34 
7/15/21, 16.40 
7/16/21, 15.68 
7/19/21, 15.18 
7/21/21, 15.02 
7/22/21, 15.26 
7/23/21, 15.00 
7/26/21, 14.90 
7/27/21, 15.08 
7/28/21, 14.88 
7/29/21, 15.26 
7/30/21, 14.78 
8/2/21, 14.78 
8/3/21, 15.00 
8/4/21, 15.58 
8/5/21, 15.30 
8/6/21, 15.70 
8/9/21, 16.78 
8/10/21, 16.92 
8/11/21, 17.00 
8/12/21, 16.52 
8/13/21, 15.54 
8/16/21, 15.90 
8/17/21, 15.98 
8/18/21, 16.04 
8/19/21, 16.40 
8/20/21, 16.80 
8/23/21, 16.76 
8/24/21, 16.76 
8/25/21, 16.62 
8/26/21, 16.30 
8/27/21, 16.74 
8/31/21, 16.84 
9/1/21, 16.60 
9/2/21, 16.50 
9/3/21, 16.70 
9/6/21, 16.72 
9/7/21, 17.68 
9/8/21, 17.20 
9/9/21, 17.36 
9/10/21, 17.48 
9/13/21, 17.58 
9/14/21, 18.26 
9/15/21, 19.00 
9/16/21, 18.96 
9/17/21, 19.50 
9/20/21, 19.30 
9/21/21, 18.94 
9/22/21, 19.42 
9/23/21, 19.60 
9/24/21, 19.92 
9/27/21, 20.25 
9/28/21, 18.62 
9/29/21, 17.82 
9/30/21, 18.80 
10/1/21, 18.80 
10/4/21, 19.06 
10/5/21, 18.80 
10/6/21, 19.00 
10/7/21, 18.50 
10/8/21, 18.44 
10/11/21, 18.98 
10/12/21, 17.70 
10/13/21, 17.00 
10/14/21, 16.54 
10/15/21, 16.38 
10/18/21, 15.20 
10/19/21, 15.14 
10/20/21, 15.52 
10/21/21, 16.58 
10/22/21, 16.20 
10/25/21, 16.24 
10/26/21, 16.34 
10/27/21, 16.34 
10/28/21, 16.40 
10/29/21, 16.10 
11/2/21, 16.24 
11/3/21, 16.18 
11/4/21, 16.26 
11/5/21, 16.44 
11/8/21, 16.42 
11/9/21, 16.88 
11/10/21, 16.88 
11/11/21, 16.60 
11/12/21, 16.96 
11/15/21, 17.38 
11/16/21, 17.64 
11/17/21, 18.12 
11/18/21, 17.84 
11/19/21, 18.08 
11/22/21, 18.62 
11/23/21, 18.98 
11/24/21, 18.02 
11/25/21, 17.88 
11/26/21, 17.60 
11/29/21, 17.02 
12/1/21, 17.00 
12/2/21, 16.76 
12/3/21, 16.72 
12/6/21, 16.50 
12/7/21, 15.80 
12/9/21, 15.96 
12/10/21, 16.00 
12/13/21, 16.12 
12/14/21, 16.10 
12/15/21, 15.60 
12/16/21, 16.00 
12/17/21, 15.32 
12/20/21, 15.90 
12/21/21, 15.84 
12/22/21, 15.90 
12/23/21, 15.98 
12/24/21, 15.86 
12/27/21, 15.82 
12/28/21, 15.60 
12/29/21, 15.60 
12/31/21, 16.20 
1/3/22, 15.70 
1/4/22,#N/A
1/5/22, 16.00 
1/6/22, 16.22 
1/7/22, 16.00 
1/10/22, 15.92 
1/11/22, 15.68 
1/12/22, 15.90 
1/13/22, 16.58 
1/14/22, 17.18 
1/17/22, 17.24 
1/18/22, 16.70 
1/19/22, 16.58 
1/20/22, 16.24 
1/21/22, 16.50 
1/24/22, 16.64 
1/25/22, 16.80 
1/26/22, 16.74 
1/27/22, 16.68 
1/28/22, 16.26 
1/31/22, 16.38 
2/2/22, 16.56 
2/3/22, 16.00 
2/4/22, 16.06 
2/7/22, 15.60 
2/8/22, 15.74 
2/9/22, 16.26 
2/10/22, 16.20 
2/11/22, 18.16 
2/14/22, 17.00 
2/15/22, 16.50 
2/16/22, 16.92 
2/17/22, 16.50 
2/18/22, 16.06 
2/21/22, 15.52 
2/22/22, 15.48 
2/23/22, 15.80 
2/24/22, 14.80 
2/28/22, 16.52 
3/1/22, 15.70 
3/2/22, 15.14 
3/3/22, 14.84 
3/4/22, 14.76 
3/7/22, 14.48 
3/8/22, 13.80 
3/9/22, 13.50 
3/10/22, 14.30 
3/11/22, 14.70 
3/14/22, 14.40 
3/15/22, 15.50 
3/16/22, 15.40 
3/17/22, 15.08 
3/18/22, 14.34 
3/21/22, 13.70 
3/22/22, 13.48 
3/23/22, 13.42 
3/24/22, 13.50 
3/25/22, 13.50 
3/28/22, 13.50 
3/29/22, 13.74 
3/30/22, 13.88 
3/31/22, 13.70 
4/1/22, 13.60 
4/4/22, 13.38 
4/5/22, 13.28 
4/6/22, 13.06 
4/7/22, 12.92 
4/8/22, 13.12 
4/11/22, 12.80 
4/12/22, 12.70 
4/13/22, 13.32 
4/18/22, 13.32 
4/19/22, 13.66 
4/20/22, 13.78 
4/21/22, 13.54 
4/22/22, 13.10 
4/25/22, 12.74 
4/26/22, 13.10 
4/27/22, 13.28 
4/28/22, 13.28 
4/29/22, 12.98 
5/2/22, 13.40 
5/4/22, 13.90 
5/5/22, 13.88 
5/6/22, 13.38 
5/10/22, 13.40 
5/11/22, 13.34 
5/12/22, 13.60 
5/13/22, 14.36 
5/16/22, 14.32 
5/17/22, 14.60 
5/18/22, 14.94 
5/19/22, 15.70 
5/20/22, 15.98 
5/23/22, 15.92 
5/24/22, 15.92 
5/25/22, 15.78 
5/26/22, 16.46 
5/27/22, 16.68 
5/30/22, 15.80 
5/31/22, 14.80 
6/1/22, 14.34 
6/2/22, 13.98 
6/3/22, 14.50 
6/6/22, 14.20 
6/7/22, 13.80 
6/8/22, 14.00 
6/9/22, 15.00 
6/10/22, 14.50 
6/13/22, 14.60 
6/14/22, 14.10 
6/15/22, 14.04 
6/16/22, 14.00 
6/17/22, 13.36 
6/20/22, 13.18 
6/21/22, 13.44 
6/22/22, 13.40 
6/23/22, 12.80 
6/24/22, 12.84 
6/27/22, 12.98 
6/28/22, 13.08 
6/29/22, 13.18 
6/30/22, 13.00 
7/1/22, 13.04 
7/4/22, 13.20 
7/5/22, 13.90 
7/6/22, 14.40 
7/7/22, 13.36 
7/8/22, 13.04 
7/11/22, 13.38 
7/12/22, 13.52 
7/13/22, 13.94 
7/14/22, 13.96 
7/15/22, 14.10 
7/18/22, 14.02 
7/19/22, 13.90 
7/20/22, 14.00 
7/21/22, 14.22 
7/22/22, 14.38 
7/25/22, 14.34 
7/26/22, 14.14 
7/27/22, 14.50 
7/28/22, 14.44 
7/29/22, 14.24 
8/1/22, 14.60 
8/2/22, 15.00 
8/3/22, 15.10 
8/4/22, 15.50 
8/5/22, 15.80 
8/8/22, 16.12 
8/9/22, 16.08 
8/10/22, 16.16 
8/11/22, 16.30 
8/12/22, 16.36 
8/15/22, 16.28 
8/16/22, 16.48 
8/17/22, 16.22 
8/18/22, 16.36 
8/19/22, 16.30 
8/22/22, 16.20 
8/23/22, 16.20 
8/24/22, 15.86 
8/25/22, 16.08 
8/26/22, 16.00 
8/30/22, 16.42 
8/31/22, 16.50 
9/1/22, 16.48 
9/2/22, 16.16 
9/5/22, 16.08 
9/6/22, 16.12 
9/7/22, 15.90 
9/8/22, 16.12 
9/9/22, 16.08 
9/12/22, 15.96 
9/13/22, 15.50 
9/14/22, 15.00 
9/15/22, 14.50 
9/16/22, 13.86 
9/19/22, 14.00 
9/20/22, 13.88 
9/21/22, 13.50 
9/22/22, 12.96 
9/23/22, 13.36 
9/26/22, 13.36 
9/27/22, 12.96 
9/28/22, 12.52 
9/29/22, 12.56 
9/30/22, 12.18 
10/3/22, 12.00 
10/4/22, 12.42 
10/5/22, 12.98 
10/6/22, 12.10 
10/7/22, 12.52 
10/10/22, 12.18 
10/11/22, 11.72 
10/12/22, 11.70 
10/13/22, 11.70 
10/14/22, 11.50 
10/17/22, 11.08 
10/18/22, 11.40 
10/19/22, 11.58 
10/20/22, 11.10 
10/21/22, 11.10 
10/24/22, 11.20 
10/25/22, 11.50 
10/26/22, 11.78 
10/27/22, 12.50 
10/28/22, 11.68 
11/2/22, 11.80 
11/3/22, 11.70 
11/4/22, 11.50 
11/7/22, 11.92 
11/8/22, 12.02 
11/9/22, 12.00 
11/10/22, 11.94 
11/11/22, 11.82 
11/14/22, 11.70 
11/15/22, 12.20 
11/16/22, 12.00 
11/17/22, 12.32 
11/18/22, 12.72 
11/21/22, 12.80 
11/22/22, 12.74 
11/23/22, 12.80 
11/24/22, 12.60 
11/25/22, 12.60 
11/28/22, 12.92 
11/29/22, 12.64 
12/1/22, 12.70 
12/2/22, 11.90 
12/5/22, 12.00 
12/6/22, 11.58 
12/7/22, 11.38 
12/9/22, 11.24 
12/12/22, 11.10 
12/13/22, 11.24 
12/14/22, 11.40 
12/15/22, 11.10 
12/16/22, 11.30 
12/19/22, 11.20 
12/20/22, 11.14 
12/21/22, 11.06 
12/22/22, 11.30 
12/23/22, 11.70 
12/27/22, 11.66 
12/28/22, 11.32 
12/29/22, 11.08 
1/3/23, 11.92 
1/4/23, 12.42 
1/5/23, 12.64 
1/6/23, 12.36 
1/9/23, 12.48 
1/10/23, 12.30 
1/11/23, 12.96 
1/12/23, 13.38 
1/13/23, 13.82 
1/16/23, 14.26 
1/17/23, 14.04 
1/18/23, 14.86 
1/19/23, 14.80 
1/20/23, 14.40 
1/23/23, 14.48 
1/24/23, 13.96 
1/25/23, 14.30 
1/26/23, 13.94 
1/27/23, 13.70 
1/30/23, 13.44 
1/31/23, 13.20 
2/1/23, 13.84 
2/2/23, 13.52 
2/3/23, 13.30 
2/6/23, 12.86 
2/7/23, 12.32 
2/8/23, 12.72 
2/9/23, 12.24 
2/10/23, 12.26 
2/13/23, 12.42 
2/14/23, 12.30 
2/15/23, 12.24 
2/16/23, 12.16 
2/17/23, 11.98 
2/20/23, 12.00 
2/21/23, 11.90 
2/22/23, 11.80 
2/23/23, 11.70 
2/24/23, 11.70 
2/27/23, 11.20 
2/28/23, 12.06 
3/1/23, 11.44 
3/2/23, 11.80 
3/3/23, 11.64 
3/6/23, 11.56 
3/7/23, 11.76 
3/8/23, 11.84 
3/9/23, 11.50 
3/10/23, 11.46 
3/13/23, 11.26 
3/14/23, 11.04 
3/15/23, 11.30 
3/16/23, 11.30 
3/17/23, 11.30 
3/20/23, 11.30 
3/21/23, 11.34 
3/22/23, 11.20 
3/23/23, 11.06 
3/24/23, 11.34 
3/27/23, 11.32 
3/28/23, 11.28 
3/29/23, 11.24 
3/30/23, 11.06 
3/31/23, 9.81 
4/3/23, 9.00 
4/4/23, 9.12 
4/5/23, 9.22 
4/11/23, 9.35 
4/12/23, 9.45 
4/13/23, 9.26 
4/14/23, 9.35 
4/17/23, 9.35 
4/18/23, 9.34 
4/19/23, 9.25 
4/20/23, 9.43 
4/24/23, 9.35 
4/25/23, 9.60 
4/26/23, 9.15 
4/27/23, 9.25 
4/28/23, 9.35 
5/2/23, 9.52 
5/3/23, 9.53 
5/4/23, 9.95 
5/5/23, 10.20 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
