date,price
1/5/15, 4.65 
1/6/15, 5.15 
1/7/15, 5.10 
1/8/15, 5.06 
1/9/15, 5.15 
1/12/15, 5.13 
1/13/15, 5.16 
1/14/15, 5.15 
1/19/15, 5.00 
1/20/15, 5.18 
1/21/15, 5.20 
1/22/15, 5.14 
1/23/15, 5.18 
1/26/15, 5.19 
1/27/15, 5.22 
1/28/15, 5.26 
1/29/15, 5.06 
1/30/15, 5.17 
2/2/15, 5.17 
2/3/15, 5.12 
2/4/15, 5.14 
2/5/15, 5.20 
2/6/15, 5.22 
2/9/15, 5.24 
2/10/15, 4.97 
2/11/15, 5.05 
2/12/15, 5.19 
2/13/15, 5.17 
2/16/15, 5.20 
2/17/15, 5.05 
2/18/15, 4.98 
2/20/15, 5.04 
2/23/15, 5.15 
2/24/15, 5.14 
2/25/15, 5.14 
2/26/15, 5.20 
2/27/15, 5.40 
3/2/15, 5.41 
3/3/15, 5.32 
3/4/15, 5.30 
3/5/15, 5.04 
3/6/15, 4.81 
3/9/15, 4.71 
3/10/15, 4.93 
3/11/15, 4.88 
3/12/15, 4.84 
3/13/15, 4.89 
3/16/15, 4.74 
3/17/15, 4.83 
3/18/15, 4.78 
3/19/15, 4.89 
3/20/15, 4.86 
3/23/15, 4.94 
3/24/15, 4.96 
3/25/15, 4.90 
3/26/15, 4.95 
3/27/15, 4.89 
3/30/15, 4.87 
3/31/15, 4.83 
4/1/15, 4.85 
4/6/15, 4.83 
4/7/15, 4.84 
4/8/15, 4.65 
4/10/15, 4.72 
4/13/15, 4.63 
4/14/15, 4.54 
4/15/15, 4.77 
4/16/15, 4.93 
4/17/15, 4.88 
4/20/15, 4.85 
4/21/15, 4.83 
4/22/15, 4.78 
4/23/15, 4.66 
4/24/15, 4.70 
4/27/15, 4.71 
4/28/15, 4.67 
4/29/15, 4.58 
4/30/15, 4.53 
5/4/15, 4.53 
5/5/15, 4.54 
5/6/15, 4.56 
5/7/15, 4.60 
5/8/15, 4.61 
5/11/15, 4.62 
5/12/15, 4.67 
5/13/15, 4.65 
5/14/15, 4.75 
5/15/15, 4.73 
5/18/15, 4.74 
5/19/15, 4.71 
5/20/15, 4.75 
5/21/15, 4.67 
5/22/15, 4.77 
5/25/15, 4.69 
5/26/15, 4.60 
5/27/15, 4.50 
5/28/15, 4.60 
5/29/15, 4.50 
6/1/15, 4.43 
6/2/15, 4.21 
6/3/15, 4.37 
6/4/15, 4.46 
6/5/15, 4.45 
6/8/15, 4.45 
6/9/15, 4.32 
6/10/15, 4.42 
6/11/15, 4.55 
6/15/15, 4.42 
6/16/15, 4.43 
6/17/15, 4.60 
6/18/15, 4.58 
6/19/15, 4.70 
6/22/15, 4.71 
6/23/15, 4.80 
6/24/15, 4.91 
6/25/15, 4.89 
6/26/15, 4.82 
6/29/15, 4.70 
6/30/15, 4.73 
7/1/15, 4.67 
7/2/15, 4.67 
7/3/15, 4.62 
7/6/15, 4.53 
7/7/15, 4.48 
7/8/15, 4.43 
7/9/15, 4.65 
7/10/15, 4.69 
7/13/15, 4.76 
7/14/15, 4.82 
7/15/15, 4.90 
7/16/15, 4.78 
7/20/15, 4.78 
7/21/15, 4.83 
7/22/15, 4.80 
7/23/15, 4.87 
7/24/15, 4.80 
7/27/15, 4.66 
7/28/15, 4.60 
7/29/15, 4.60 
7/30/15, 4.74 
7/31/15, 4.85 
8/3/15, 5.00 
8/4/15, 5.04 
8/5/15, 5.03 
8/6/15, 4.98 
