date,price
1/5/15, 38.49 
1/6/15, 38.09 
1/7/15, 39.63 
1/8/15, 41.01 
1/9/15, 41.61 
1/12/15, 41.61 
1/13/15, 42.60 
1/14/15, 42.40 
1/19/15, 41.11 
1/20/15, 40.12 
1/21/15, 39.53 
1/22/15, 39.13 
1/23/15, 39.63 
1/26/15, 39.63 
1/27/15, 40.72 
1/28/15, 40.81 
1/29/15, 40.81 
1/30/15, 41.61 
2/2/15, 41.11 
2/3/15, 41.41 
2/4/15, 41.56 
2/5/15, 41.61 
2/6/15, 42.35 
2/9/15, 42.40 
2/10/15, 42.30 
2/11/15, 42.05 
2/12/15, 41.46 
2/13/15, 41.95 
2/16/15, 41.41 
2/17/15, 41.41 
2/18/15, 41.41 
2/20/15, 41.41 
2/23/15, 40.86 
2/24/15, 39.97 
2/25/15, 39.53 
2/26/15, 38.34 
2/27/15, 39.03 
3/2/15, 38.98 
3/3/15, 40.07 
3/4/15, 40.76 
3/5/15, 40.62 
3/6/15, 40.42 
3/9/15, 40.32 
3/10/15, 41.61 
3/11/15, 40.81 
3/12/15, 40.62 
3/13/15, 41.36 
3/16/15, 40.62 
3/17/15, 40.37 
3/18/15, 39.82 
3/19/15, 39.72 
3/20/15, 39.82 
3/23/15, 39.82 
3/24/15, 39.68 
3/25/15, 40.12 
3/26/15, 41.01 
3/27/15, 40.62 
3/30/15, 41.06 
3/31/15, 41.16 
4/1/15, 41.01 
4/6/15, 41.06 
4/7/15, 41.11 
4/8/15, 40.42 
4/10/15, 40.57 
4/13/15, 39.58 
4/14/15, 39.13 
4/15/15, 38.68 
4/16/15, 39.68 
4/17/15, 38.93 
4/20/15, 38.64 
4/21/15, 38.93 
4/22/15, 39.08 
4/23/15, 39.13 
4/24/15, 39.72 
4/27/15, 40.12 
4/28/15, 40.22 
4/29/15, 39.87 
4/30/15, 39.33 
5/4/15, 38.83 
5/5/15, 39.92 
5/6/15, 40.52 
5/7/15, 39.53 
5/8/15, 39.18 
5/11/15, 38.59 
5/12/15, 39.08 
5/13/15, 39.28 
5/14/15, 39.58 
5/15/15, 39.48 
5/18/15, 40.52 
5/19/15, 40.12 
5/20/15, 39.33 
5/21/15, 39.28 
5/22/15, 38.64 
5/25/15, 38.39 
5/26/15, 37.99 
5/27/15, 37.55 
5/28/15, 38.04 
5/29/15, 37.64 
6/1/15, 38.44 
6/2/15, 38.29 
6/3/15, 36.90 
6/4/15, 37.64 
6/5/15, 37.64 
6/8/15, 37.55 
6/9/15, 35.56 
6/10/15, 35.91 
6/11/15, 36.65 
6/15/15, 36.60 
6/16/15, 37.15 
6/17/15, 37.45 
6/18/15, 37.69 
6/19/15, 37.64 
6/22/15, 37.64 
6/23/15, 36.75 
6/24/15, 36.85 
6/25/15, 36.16 
6/26/15, 36.80 
6/29/15, 36.65 
6/30/15, 36.65 
7/1/15, 36.65 
7/2/15, 36.85 
7/3/15, 36.70 
7/6/15, 36.16 
7/7/15, 36.16 
7/8/15, 35.66 
7/9/15, 35.66 
7/10/15, 35.66 
7/13/15, 35.66 
7/14/15, 35.66 
7/15/15, 35.17 
7/16/15, 35.47 
7/20/15, 35.66 
7/21/15, 35.66 
7/22/15, 35.86 
7/23/15, 37.45 
7/24/15, 37.15 
7/27/15, 37.15 
7/28/15, 36.75 
7/29/15, 37.00 
7/30/15, 36.95 
7/31/15, 36.65 
8/3/15, 36.55 
8/4/15, 36.51 
8/5/15, 37.64 
8/6/15, 37.64 
8/7/15, 37.50 
8/10/15, 37.40 
8/11/15, 37.50 
8/12/15, 37.40 
8/13/15, 36.16 
8/14/15, 36.01 
8/17/15, 35.17 
8/18/15, 33.88 
8/19/15, 33.68 
8/20/15, 33.63 
