date,price
1/5/15, 24.65 
1/6/15, 24.65 
1/7/15, 24.94 
1/8/15, 25.52 
1/9/15, 25.62 
1/12/15, 25.42 
1/13/15, 24.94 
1/14/15, 25.37 
1/19/15, 25.62 
1/20/15, 25.62 
1/21/15, 25.57 
1/22/15, 25.42 
1/23/15, 25.42 
1/26/15, 25.95 
1/27/15, 25.91 
1/28/15, 26.44 
1/29/15, 25.62 
1/30/15, 26.87 
2/2/15, 26.49 
2/3/15, 26.49 
2/4/15, 26.24 
2/5/15, 25.71 
2/6/15, 25.86 
2/9/15, 25.91 
2/10/15, 25.66 
2/11/15, 26.10 
2/12/15, 26.00 
2/13/15, 25.52 
2/16/15, 25.47 
2/17/15, 25.62 
2/18/15, 25.66 
2/20/15, 26.39 
2/23/15, 27.26 
2/24/15, 26.78 
2/25/15, 27.16 
2/26/15, 27.26 
2/27/15, 27.07 
3/2/15, 27.84 
3/3/15, 28.03 
3/4/15, 28.81 
3/5/15, 28.03 
3/6/15, 27.69 
3/9/15, 27.07 
3/10/15, 27.02 
3/11/15, 26.53 
3/12/15, 27.55 
3/13/15, 27.55 
3/16/15, 27.84 
3/17/15, 28.03 
3/18/15, 27.84 
3/19/15, 28.03 
3/20/15, 27.98 
3/23/15, 29.53 
3/24/15, 29.39 
3/25/15, 29.00 
3/26/15, 29.10 
3/27/15, 30.26 
3/30/15, 30.26 
3/31/15, 29.77 
4/1/15, 29.10 
4/6/15, 29.05 
4/7/15, 28.95 
4/8/15, 28.27 
4/10/15, 27.79 
4/13/15, 28.13 
4/14/15, 28.03 
4/15/15, 28.13 
4/16/15, 28.13 
4/17/15, 28.23 
4/20/15, 28.47 
4/21/15, 28.71 
4/22/15, 28.90 
4/23/15, 28.66 
4/24/15, 28.90 
4/27/15, 28.90 
4/28/15, 28.90 
4/29/15, 29.19 
4/30/15, 28.95 
5/4/15, 28.90 
5/5/15, 28.37 
5/6/15, 28.42 
5/7/15, 28.03 
5/8/15, 28.13 
5/11/15, 27.98 
5/12/15, 28.18 
5/13/15, 28.18 
5/14/15, 29.00 
5/15/15, 29.00 
5/18/15, 28.90 
5/19/15, 28.23 
5/20/15, 28.13 
5/21/15, 27.98 
5/22/15, 27.65 
5/25/15, 27.65 
5/26/15, 27.60 
5/27/15, 27.98 
5/28/15, 27.74 
5/29/15, 28.52 
6/1/15, 28.61 
6/2/15, 27.89 
6/3/15, 27.79 
6/4/15, 27.26 
6/5/15, 28.03 
6/8/15, 26.73 
6/9/15, 26.10 
6/10/15, 27.07 
6/11/15, 27.55 
6/15/15, 26.97 
6/16/15, 26.34 
6/17/15, 26.58 
6/18/15, 27.07 
6/19/15, 27.11 
6/22/15, 27.26 
6/23/15, 26.44 
6/24/15, 26.53 
6/25/15, 27.21 
6/26/15, 27.55 
6/29/15, 27.74 
6/30/15, 28.32 
7/1/15, 28.37 
7/2/15, 28.90 
7/3/15, 28.03 
7/6/15, 27.45 
