date,price
1/5/15, 149.72 
1/6/15, 147.75 
1/7/15, 146.76 
1/8/15, 146.76 
1/9/15, 147.35 
1/12/15, 146.57 
1/13/15, 145.78 
1/14/15, 146.27 
1/19/15, 145.78 
1/20/15, 145.78 
1/21/15, 142.13 
1/22/15, 142.13 
1/23/15, 142.82 
1/26/15, 145.19 
1/27/15, 146.76 
1/28/15, 147.16 
1/29/15, 150.70 
1/30/15, 149.72 
2/2/15, 147.75 
2/3/15, 150.41 
2/4/15, 150.51 
2/5/15, 151.69 
2/6/15, 152.18 
2/9/15, 156.91 
2/10/15, 152.67 
2/11/15, 150.21 
2/12/15, 149.72 
2/13/15, 150.61 
2/16/15, 149.82 
2/17/15, 151.39 
2/18/15, 151.89 
2/20/15, 151.89 
2/23/15, 150.70 
2/24/15, 156.61 
2/25/15, 157.99 
2/26/15, 157.60 
2/27/15, 157.60 
3/2/15, 159.57 
3/3/15, 160.55 
3/4/15, 166.46 
3/5/15, 165.48 
3/6/15, 164.99 
3/9/15, 166.86 
3/10/15, 168.24 
3/11/15, 163.31 
3/12/15, 163.51 
3/13/15, 160.55 
3/16/15, 160.36 
3/17/15, 162.43 
3/18/15, 162.52 
3/19/15, 166.46 
3/20/15, 170.40 
3/23/15, 169.22 
3/24/15, 165.77 
3/25/15, 169.81 
3/26/15, 169.12 
3/27/15, 167.45 
3/30/15, 168.53 
3/31/15, 169.42 
4/1/15, 170.40 
4/6/15, 174.34 
4/7/15, 173.36 
4/8/15, 174.34 
4/10/15, 174.25 
4/13/15, 171.39 
4/14/15, 174.34 
4/15/15, 165.97 
4/16/15, 163.90 
4/17/15, 163.90 
4/20/15, 157.70 
4/21/15, 156.81 
4/22/15, 157.60 
4/23/15, 162.52 
4/24/15, 162.03 
4/27/15, 163.90 
4/28/15, 163.71 
4/29/15, 163.61 
4/30/15, 165.48 
5/4/15, 164.49 
5/5/15, 164.59 
5/6/15, 164.49 
5/7/15, 164.89 
5/8/15, 166.86 
5/11/15, 168.43 
5/12/15, 165.87 
5/13/15, 166.37 
5/14/15, 162.82 
5/15/15, 164.49 
5/18/15, 167.25 
5/19/15, 165.48 
5/20/15, 165.97 
5/21/15, 165.97 
5/22/15, 165.48 
5/25/15, 165.48 
5/26/15, 160.85 
5/27/15, 154.64 
5/28/15, 151.20 
5/29/15, 154.16 
6/1/15, 153.17 
6/2/15, 153.17 
6/3/15, 153.17 
6/4/15, 156.93 
6/5/15, 157.22 
6/8/15, 156.14 
6/9/15, 151.89 
6/10/15, 152.09 
6/11/15, 151.20 
6/15/15, 155.54 
6/16/15, 158.11 
6/17/15, 158.81 
6/18/15, 159.10 
6/19/15, 163.06 
6/22/15, 162.17 
6/23/15, 162.66 
6/24/15, 162.56 
6/25/15, 159.60 
6/26/15, 162.26 
6/29/15, 161.08 
6/30/15, 159.60 
7/1/15, 163.06 
7/2/15, 161.08 
7/3/15, 158.21 
7/6/15, 151.20 
7/7/15, 150.01 
7/8/15, 149.22 
7/9/15, 149.52 
7/10/15, 149.02 
7/13/15, 149.42 
7/14/15, 150.31 
7/15/15, 150.60 
7/16/15, 150.90 
7/20/15, 150.90 
7/21/15, 150.60 
7/22/15, 149.32 
7/23/15, 146.85 
7/24/15, 147.94 
7/27/15, 145.76 
7/28/15, 145.76 
7/29/15, 145.66 
7/30/15, 145.37 
7/31/15, 147.15 
8/3/15, 146.75 
8/4/15, 146.55 
8/5/15, 146.55 
8/6/15, 145.56 
8/7/15, 140.92 
8/10/15, 141.12 
8/11/15, 139.93 
8/12/15, 138.45 
8/13/15, 136.77 
8/14/15, 136.08 
8/17/15, 131.43 
8/18/15, 130.44 
8/19/15, 131.53 
8/20/15, 135.39 
8/24/15, 118.59 
8/25/15, 123.33 
8/26/15, 125.50 
8/27/15, 125.60 
8/28/15, 130.35 
9/1/15, 134.59 
9/2/15, 136.37 
9/3/15, 137.36 
9/4/15, 135.88 
9/7/15, 133.11 
9/8/15, 131.43 
9/9/15, 133.41 
9/10/15, 133.41 
9/11/15, 134.59 
9/14/15, 136.37 
9/15/15, 140.62 
9/16/15, 140.92 
9/17/15, 142.99 
