date,price
1/5/15, 547.33 
1/6/15, 548.00 
1/7/15, 553.33 
1/8/15, 560.00 
1/9/15, 567.33 
1/12/15, 566.67 
1/13/15, 567.33 
1/14/15, 577.67 
1/19/15, 572.33 
1/20/15, 571.67 
1/21/15, 575.00 
1/22/15, 573.33 
1/23/15, 583.33 
1/26/15, 581.33 
1/27/15, 581.67 
1/28/15, 598.33 
1/29/15, 606.67 
1/30/15, 619.33 
2/2/15, 606.67 
2/3/15, 602.33 
2/4/15, 603.33 
2/5/15, 597.33 
2/6/15, 601.00 
2/9/15, 616.67 
2/10/15, 608.00 
2/11/15, 601.33 
2/12/15, 606.00 
2/13/15, 608.67 
2/16/15, 616.00 
2/17/15, 613.33 
2/18/15, 611.33 
2/20/15, 613.67 
2/23/15, 612.00 
2/24/15, 612.00 
2/25/15, 611.67 
2/26/15, 600.00 
2/27/15, 586.67 
3/2/15, 598.00 
3/3/15, 600.00 
3/4/15, 602.00 
3/5/15, 608.33 
3/6/15, 607.33 
3/9/15, 610.00 
3/10/15, 609.33 
3/11/15, 605.67 
3/12/15, 610.00 
3/13/15, 613.33 
3/16/15, 601.33 
3/17/15, 602.67 
3/18/15, 602.67 
3/19/15, 602.33 
3/20/15, 601.33 
3/23/15, 600.00 
3/24/15, 599.33 
3/25/15, 592.00 
3/26/15, 592.33 
3/27/15, 592.33 
3/30/15, 600.00 
3/31/15, 599.67 
4/1/15, 603.33 
4/6/15, 616.00 
4/7/15, 631.67 
4/8/15, 625.33 
4/10/15, 646.67 
4/13/15, 632.67 
4/14/15, 626.67 
4/15/15, 617.00 
4/16/15, 624.00 
4/17/15, 620.67 
4/20/15, 620.00 
4/21/15, 612.00 
4/22/15, 610.00 
4/23/15, 608.67 
4/24/15, 620.00 
4/27/15, 624.67 
4/28/15, 616.33 
4/29/15, 605.33 
4/30/15, 600.33 
5/4/15, 604.67 
5/5/15, 616.67 
5/6/15, 607.00 
5/7/15, 606.67 
5/8/15, 604.00 
5/11/15, 598.67 
5/12/15, 599.33 
5/13/15, 599.00 
5/14/15, 600.00 
5/15/15, 606.67 
5/18/15, 609.33 
5/19/15, 605.67 
5/20/15, 601.33 
5/21/15, 600.00 
5/22/15, 600.00 
5/25/15, 600.00 
5/26/15, 599.33 
5/27/15, 590.00 
5/28/15, 581.67 
5/29/15, 586.67 
6/1/15, 592.00 
6/2/15, 586.67 
6/3/15, 592.67 
6/4/15, 590.00 
6/5/15, 583.00 
6/8/15, 584.00 
6/9/15, 582.67 
6/10/15, 585.33 
6/11/15, 593.33 
6/15/15, 594.00 
6/16/15, 593.67 
6/17/15, 587.33 
6/18/15, 590.33 
6/19/15, 587.33 
6/22/15, 584.67 
6/23/15, 584.00 
6/24/15, 583.33 
6/25/15, 581.00 
6/26/15, 597.33 
6/29/15, 589.33 
6/30/15, 596.67 
