date,price
1/5/15, 76.00 
1/6/15, 77.00 
1/7/15, 77.00 
1/8/15, 77.10 
1/9/15, 77.80 
1/12/15, 77.50 
1/13/15, 77.40 
1/14/15, 77.30 
1/19/15, 77.20 
1/20/15, 77.25 
1/21/15, 77.25 
1/22/15, 77.25 
1/23/15, 77.15 
1/26/15, 77.10 
1/27/15, 76.00 
1/28/15, 76.90 
1/29/15, 75.30 
1/30/15, 76.15 
2/2/15, 77.00 
2/3/15, 78.20 
2/4/15, 78.00 
2/5/15, 79.80 
2/6/15, 80.70 
2/9/15, 80.75 
2/10/15, 80.05 
2/11/15, 78.00 
2/12/15, 79.15 
2/13/15, 78.00 
2/16/15, 77.40 
2/17/15, 77.60 
2/18/15, 77.20 
2/20/15, 77.50 
2/23/15, 77.25 
2/24/15, 77.90 
2/25/15, 78.00 
2/26/15, 78.00 
2/27/15, 77.50 
3/2/15, 78.10 
3/3/15, 77.30 
3/4/15, 76.35 
3/5/15, 75.00 
3/6/15, 74.20 
3/9/15, 74.45 
3/10/15, 74.45 
3/11/15, 74.05 
3/12/15, 74.50 
3/13/15, 73.00 
3/16/15, 73.00 
3/17/15, 71.90 
3/18/15, 71.55 
3/19/15, 70.30 
3/20/15, 67.95 
3/23/15, 68.50 
3/24/15, 68.30 
3/25/15, 68.15 
3/26/15, 67.65 
3/27/15, 67.00 
3/30/15, 68.00 
3/31/15, 67.45 
4/1/15, 67.00 
4/6/15, 68.00 
4/7/15, 67.80 
4/8/15, 67.20 
4/10/15, 67.70 
4/13/15, 71.80 
4/14/15, 71.10 
4/15/15, 69.55 
4/16/15, 67.80 
4/17/15, 69.40 
4/20/15, 69.55 
4/21/15, 69.50 
4/22/15, 69.20 
4/23/15, 68.55 
4/24/15, 68.00 
4/27/15, 67.60 
4/28/15, 67.70 
4/29/15, 69.00 
4/30/15, 68.50 
5/4/15, 67.95 
5/5/15, 67.40 
5/6/15, 67.25 
5/7/15, 67.20 
5/8/15, 66.85 
5/11/15, 67.95 
5/12/15, 66.45 
5/13/15, 66.50 
5/14/15, 66.95 
5/15/15, 66.50 
5/18/15, 66.25 
5/19/15, 66.15 
5/20/15, 65.30 
5/21/15, 65.30 
5/22/15, 65.20 
5/25/15, 65.80 
5/26/15, 65.60 
5/27/15, 65.30 
5/28/15, 64.50 
5/29/15, 65.00 
6/1/15, 65.95 
6/2/15, 65.00 
6/3/15, 62.55 
6/4/15, 63.40 
6/5/15, 62.15 
6/8/15, 61.00 
6/9/15, 60.00 
6/10/15, 60.00 
6/11/15, 59.95 
6/15/15, 62.50 
6/16/15, 62.30 
6/17/15, 60.50 
6/18/15, 60.65 
6/19/15, 64.45 
6/22/15, 60.50 
6/23/15, 60.50 
6/24/15, 60.95 
6/25/15, 61.05 
6/26/15, 60.55 
6/29/15, 60.35 
6/30/15, 59.50 
7/1/15, 59.60 
7/2/15, 59.00 
7/3/15, 59.45 
7/6/15, 60.00 
7/7/15, 59.75 
7/8/15, 60.50 
7/9/15, 59.90 
7/10/15, 59.95 
7/13/15, 60.10 
7/14/15, 60.00 
7/15/15, 59.50 
7/16/15, 60.00 
7/20/15, 59.00 
7/21/15, 58.30 
7/22/15, 58.30 
7/23/15, 58.15 
7/24/15, 58.85 
7/27/15, 58.75 
7/28/15, 57.00 
7/29/15, 56.50 
7/30/15, 56.60 
7/31/15, 56.30 
8/3/15, 56.20 
8/4/15, 55.60 
8/5/15, 55.85 
8/6/15, 55.75 
8/7/15, 55.80 
8/10/15, 55.65 
8/11/15, 55.80 
8/12/15, 56.00 
8/13/15, 56.00 
8/14/15, 55.65 
8/17/15, 55.60 
8/18/15, 55.75 
8/19/15, 56.00 
8/20/15, 56.00 
8/24/15, 53.30 
8/25/15, 52.60 
8/26/15, 51.05 
8/27/15, 50.85 
8/28/15, 52.00 
9/1/15, 50.10 
9/2/15, 50.25 
9/3/15, 50.25 
9/4/15, 48.70 
9/7/15, 49.00 
9/8/15, 48.65 
9/9/15, 48.90 
9/10/15, 49.05 
9/11/15, 48.05 
9/14/15, 46.95 
9/15/15, 45.20 
9/16/15, 45.15 
9/17/15, 45.30 
9/18/15, 45.80 
9/21/15, 45.10 
9/22/15, 44.00 
9/23/15, 44.40 
9/24/15, 50.75 
9/28/15, 46.35 
9/29/15, 47.20 
9/30/15, 48.50 
10/1/15, 49.60 
10/2/15, 47.00 
10/5/15, 49.10 
10/6/15, 47.10 
10/7/15, 48.00 
10/8/15, 50.00 
10/9/15, 49.95 
10/12/15, 47.75 
10/13/15, 45.30 
10/14/15, 45.15 
10/15/15, 46.95 
10/16/15, 48.00 
10/19/15, 48.00 
10/20/15, 49.50 
10/21/15, 47.50 
10/22/15, 48.00 
10/23/15, 48.50 
10/26/15, 48.35 
10/27/15, 49.50 
10/28/15, 50.00 
10/29/15, 50.35 
10/30/15, 48.00 
11/2/15, 49.35 
11/3/15, 49.05 
11/4/15, 49.20 
11/5/15, 50.35 
11/6/15, 49.80 
11/9/15, 49.70 
11/10/15, 48.50 
11/11/15, 47.70 
11/12/15, 47.00 
11/13/15, 49.50 
11/16/15, 47.95 
11/17/15, 48.00 
11/20/15, 48.00 
11/23/15, 47.55 
11/24/15, 47.00 
11/25/15, 46.90 
11/26/15, 47.00 
11/27/15, 46.80 
12/1/15, 46.80 
12/2/15, 47.25 
12/3/15, 46.80 
12/4/15, 47.20 
12/7/15, 47.25 
12/8/15, 47.95 
12/9/15, 47.80 
12/10/15, 47.50 
12/11/15, 46.55 
12/14/15, 44.50 
12/15/15, 44.95 
12/16/15, 45.60 
12/17/15, 46.00 
12/18/15, 47.10 
12/21/15, 46.70 
12/22/15, 46.50 
12/23/15, 49.00 
12/28/15, 49.80 
12/29/15, 49.90 
1/4/16, 49.95 
1/5/16, 51.80 
1/6/16, 52.00 
1/7/16, 52.00 
1/8/16, 52.00 
1/11/16, 52.00 
1/12/16, 52.00 
1/13/16, 60.00 
1/14/16, 60.00 
1/15/16, 60.00 
1/18/16, 59.90 
1/19/16, 59.80 
1/20/16, 59.50 
1/21/16, 60.00 
1/22/16, 60.00 
1/25/16, 62.00 
1/26/16, 63.95 
1/27/16, 68.00 
1/28/16, 70.00 
1/29/16, 72.90 
2/1/16, 72.00 
2/2/16, 71.00 
2/3/16, 71.90 
2/4/16, 73.40 
2/5/16, 73.00 
2/9/16, 73.00 
2/10/16, 73.80 
2/11/16, 74.00 
2/12/16, 73.00 
2/15/16, 73.55 
2/16/16, 73.00 
2/17/16, 72.50 
2/18/16, 73.10 
2/19/16, 71.35 
2/22/16, 70.00 
2/23/16, 69.00 
2/24/16, 70.00 
2/26/16, 72.00 
2/29/16, 74.80 
3/1/16, 74.00 
3/2/16, 75.00 
3/3/16, 75.00 
3/4/16, 74.80 
3/7/16, 76.00 
3/8/16, 77.00 
3/9/16, 78.60 
3/10/16, 78.00 
3/11/16, 75.60 
3/14/16, 75.00 
3/15/16, 77.50 
3/16/16, 77.90 
3/17/16, 78.00 
3/18/16, 77.50 
3/21/16, 77.50 
3/22/16, 76.90 
3/23/16, 77.00 
3/28/16, 76.80 
3/29/16, 77.50 
3/30/16, 77.50 
3/31/16, 77.00 
4/1/16, 76.50 
4/4/16, 76.60 
4/5/16, 76.60 
4/6/16, 76.60 
4/7/16, 77.00 
4/8/16, 76.75 
4/11/16, 76.50 
4/12/16, 76.60 
4/13/16, 76.30 
4/14/16, 76.00 
4/15/16, 75.35 
4/18/16, 74.55 
4/19/16, 74.80 
4/20/16, 74.00 
4/21/16, 74.80 
4/22/16, 74.05 
4/25/16, 71.75 
4/26/16, 70.00 
4/27/16, 67.70 
4/28/16, 66.30 
4/29/16, 67.00 
5/2/16, 67.50 
5/3/16, 68.20 
5/4/16, 68.30 
5/5/16, 68.50 
5/6/16, 66.95 
5/10/16, 66.40 
5/11/16, 69.95 
5/12/16, 70.00 
5/13/16, 70.50 
5/16/16, 73.20 
5/17/16, 74.00 
5/18/16, 74.00 
5/19/16, 72.00 
5/20/16, 73.40 
5/23/16, 73.00 
5/24/16, 72.25 
5/25/16, 73.40 
5/26/16, 73.80 
5/27/16, 75.90 
5/30/16, 80.30 
5/31/16, 82.00 
6/1/16, 79.75 
6/2/16, 76.50 
6/3/16, 77.95 
6/6/16, 78.40 
6/7/16, 78.60 
6/8/16, 80.15 
6/9/16, 79.50 
6/10/16, 79.00 
6/13/16, 80.00 
6/14/16, 79.80 
6/15/16, 79.80 
6/16/16, 79.00 
6/17/16, 78.70 
6/20/16, 78.85 
6/21/16, 78.85 
6/22/16, 78.00 
6/23/16, 79.00 
6/24/16, 77.00 
6/27/16, 77.05 
6/28/16, 78.00 
6/29/16, 78.15 
6/30/16, 78.35 
7/1/16, 78.75 
7/4/16, 79.05 
7/5/16, 78.45 
7/7/16, 78.35 
7/8/16, 78.25 
7/11/16, 78.45 
7/12/16, 78.00 
7/13/16, 78.00 
7/14/16, 77.90 
7/15/16, 78.00 
7/18/16, 78.00 
7/19/16, 78.00 
7/20/16, 80.00 
7/21/16, 81.55 
7/22/16, 83.00 
7/25/16, 83.00 
7/26/16, 82.30 
7/27/16, 82.35 
7/28/16, 83.00 
7/29/16, 82.00 
8/1/16, 81.55 
8/2/16, 81.95 
8/3/16, 82.50 
8/4/16, 82.00 
8/5/16, 82.10 
8/8/16, 82.50 
8/9/16, 84.30 
8/10/16, 84.30 
