date,price
1/5/15, 16.79 
1/6/15, 16.75 
1/7/15, 16.85 
1/8/15, 17.17 
1/9/15, 17.35 
1/12/15, 17.41 
1/13/15, 17.43 
1/14/15, 17.87 
1/19/15, 18.75 
1/20/15, 18.57 
1/21/15, 18.55 
1/22/15, 18.49 
1/23/15, 19.17 
1/26/15, 19.37 
1/27/15, 19.37 
1/28/15, 19.07 
1/29/15, 18.65 
1/30/15, 18.57 
2/2/15, 18.67 
2/3/15, 18.41 
2/4/15, 18.57 
2/5/15, 18.41 
2/6/15, 18.89 
2/9/15, 18.99 
2/10/15, 18.91 
2/11/15, 19.09 
2/12/15, 19.49 
2/13/15, 19.55 
2/16/15, 19.35 
2/17/15, 19.57 
2/18/15, 19.91 
2/20/15, 19.65 
2/23/15, 19.37 
2/24/15, 19.97 
2/25/15, 20.17 
2/26/15, 20.17 
2/27/15, 19.73 
3/2/15, 19.57 
3/3/15, 19.57 
3/4/15, 19.67 
3/5/15, 19.77 
3/6/15, 19.87 
3/9/15, 19.63 
3/10/15, 19.67 
3/11/15, 19.27 
3/12/15, 19.57 
3/13/15, 19.77 
3/16/15, 19.25 
3/17/15, 19.77 
3/18/15, 19.67 
3/19/15, 19.73 
3/20/15, 20.17 
3/23/15, 20.17 
3/24/15, 20.17 
3/25/15, 20.17 
3/26/15, 19.87 
3/27/15, 20.12 
3/30/15, 19.57 
3/31/15, 19.95 
4/1/15, 20.07 
4/6/15, 20.37 
4/7/15, 21.02 
4/8/15, 20.57 
4/10/15, 20.62 
4/13/15, 20.42 
4/14/15, 20.47 
4/15/15, 19.83 
4/16/15, 19.77 
4/17/15, 19.77 
4/20/15, 19.03 
4/21/15, 19.27 
4/22/15, 19.07 
4/23/15, 19.57 
4/24/15, 19.81 
4/27/15, 20.12 
4/28/15, 19.37 
4/29/15, 19.07 
4/30/15, 18.63 
5/4/15, 18.97 
5/5/15, 19.87 
5/6/15, 19.57 
5/7/15, 19.87 
5/8/15, 19.61 
5/11/15, 19.61 
5/12/15, 19.61 
5/13/15, 19.49 
5/14/15, 19.53 
5/15/15, 19.67 
5/18/15, 20.07 
5/19/15, 19.91 
5/20/15, 19.77 
5/21/15, 19.55 
5/22/15, 19.67 
5/25/15, 19.61 
5/26/15, 19.49 
5/27/15, 19.33 
5/28/15, 18.75 
5/29/15, 19.21 
6/1/15, 19.37 
6/2/15, 19.23 
6/3/15, 19.37 
6/4/15, 19.47 
6/5/15, 19.37 
6/8/15, 19.45 
6/9/15, 18.67 
6/10/15, 19.07 
6/11/15, 19.43 
6/15/15, 18.87 
6/16/15, 19.21 
6/17/15, 19.39 
6/18/15, 19.55 
6/19/15, 19.41 
6/22/15, 19.57 
6/23/15, 19.39 
6/24/15, 20.17 
6/25/15, 19.97 
6/26/15, 19.93 
6/29/15, 19.81 
6/30/15, 19.95 
7/1/15, 19.97 
7/2/15, 19.91 
7/3/15, 20.32 
7/6/15, 19.93 
7/7/15, 20.17 
7/8/15, 20.32 
7/9/15, 20.17 
7/10/15, 20.12 
7/13/15, 20.67 
7/14/15, 20.27 
7/15/15, 20.47 
7/16/15, 20.97 
