date,price
1/5/15," 2,849.83 "
1/6/15," 2,788.35 "
1/7/15," 2,796.29 "
1/8/15," 2,875.61 "
1/9/15," 2,927.18 "
1/12/15," 2,921.23 "
1/13/15," 2,945.03 "
1/14/15," 2,970.81 "
1/19/15," 2,925.19 "
1/20/15," 2,909.33 "
1/21/15," 2,927.18 "
1/22/15," 2,931.14 "
1/23/15," 2,937.09 "
1/26/15," 2,958.91 "
1/27/15," 2,945.03 "
1/28/15," 2,966.84 "
1/29/15," 2,947.01 "
1/30/15," 2,945.03 "
2/2/15," 2,935.11 "
2/3/15," 2,954.94 "
2/4/15," 3,060.05 "
2/5/15," 3,064.02 "
2/6/15," 3,066.00 "
2/9/15," 3,071.95 "
2/10/15," 3,075.92 "
2/11/15," 3,058.07 "
2/12/15," 3,093.76 "
2/13/15," 3,163.18 "
2/16/15," 3,159.21 "
2/17/15," 3,155.24 "
2/18/15," 3,163.18 "
2/20/15," 3,163.18 "
2/23/15," 3,149.29 "
2/24/15," 3,137.39 "
2/25/15," 3,173.09 "
2/26/15," 3,163.18 "
2/27/15," 3,135.41 "
3/2/15," 3,073.93 "
3/3/15," 3,071.95 "
3/4/15," 3,069.97 "
3/5/15," 3,075.92 "
3/6/15," 3,073.93 "
3/9/15," 3,058.07 "
3/10/15," 3,066.00 "
3/11/15," 3,066.00 "
3/12/15," 3,002.00 "
3/13/15," 2,950.00 "
3/16/15," 2,900.00 "
3/17/15," 2,874.00 "
3/18/15," 2,788.00 "
3/19/15," 2,850.00 "
3/20/15," 2,810.00 "
3/23/15," 2,828.00 "
3/24/15," 2,828.00 "
3/25/15," 2,838.00 "
3/26/15," 2,838.00 "
3/27/15," 2,830.00 "
3/30/15," 2,830.00 "
3/31/15," 2,856.00 "
4/1/15," 2,840.00 "
4/6/15," 2,928.00 "
4/7/15," 2,936.00 "
4/8/15," 2,940.00 "
4/10/15," 2,972.00 "
4/13/15," 2,940.00 "
4/14/15," 2,920.00 "
4/15/15," 2,900.00 "
4/16/15," 2,900.00 "
4/17/15," 2,912.00 "
4/20/15," 2,912.00 "
4/21/15," 2,902.00 "
4/22/15," 2,900.00 "
4/23/15," 2,900.00 "
4/24/15," 2,900.00 "
4/27/15," 2,904.00 "
4/28/15," 2,928.00 "
4/29/15," 2,888.00 "
4/30/15," 2,770.00 "
5/4/15," 2,840.00 "
5/5/15," 2,884.00 "
5/6/15," 2,868.00 "
5/7/15," 2,822.00 "
5/8/15," 2,836.00 "
5/11/15," 2,832.00 "
5/12/15," 2,816.00 "
5/13/15," 2,830.00 "
5/14/15," 2,850.00 "
5/15/15," 2,850.00 "
5/18/15," 2,874.00 "
5/19/15," 2,844.00 "
5/20/15," 2,876.00 "
5/21/15," 2,862.00 "
5/22/15," 2,860.00 "
5/25/15," 2,840.00 "
5/26/15," 2,820.00 "
5/27/15," 2,800.00 "
5/28/15," 2,780.00 "
5/29/15," 2,780.00 "
6/1/15," 2,786.00 "
6/2/15," 2,782.00 "
6/3/15," 2,800.00 "
6/4/15," 2,802.00 "
6/5/15," 2,784.00 "
6/8/15," 2,796.00 "
6/9/15," 2,788.00 "
6/10/15," 2,774.00 "
6/11/15," 2,800.00 "
6/15/15," 2,800.00 "
6/16/15," 2,850.00 "
6/17/15," 2,818.00 "
6/18/15," 2,810.00 "
6/19/15," 2,802.00 "
6/22/15," 2,796.00 "
6/23/15," 2,810.00 "
6/24/15," 2,880.00 "
6/25/15," 2,840.00 "
6/26/15," 2,842.00 "
6/29/15," 2,836.00 "
6/30/15," 2,810.00 "
7/1/15," 2,808.00 "
7/2/15," 2,800.00 "
7/3/15," 2,800.00 "
7/6/15," 2,798.00 "
7/7/15," 2,808.00 "
7/8/15," 2,780.00 "
7/9/15," 2,770.00 "
7/10/15," 2,830.00 "
7/13/15," 2,846.00 "
7/14/15," 2,838.00 "
7/15/15," 2,862.00 "
7/16/15," 2,936.00 "
7/20/15," 2,948.00 "
7/21/15," 2,942.00 "
7/22/15," 2,944.00 "
7/23/15," 2,944.00 "
7/24/15," 2,948.00 "
7/27/15," 2,900.00 "
7/28/15," 2,888.00 "
7/29/15," 2,876.00 "
7/30/15," 2,914.00 "
7/31/15," 2,886.00 "
8/3/15," 2,898.00 "
8/4/15," 2,850.00 "
8/5/15," 2,860.00 "
8/6/15," 2,800.00 "
8/7/15," 2,756.00 "
8/10/15," 2,702.00 "
8/11/15," 2,700.00 "
8/12/15," 2,700.00 "
8/13/15," 2,708.00 "
8/14/15," 2,712.00 "
8/17/15," 2,704.00 "
8/18/15," 2,740.00 "
8/19/15," 2,770.00 "
8/20/15," 2,750.00 "
8/24/15," 2,536.00 "
8/25/15," 2,430.00 "
8/26/15," 2,464.00 "
8/27/15," 2,552.00 "
8/28/15," 2,518.00 "
9/1/15," 2,446.00 "
9/2/15," 2,412.00 "
9/3/15," 2,440.00 "
9/4/15," 2,444.00 "
9/7/15," 2,392.00 "
9/8/15," 2,384.00 "
9/9/15," 2,392.00 "
9/10/15," 2,306.00 "
9/11/15," 2,346.00 "
9/14/15," 2,402.00 "
9/15/15," 2,344.00 "
9/16/15," 2,374.00 "
9/17/15," 2,392.00 "
9/18/15," 2,340.00 "
9/21/15," 2,306.00 "
9/22/15," 2,304.00 "
9/23/15," 2,264.00 "
9/24/15," 2,270.00 "
9/28/15," 2,228.00 "
9/29/15," 2,170.00 "
9/30/15," 2,190.00 "
10/1/15," 2,180.00 "
10/2/15," 2,136.00 "
10/5/15," 2,222.00 "
10/6/15," 2,304.00 "
10/7/15," 2,380.00 "
10/8/15," 2,300.00 "
10/9/15," 2,260.00 "
10/12/15," 2,276.00 "
10/13/15," 2,200.00 "
10/14/15," 2,170.00 "
10/15/15," 2,212.00 "
10/16/15," 2,260.00 "
10/19/15," 2,208.00 "
10/20/15," 2,218.00 "
10/21/15," 2,250.00 "
10/22/15," 2,294.00 "
10/23/15," 2,364.00 "
10/26/15," 2,400.00 "
10/27/15," 2,328.00 "
10/28/15," 2,288.00 "
10/29/15," 2,250.00 "
10/30/15," 2,200.00 "
11/2/15," 2,208.00 "
11/3/15," 2,234.00 "
11/4/15," 2,180.00 "
11/5/15," 2,102.00 "
11/6/15," 2,026.00 "
11/9/15," 1,997.00 "
11/10/15," 1,990.00 "
11/11/15," 1,970.00 "
11/12/15," 1,972.00 "
11/13/15," 1,970.00 "
11/16/15," 1,964.00 "
11/17/15," 1,965.00 "
11/20/15," 2,000.00 "
11/23/15," 2,000.00 "
11/24/15," 2,002.00 "
11/25/15," 2,038.00 "
11/26/15," 2,048.00 "
11/27/15," 2,050.00 "
12/1/15," 2,144.00 "
12/2/15," 2,154.00 "
12/3/15," 2,168.00 "
12/4/15," 2,140.00 "
12/7/15," 2,138.00 "
12/8/15," 2,136.00 "
12/9/15," 2,116.00 "
12/10/15," 2,054.00 "
12/11/15," 1,972.00 "
12/14/15," 1,976.00 "
12/15/15," 1,980.00 "
12/16/15," 2,026.00 "
12/17/15," 2,042.00 "
12/18/15," 2,024.00 "
12/21/15," 2,022.00 "
12/22/15," 2,052.00 "
12/23/15," 2,076.00 "
12/28/15," 2,076.00 "
12/29/15," 2,060.00 "
1/4/16," 2,000.00 "
1/5/16," 2,000.00 "
1/6/16," 2,030.00 "
1/7/16," 1,982.00 "
1/8/16," 1,958.00 "
1/11/16," 1,920.00 "
1/12/16," 1,930.00 "
1/13/16," 1,940.00 "
1/14/16," 1,900.00 "
1/15/16," 1,904.00 "
1/18/16," 1,899.00 "
1/19/16," 1,900.00 "
1/20/16," 1,937.00 "
1/21/16," 1,940.00 "
1/22/16," 1,990.00 "
1/25/16," 2,068.00 "
