date,price
1/5/15, 184.68 
1/6/15, 185.17 
1/7/15, 190.39 
1/8/15, 189.52 
1/9/15, 190.00 
1/12/15, 187.58 
1/13/15, 190.20 
1/14/15, 193.39 
1/19/15, 192.23 
1/20/15, 191.36 
1/21/15, 190.97 
1/22/15, 190.20 
1/23/15, 195.32 
1/26/15, 198.22 
1/27/15, 200.93 
1/28/15, 199.19 
1/29/15, 199.19 
1/30/15, 200.16 
2/2/15, 199.19 
2/3/15, 198.22 
2/4/15, 199.19 
2/5/15, 197.25 
2/6/15, 204.02 
2/9/15, 216.59 
2/10/15, 209.05 
2/11/15, 204.02 
2/12/15, 204.60 
2/13/15, 209.82 
2/16/15, 210.40 
2/17/15, 208.08 
2/18/15, 210.21 
2/20/15, 210.79 
2/23/15, 211.86 
2/24/15, 212.25 
2/25/15, 208.94 
2/26/15, 205.83 
2/27/15, 212.25 
3/2/15, 212.06 
3/3/15, 209.53 
3/4/15, 212.25 
3/5/15, 207.58 
3/6/15, 211.28 
3/9/15, 212.25 
3/10/15, 209.33 
3/11/15, 209.33 
3/12/15, 211.28 
3/13/15, 211.86 
3/16/15, 208.75 
3/17/15, 209.53 
3/18/15, 210.30 
3/19/15, 209.53 
3/20/15, 214.20 
3/23/15, 213.03 
3/24/15, 210.30 
3/25/15, 210.30 
3/26/15, 212.25 
3/27/15, 215.37 
3/30/15, 218.09 
3/31/15, 220.04 
4/1/15, 220.04 
4/6/15, 223.94 
4/7/15, 223.94 
4/8/15, 221.40 
4/10/15, 216.34 
4/13/15, 213.61 
4/14/15, 213.23 
4/15/15, 208.36 
4/16/15, 217.12 
4/17/15, 210.30 
4/20/15, 210.89 
4/21/15, 212.84 
4/22/15, 211.28 
4/23/15, 213.23 
4/24/15, 213.61 
4/27/15, 213.23 
4/28/15, 210.69 
4/29/15, 211.86 
4/30/15, 212.06 
5/4/15, 213.23 
5/5/15, 214.98 
5/6/15, 212.25 
5/7/15, 207.38 
5/8/15, 196.67 
5/11/15, 194.73 
5/12/15, 200.57 
5/13/15, 206.22 
5/14/15, 206.22 
5/15/15, 205.05 
5/18/15, 199.59 
5/19/15, 198.23 
5/20/15, 203.10 
5/21/15, 203.10 
5/22/15, 195.70 
5/25/15, 193.75 
5/26/15, 192.29 
5/27/15, 184.89 
5/28/15, 182.07 
5/29/15, 185.77 
6/1/15, 193.66 
6/2/15, 186.84 
6/3/15, 188.40 
6/4/15, 188.20 
6/5/15, 182.07 
6/8/15, 179.64 
6/9/15, 179.15 
6/10/15, 181.58 
6/11/15, 180.12 
6/15/15, 175.25 
6/16/15, 177.20 
6/17/15, 186.94 
6/18/15, 192.29 
6/19/15, 192.78 
6/22/15, 194.73 
6/23/15, 184.99 
6/24/15, 187.91 
6/25/15, 191.81 
6/26/15, 192.29 
6/29/15, 191.81 
6/30/15, 188.88 
7/1/15, 187.13 
7/2/15, 188.79 
7/3/15, 188.69 
7/6/15, 187.52 
7/7/15, 187.72 
7/8/15, 181.10 
7/9/15, 187.91 
7/10/15, 180.12 
7/13/15, 183.53 
7/14/15, 186.94 
7/15/15, 182.07 
7/16/15, 181.19 
7/20/15, 177.20 
7/21/15, 177.69 
7/22/15, 178.17 
7/23/15, 181.78 
7/24/15, 186.45 
7/27/15, 185.48 
7/28/15, 184.99 
7/29/15, 186.94 
7/30/15, 186.16 
7/31/15, 186.26 
8/3/15, 187.03 
8/4/15, 189.86 
8/5/15, 194.73 
8/6/15, 189.86 
8/7/15, 185.57 
8/10/15, 191.32 
8/11/15, 194.63 
8/12/15, 190.35 
8/13/15, 185.77 
8/14/15, 184.99 
8/17/15, 183.04 
8/18/15, 184.99 
8/19/15, 186.94 
8/20/15, 187.42 
8/24/15, 175.25 
8/25/15, 175.25 
