date,price
3/31/17, 5.32 
4/3/17, 5.34 
4/4/17, 5.31 
4/5/17, 5.16 
4/6/17, 5.19 
4/7/17, 5.15 
4/10/17, 5.22 
4/11/17, 5.22 
4/12/17, 5.27 
4/17/17, 5.20 
4/18/17, 5.18 
4/19/17, 5.24 
4/20/17, 5.22 
4/21/17, 5.22 
4/24/17, 5.20 
4/25/17, 5.24 
4/26/17, 5.41 
4/27/17, 5.41 
5/2/17, 5.35 
5/3/17, 5.27 
5/4/17, 5.35 
5/5/17, 5.33 
5/8/17, 5.36 
5/9/17, 5.37 
5/10/17, 5.38 
5/11/17, 5.39 
5/12/17, 5.38 
5/15/17, 5.42 
5/16/17, 5.39 
5/17/17, 5.42 
5/18/17, 5.34 
5/19/17, 5.38 
5/22/17, 5.38 
5/23/17, 5.40 
5/24/17, 5.37 
5/25/17, 5.37 
5/26/17, 5.41 
5/29/17, 5.40 
5/30/17, 5.69 
5/31/17, 5.74 
6/1/17, 6.18 
6/2/17, 6.05 
6/5/17, 6.25 
6/6/17, 6.23 
6/7/17, 6.47 
6/8/17, 6.48 
6/9/17, 6.57 
6/13/17, 6.56 
6/14/17, 6.45 
6/15/17, 6.67 
6/16/17, 6.80 
6/19/17, 6.98 
6/20/17, 7.56 
6/21/17, 7.77 
6/22/17, 7.53 
6/23/17, 7.88 
6/27/17, 8.00 
6/28/17, 7.93 
6/29/17, 7.93 
6/30/17, 7.92 
7/3/17, 7.71 
7/4/17, 7.97 
7/5/17, 8.46 
7/6/17, 8.63 
7/7/17, 8.59 
7/10/17, 8.61 
7/11/17, 8.57 
7/12/17, 8.64 
7/13/17, 8.42 
7/14/17, 8.23 
7/17/17, 8.08 
7/18/17, 8.27 
7/19/17, 8.69 
7/20/17, 8.87 
7/21/17, 8.83 
7/24/17, 8.79 
7/25/17, 8.73 
7/26/17, 8.92 
7/27/17, 8.98 
7/28/17, 8.98 
7/31/17, 8.89 
8/1/17, 8.72 
8/2/17, 8.86 
8/3/17, 8.72 
8/4/17, 8.70 
8/7/17, 8.78 
8/8/17, 8.60 
8/9/17, 8.26 
8/10/17, 8.32 
8/11/17, 8.06 
8/14/17, 8.31 
8/15/17, 8.80 
8/16/17, 8.70 
8/17/17, 8.83 
8/18/17, 8.88 
8/22/17, 8.82 
8/23/17, 8.83 
8/24/17, 8.53 
8/25/17, 8.74 
8/29/17, 8.68 
8/30/17, 8.70 
8/31/17, 8.85 
9/4/17, 9.23 
9/5/17, 9.18 
9/6/17, 9.38 
9/7/17, 9.28 
9/8/17, 9.38 
9/11/17, 9.38 
9/13/17, 9.45 
9/14/17, 9.48 
9/15/17, 9.38 
9/18/17, 9.03 
9/19/17, 8.85 
9/20/17, 8.93 
9/21/17, 9.06 
9/22/17, 8.88 
9/25/17, 8.91 
9/26/17, 8.61 
9/27/17, 8.84 
9/28/17, 8.82 
9/29/17, 8.88 
10/2/17, 8.88 
10/3/17, 8.68 
10/4/17, 8.78 
10/5/17, 8.51 
10/6/17, 8.58 
10/9/17, 8.53 
10/10/17, 8.35 
10/11/17, 8.17 
10/12/17, 8.17 
10/13/17, 8.09 
10/17/17, 7.96 
10/18/17, 8.22 
10/19/17, 8.57 
10/20/17, 8.60 
10/23/17, 8.53 
10/24/17, 8.48 
10/25/17, 8.47 
10/26/17, 8.40 
10/27/17, 8.47 
10/30/17, 8.46 
11/2/17, 8.45 
11/3/17, 8.31 
11/6/17, 8.28 
11/7/17, 8.18 
11/8/17, 8.13 
11/9/17, 8.28 
11/10/17, 8.46 
11/13/17, 8.21 
11/14/17, 8.23 
11/15/17, 8.09 
11/16/17, 8.08 
11/17/17, 8.16 
11/20/17, 8.12 
11/21/17, 8.10 
11/22/17, 8.00 
11/23/17, 8.08 
11/24/17, 8.12 
11/27/17, 8.18 
11/28/17, 8.28 
11/29/17, 8.23 
12/1/17, 8.31 
12/4/17, 8.33 
12/5/17, 8.24 
12/6/17, 8.19 
12/7/17, 8.11 
12/8/17, 8.17 
12/11/17, 8.19 
12/12/17, 8.20 
12/13/17, 8.28 
12/14/17, 8.27 
12/15/17, 8.18 
12/18/17, 8.13 
12/19/17, 8.08 
12/20/17, 8.07 
12/21/17, 8.04 
12/22/17, 8.12 
12/27/17, 8.18 
12/28/17, 8.15 
12/29/17, 8.26 
1/3/18, 8.28 
1/4/18, 8.26 
1/5/18, 8.18 
1/8/18, 8.46 
1/9/18, 8.50 
