ticker,dates
AC,"2018-04-13, 2019-04-11, 2020-07-27, 2021-04-14, 2022-04-13"
ACEN,"2018-04-17, 2019-04-16, 2020-07-01, 2021-04-30, 2022-05-04"
AEV,"2018-04-16, 2019-04-15, 2020-07-03, 2021-04-16, 2022-04-18"
AGI,"2018-04-30, 2019-04-30, 2020-07-30, 2021-06-02, 2022-05-16"
ALI,"2018-04-16, 2019-04-15, 2020-07-27, 2021-04-19, 2022-05-13"
AP,"2018-04-16, 2019-04-15, 2020-07-02, 2021-04-15, 2022-04-13"
BDO,"2018-04-16, 2019-04-16, 2020-07-01, 2021-05-14, 2022-05-16"
BPI,"2018-04-13, 2019-04-15, 2020-06-10, 2021-05-17, 2022-04-28"
CNVRG,"2018-04-23, 2019-04-16, 2020-07-30, 2021-06-02, 2022-05-13"
EMI,"2021-04-15, 2022-04-11"
GLO,"2018-04-16, 2019-04-15, 2020-04-13, 2021-04-20, 2022-04-13"
GTCAP,"2018-04-16, 2019-04-15, 2020-07-03, 2021-04-30, 2022-05-17"
ICT,"2018-03-07, 2019-03-07, 2020-03-05, 2021-03-04, 2022-03-03"
JFC,"2018-04-11, 2019-04-11, 2020-07-01, 2021-04-13, 2022-03-29"
JGS,"2018-04-13, 2019-04-16, 2020-08-03, 2021-04-27, 2022-04-07"
LTG,"2018-03-21, 2019-03-20, 2020-03-23, 2021-03-25, 2022-03-22"
MBT,"2018-04-13, 2019-04-15, 2020-07-01, 2021-04-13, 2022-04-11"
MEG,"2018-04-16, 2019-04-16, 2020-04-15, 2021-05-14, 2022-05-16"
MER,"2018-04-06, 2019-04-15, 2020-04-30, 2021-04-21, 2022-04-28"
MONDE,2022-05-16
MPI,"2018-04-17, 2019-04-15, 2020-04-13, 2021-04-16, 2022-04-19"
PGOLD,"2018-04-17, 2019-04-16, 2020-06-30, 2021-05-20, 2022-05-13"
RLC,"2018-04-16, 2019-04-16, 2020-03-18, 2021-04-12, 2022-03-31"
SECB,"2018-04-12, 2019-04-11, 2020-07-02, 2021-04-30, 2022-04-12"
SM,"2018-04-12, 2019-04-11, 2020-04-13, 2021-04-15, 2022-05-13"
SMC,"2018-04-17, 2019-04-15, 2020-07-01, 2021-04-26, 2022-04-25"
SMPH,"2018-04-12, 2019-04-15, 2020-06-15, 2021-04-21, 2022-04-18"
TEL,"2018-04-02, 2019-03-27, 2020-04-03, 2021-04-05, 2022-03-24"
URC,"2018-04-16, 2019-04-15, 2020-04-15, 2021-05-17, 2022-03-31"
WLCON,"2018-04-16, 2019-03-28, 2020-03-02, 2021-03-02, 2022-03-01"
